,FMTX
2020-06-19,39.0
2020-06-22,39.95000076293945
2020-06-23,41.20000076293945
2020-06-24,43.720001220703125
2020-06-25,46.0
2020-06-26,45.0
2020-06-29,45.459999084472656
2020-06-30,46.4900016784668
2020-07-01,46.369998931884766
2020-07-02,48.349998474121094
2020-07-06,43.13999938964844
2020-07-07,43.79999923706055
2020-07-08,44.650001525878906
2020-07-09,44.34000015258789
2020-07-10,43.540000915527344
2020-07-13,38.529998779296875
2020-07-14,40.029998779296875
2020-07-15,39.380001068115234
2020-07-16,37.9900016784668
2020-07-17,36.9900016784668
2020-07-20,37.380001068115234
2020-07-21,37.95000076293945
2020-07-22,35.11000061035156
2020-07-23,34.65999984741211
2020-07-24,36.04999923706055
2020-07-27,35.9900016784668
2020-07-28,35.0
2020-07-29,34.380001068115234
2020-07-30,34.0
2020-07-31,34.959999084472656
2020-08-03,36.13999938964844
2020-08-04,35.2400016784668
2020-08-05,35.529998779296875
2020-08-06,35.0
2020-08-07,34.93000030517578
2020-08-10,35.0
2020-08-11,34.349998474121094
2020-08-12,34.0
2020-08-13,33.11000061035156
2020-08-14,32.95000076293945
2020-08-17,39.790000915527344
2020-08-18,39.31999969482422
2020-08-19,38.060001373291016
2020-08-20,37.95000076293945
2020-08-21,38.54999923706055
2020-08-24,40.0
2020-08-25,41.400001525878906
2020-08-26,40.279998779296875
2020-08-27,38.59000015258789
2020-08-28,42.5099983215332
2020-08-31,43.93000030517578
2020-09-01,45.709999084472656
2020-09-02,47.33000183105469
2020-09-03,41.31999969482422
2020-09-04,39.5
2020-09-08,40.709999084472656
2020-09-09,41.790000915527344
2020-09-10,43.189998626708984
2020-09-11,41.689998626708984
2020-09-14,44.130001068115234
2020-09-15,44.5099983215332
2020-09-16,44.79999923706055
2020-09-17,43.880001068115234
2020-09-18,45.290000915527344
2020-09-21,43.689998626708984
2020-09-22,43.79999923706055
2020-09-23,43.27000045776367
2020-09-24,43.72999954223633
2020-09-25,49.5
2020-09-28,50.25
2020-09-29,49.560001373291016
2020-09-30,49.84000015258789
2020-10-01,49.54999923706055
2020-10-02,47.290000915527344
2020-10-05,48.93000030517578
2020-10-06,48.93000030517578
2020-10-07,50.16999816894531
2020-10-08,49.81999969482422
2020-10-09,48.900001525878906
2020-10-12,47.59000015258789
2020-10-13,46.939998626708984
2020-10-14,45.400001525878906
2020-10-15,48.72999954223633
