,CETXP
2017-02-17,7.853068828582764
2017-02-21,7.609623908996582
2017-02-22,3.620265007019043
2017-02-23,4.154273986816406
2017-02-24,4.48410177230835
2017-02-27,4.427559852600098
2017-02-28,4.319188117980957
2017-03-01,4.570486068725586
2017-03-02,4.703988075256348
2017-03-03,4.523367881774902
2017-03-06,4.319188117980957
2017-03-07,4.397718906402588
2017-03-08,4.539073944091797
2017-03-09,4.727548122406006
2017-03-10,4.908167839050293
2017-03-13,4.884609222412109
2017-03-14,4.884609222412109
2017-03-15,5.07308292388916
2017-03-16,5.25998592376709
2017-03-17,5.129624843597412
2017-03-20,4.7825188636779785
2017-03-21,4.876756191253662
2017-03-22,5.097426891326904
2017-03-23,5.057375907897949
2017-03-24,4.680428981781006
2017-03-27,4.766812801361084
2017-03-28,4.884609222412109
2017-03-29,4.672575950622559
2017-03-30,4.788015842437744
2017-03-31,4.908167839050293
2017-04-03,4.773880958557129
2017-04-04,4.711841106414795
2017-04-05,4.689853191375732
2017-04-06,4.758959770202637
2017-04-07,4.633310794830322
2017-04-10,4.813930988311768
2017-04-11,4.562633037567139
2017-04-12,4.570486068725586
2017-04-13,4.554780006408691
2017-04-17,4.4919562339782715
2017-04-18,4.287775993347168
2017-04-19,4.41970682144165
2017-04-20,4.597187042236328
2017-04-21,4.5477118492126465
2017-04-24,4.468396186828613
2017-04-25,4.277566909790039
2017-04-26,4.20139217376709
2017-04-27,4.436984062194824
2017-04-28,4.405571937561035
2017-05-01,4.154273986816406
2017-05-02,4.232803821563721
2017-05-03,4.279922962188721
2017-05-04,4.274425029754639
2017-05-05,4.169980049133301
2017-05-08,4.193539142608643
2017-05-09,4.20139217376709
2017-05-10,4.315260887145996
2017-05-11,4.143279075622559
2017-05-12,4.429915904998779
2017-05-15,4.382012844085693
2017-05-16,4.436984062194824
2017-05-17,4.735401153564453
2017-05-18,4.672575950622559
2017-05-19,4.672575950622559
2017-05-22,5.1123480796813965
2017-05-23,5.120201110839844
2017-05-24,5.032247066497803
2017-05-25,4.955286979675293
2017-05-26,5.300821781158447
2017-05-30,5.42647123336792
2017-05-31,5.457882881164551
2017-06-01,5.575678825378418
2017-06-02,5.465735912322998
2017-06-05,5.693474769592285
2017-06-06,5.418618202209473
2017-06-07,5.583531856536865
2017-06-08,5.6879777908325195
2017-06-09,5.618085861206055
2017-06-12,5.618085861206055
2017-06-13,5.618085861206055
2017-06-14,5.53641414642334
2017-06-15,5.583531856536865
2017-06-16,5.583531856536865
2017-06-19,5.559972763061523
2017-06-20,5.559972763061523
2017-06-21,5.559972763061523
2017-06-22,6.046863079071045
2017-06-23,6.039010047912598
2017-06-26,6.125393867492676
2017-06-27,5.772006034851074
2017-06-28,5.709967136383057
2017-06-29,5.889801979064941
2017-06-30,5.889801979064941
2017-07-03,5.968331813812256
2017-07-05,6.007597923278809
2017-07-06,6.007597923278809
2017-07-07,6.015450954437256
2017-07-10,6.060213088989258
2017-07-11,6.007597923278809
2017-07-12,6.046863079071045
2017-07-13,6.025660037994385
2017-07-14,6.086129188537598
2017-07-17,6.086129188537598
2017-07-18,6.071992874145508
2017-07-19,5.9761857986450195
2017-07-20,5.907079219818115
2017-07-21,5.657351016998291
2017-07-24,5.968331813812256
2017-07-25,5.968331813812256
2017-07-26,5.889801979064941
2017-07-27,5.987180233001709
2017-07-28,5.987180233001709
2017-07-31,6.007597923278809
2017-08-01,5.978540897369385
2017-08-02,5.929067134857178
2017-08-03,5.929067134857178
2017-08-04,5.991891860961914
2017-08-07,6.023303985595703
2017-08-08,6.03115701675415
2017-08-09,6.03115701675415
2017-08-10,5.968331813812256
2017-08-11,5.968331813812256
2017-08-14,5.968331813812256
2017-08-15,5.943202972412109
2017-08-16,5.913361072540283
2017-08-17,5.772006034851074
2017-08-18,5.7327399253845215
2017-08-21,5.986394882202148
2017-08-22,5.9212141036987305
2017-08-23,6.021732807159424
2017-08-24,5.895298957824707
2017-08-25,5.925140857696533
2017-08-28,5.98560905456543
2017-08-29,5.991106033325195
2017-08-30,6.090839862823486
2017-08-31,6.045292854309082
2017-09-01,6.072778224945068
2017-09-05,6.103404998779297
2017-09-06,6.086129188537598
2017-09-07,6.093982219696045
2017-09-08,6.140315055847168
2017-09-11,6.196072101593018
2017-09-12,6.196072101593018
2017-09-13,6.196072101593018
2017-09-14,6.203925132751465
2017-09-15,5.614943981170654
2017-09-18,5.74452018737793
2017-09-19,5.666775226593018
2017-09-20,5.666775226593018
2017-09-21,6.1116509437561035
2017-09-22,6.1116509437561035
2017-09-25,6.056365013122559
2017-09-26,6.208401203155518
2017-09-27,6.055501937866211
2017-09-28,5.614943981170654
2017-09-29,5.658999919891357
2017-10-02,6.046863079071045
2017-10-03,5.830904006958008
2017-10-04,6.046863079071045
2017-10-05,6.133246898651123
2017-10-06,6.029585838317871
2017-10-09,6.196307182312012
2017-10-10,6.065003871917725
2017-10-11,6.323290824890137
2017-10-12,6.0675950050354
2017-10-13,6.066730976104736
2017-10-16,6.066730976104736
2017-10-17,6.071914196014404
2017-10-18,6.071914196014404
2017-10-19,6.176438808441162
2017-10-20,6.057229042053223
2017-10-23,6.046863079071045
2017-10-24,6.046863079071045
2017-10-25,5.895691871643066
2017-10-26,5.787712097167969
2017-10-27,5.787712097167969
2017-10-30,5.801533222198486
2017-10-31,5.738472938537598
2017-11-01,5.599394798278809
2017-11-02,5.528561115264893
2017-11-03,5.364430904388428
2017-11-06,5.096642017364502
2017-11-07,5.1657490730285645
2017-11-08,4.897959232330322
2017-11-09,5.105279922485352
2017-11-10,5.105279922485352
2017-11-13,4.996437072753906
2017-11-14,4.996437072753906
2017-11-15,4.941151142120361
2017-11-16,4.941151142120361
2017-11-17,4.837491035461426
2017-11-20,4.863406181335449
2017-11-21,5.010258197784424
2017-11-22,4.751107215881348
2017-11-24,4.751107215881348
2017-11-27,4.751107215881348
2017-11-28,4.837491035461426
