,CGEM
2021-01-08,29.90999984741211
2021-01-11,28.0
2021-01-12,29.59000015258789
2021-01-13,35.380001068115234
2021-01-14,37.5
2021-01-15,35.08000183105469
2021-01-19,33.880001068115234
2021-01-20,37.83000183105469
2021-01-21,38.18000030517578
2021-01-22,38.5
2021-01-25,38.59000015258789
2021-01-26,38.29999923706055
2021-01-27,37.56999969482422
2021-01-28,37.650001525878906
2021-01-29,38.0099983215332
2021-02-01,33.77000045776367
2021-02-02,34.22999954223633
2021-02-03,33.72999954223633
2021-02-04,36.0
2021-02-05,36.279998779296875
2021-02-08,36.220001220703125
2021-02-09,37.58000183105469
2021-02-10,38.33000183105469
2021-02-11,38.93000030517578
2021-02-12,40.0
2021-02-16,42.529998779296875
2021-02-17,44.029998779296875
2021-02-18,43.93000030517578
2021-02-19,45.72999954223633
2021-02-22,44.630001068115234
2021-02-23,42.119998931884766
2021-02-24,41.90999984741211
2021-02-25,42.68000030517578
2021-02-26,40.41999816894531
2021-03-01,48.38999938964844
2021-03-02,52.290000915527344
2021-03-03,52.099998474121094
2021-03-04,43.25
2021-03-05,44.529998779296875
2021-03-08,46.349998474121094
2021-03-09,51.060001373291016
2021-03-10,53.41999816894531
2021-03-11,52.72999954223633
2021-03-12,48.060001373291016
2021-03-15,44.88999938964844
2021-03-16,46.27000045776367
2021-03-17,43.400001525878906
2021-03-18,40.310001373291016
2021-03-19,41.11000061035156
2021-03-22,42.81999969482422
2021-03-23,40.02000045776367
2021-03-24,37.65999984741211
2021-03-25,39.18000030517578
2021-03-26,39.630001068115234
2021-03-29,38.04999923706055
2021-03-30,39.72999954223633
2021-03-31,41.66999816894531
2021-04-01,41.25
2021-04-05,41.02000045776367
2021-04-06,35.13999938964844
2021-04-07,35.939998626708984
2021-04-08,34.18000030517578
2021-04-09,32.29999923706055
2021-04-12,29.8700008392334
2021-04-13,32.279998779296875
2021-04-14,35.470001220703125
2021-04-15,35.90999984741211
2021-04-16,35.20000076293945
2021-04-19,32.09000015258789
2021-04-20,31.299999237060547
2021-04-21,33.84000015258789
2021-04-22,32.47999954223633
2021-04-23,31.489999771118164
2021-04-26,31.68000030517578
2021-04-27,34.66999816894531
2021-04-28,33.220001220703125
2021-04-29,32.779998779296875
2021-04-30,32.459999084472656
2021-05-03,34.25
2021-05-04,31.860000610351562
2021-05-05,28.8700008392334
2021-05-06,29.0
2021-05-07,29.860000610351562
2021-05-10,28.6200008392334
2021-05-11,28.420000076293945
2021-05-12,30.450000762939453
2021-05-13,27.75
2021-05-14,27.65999984741211
