,CFBK
1998-12-30,303.8674011230469
1998-12-31,296.9613342285156
1999-01-04,284.8757019042969
1999-01-05,287.4654846191406
1999-01-06,296.0980529785156
1999-01-07,293.50830078125
1999-01-08,298.6878356933594
1999-01-11,293.50830078125
1999-01-12,295.23480224609375
1999-01-13,291.7817687988281
1999-01-14,290.05523681640625
1999-01-15,293.50830078125
1999-01-19,293.50830078125
1999-01-20,293.50830078125
1999-01-21,293.50830078125
1999-01-22,290.05523681640625
1999-01-25,293.50830078125
1999-01-26,291.7817687988281
1999-01-27,293.50830078125
1999-01-28,291.7817687988281
1999-01-29,290.05523681640625
1999-02-01,290.05523681640625
1999-02-02,288.3287353515625
1999-02-03,286.6022033691406
1999-02-04,286.6022033691406
1999-02-05,286.6022033691406
1999-02-08,286.6022033691406
1999-02-09,283.149169921875
1999-02-10,284.8757019042969
1999-02-11,286.6022033691406
1999-02-12,288.3287353515625
1999-02-16,283.149169921875
1999-02-17,288.3287353515625
1999-02-18,291.7817687988281
1999-02-19,288.3287353515625
1999-02-22,290.05523681640625
1999-02-23,283.149169921875
1999-02-24,290.05523681640625
1999-02-25,283.149169921875
1999-02-26,283.149169921875
1999-03-01,284.8757019042969
1999-03-02,288.3287353515625
1999-03-03,288.3287353515625
1999-03-04,288.3287353515625
1999-03-05,286.6022033691406
1999-03-08,288.3287353515625
1999-03-09,283.149169921875
1999-03-10,286.6022033691406
1999-03-11,290.05523681640625
1999-03-12,283.149169921875
1999-03-15,283.149169921875
1999-03-16,284.8757019042969
1999-03-17,283.149169921875
1999-03-18,283.149169921875
1999-03-19,290.05523681640625
1999-03-22,290.05523681640625
1999-03-23,290.05523681640625
1999-03-24,283.149169921875
1999-03-25,283.149169921875
1999-03-26,283.149169921875
1999-03-29,283.149169921875
1999-03-30,284.8757019042969
1999-03-31,290.05523681640625
1999-04-01,290.05523681640625
1999-04-05,290.05523681640625
1999-04-06,290.05523681640625
1999-04-07,286.6022033691406
1999-04-08,283.149169921875
1999-04-09,283.149169921875
1999-04-12,283.149169921875
1999-04-13,283.149169921875
1999-04-14,283.149169921875
1999-04-15,283.149169921875
1999-04-16,283.149169921875
1999-04-19,283.149169921875
1999-04-20,284.8757019042969
1999-04-21,283.149169921875
1999-04-22,283.149169921875
1999-04-23,283.149169921875
1999-04-26,283.149169921875
1999-04-27,283.149169921875
1999-04-28,283.149169921875
1999-04-29,283.149169921875
1999-04-30,293.50830078125
1999-05-03,293.50830078125
1999-05-04,293.50830078125
1999-05-05,293.50830078125
1999-05-06,286.6022033691406
1999-05-07,286.6022033691406
1999-05-10,290.05523681640625
1999-05-11,291.7817687988281
1999-05-12,291.7817687988281
1999-05-13,290.05523681640625
1999-05-14,290.05523681640625
1999-05-17,290.05523681640625
1999-05-18,290.05523681640625
1999-05-19,290.05523681640625
1999-05-20,291.7817687988281
1999-05-21,291.7817687988281
1999-05-24,291.7817687988281
1999-05-25,286.6022033691406
1999-05-26,288.3287353515625
1999-05-27,290.05523681640625
1999-05-28,290.05523681640625
