,EH
2019-12-13,12.899999618530273
2019-12-16,12.5
2019-12-17,11.069999694824219
2019-12-18,9.520000457763672
2019-12-19,9.399999618530273
2019-12-20,10.0
2019-12-23,10.180000305175781
2019-12-24,10.529999732971191
2019-12-26,10.609999656677246
2019-12-27,10.630000114440918
2019-12-30,10.640000343322754
2019-12-31,10.75
2020-01-02,12.699999809265137
2020-01-03,12.800000190734863
2020-01-06,13.539999961853027
2020-01-07,13.550000190734863
2020-01-08,13.600000381469727
2020-01-09,13.449999809265137
2020-01-10,13.319999694824219
2020-01-13,13.640000343322754
2020-01-14,13.420000076293945
2020-01-15,13.75
2020-01-16,13.289999961853027
2020-01-17,13.210000038146973
2020-01-21,13.050000190734863
2020-01-22,13.100000381469727
2020-01-23,12.800000190734863
2020-01-24,12.550000190734863
2020-01-27,11.8100004196167
2020-01-28,12.270000457763672
2020-01-29,11.9399995803833
2020-01-30,11.399999618530273
2020-01-31,10.859999656677246
2020-02-03,11.34000015258789
2020-02-04,12.430000305175781
2020-02-05,12.4399995803833
2020-02-06,12.300000190734863
2020-02-07,12.260000228881836
2020-02-10,12.300000190734863
2020-02-11,12.399999618530273
2020-02-12,12.600000381469727
2020-02-13,12.399999618530273
2020-02-14,12.0
2020-02-18,12.029999732971191
2020-02-19,12.600000381469727
2020-02-20,12.095000267028809
2020-02-21,12.024999618530273
2020-02-24,11.086999893188477
2020-02-25,11.40999984741211
2020-02-26,11.069999694824219
2020-02-27,11.109999656677246
2020-02-28,11.050000190734863
2020-03-02,11.0600004196167
2020-03-03,11.199999809265137
2020-03-04,11.119999885559082
2020-03-05,11.25
2020-03-06,11.100000381469727
2020-03-09,10.25
2020-03-10,11.0
2020-03-11,10.329999923706055
2020-03-12,10.84000015258789
2020-03-13,10.050000190734863
2020-03-16,9.949999809265137
2020-03-17,10.100000381469727
2020-03-18,10.149999618530273
2020-03-19,10.25
2020-03-20,10.15999984741211
2020-03-23,10.199999809265137
2020-03-24,10.420000076293945
2020-03-25,10.359999656677246
2020-03-26,11.210000038146973
2020-03-27,10.470000267028809
2020-03-30,10.210000038146973
2020-03-31,10.739999771118164
2020-04-01,10.279999732971191
2020-04-02,11.800000190734863
2020-04-03,11.680000305175781
2020-04-06,11.980999946594238
2020-04-07,11.9399995803833
2020-04-08,12.050000190734863
2020-04-09,12.0
2020-04-13,11.934000015258789
2020-04-14,12.100000381469727
2020-04-15,11.970000267028809
2020-04-16,13.329999923706055
2020-04-17,12.989999771118164
2020-04-20,12.420999526977539
2020-04-21,12.760000228881836
2020-04-22,12.399999618530273
2020-04-23,12.319999694824219
2020-04-24,12.800000190734863
2020-04-27,12.729999542236328
2020-04-28,13.600000381469727
2020-04-29,13.109999656677246
2020-04-30,11.770000457763672
2020-05-01,11.0
2020-05-04,11.5
2020-05-05,12.020000457763672
2020-05-06,11.729999542236328
2020-05-07,11.90999984741211
2020-05-08,11.90999984741211
2020-05-11,11.960000038146973
2020-05-12,11.800000190734863
2020-05-13,11.6899995803833
2020-05-14,11.489999771118164
2020-05-15,11.369999885559082
2020-05-18,11.949999809265137
2020-05-19,12.010000228881836
2020-05-20,11.53499984741211
2020-05-21,11.899999618530273
2020-05-22,11.649999618530273
2020-05-26,11.710000038146973
2020-05-27,11.739999771118164
2020-05-28,12.109999656677246
2020-05-29,12.119999885559082
2020-06-01,11.880000114440918
2020-06-02,11.75
2020-06-03,11.770000457763672
2020-06-04,11.670000076293945
2020-06-05,11.789999961853027
2020-06-08,13.380000114440918
2020-06-09,12.670000076293945
2020-06-10,12.399999618530273
2020-06-11,12.5
2020-06-12,12.0
2020-06-15,12.850000381469727
2020-06-16,12.5
2020-06-17,12.279999732971191
2020-06-18,12.0
2020-06-19,11.800000190734863
2020-06-22,11.4399995803833
2020-06-23,11.449000358581543
2020-06-24,11.510000228881836
2020-06-25,11.319999694824219
2020-06-26,11.149999618530273
2020-06-29,10.859999656677246
2020-06-30,10.484000205993652
2020-07-01,10.760000228881836
2020-07-02,10.390000343322754
2020-07-06,12.0
2020-07-07,12.140000343322754
2020-07-08,11.710000038146973
2020-07-09,11.359999656677246
2020-07-10,11.789999961853027
2020-07-13,10.9399995803833
2020-07-14,10.600000381469727
2020-07-15,10.850000381469727
2020-07-16,10.850000381469727
2020-07-17,10.449999809265137
2020-07-20,10.380000114440918
2020-07-21,10.300000190734863
2020-07-22,10.0
2020-07-23,9.970000267028809
2020-07-24,8.529999732971191
2020-07-27,8.149999618530273
2020-07-28,7.699999809265137
2020-07-29,8.039999961853027
2020-07-30,7.989999771118164
2020-07-31,8.319999694824219
2020-08-03,9.640000343322754
2020-08-04,9.989999771118164
2020-08-05,9.899999618530273
2020-08-06,9.4399995803833
2020-08-07,9.210000038146973
2020-08-10,9.6899995803833
2020-08-11,9.720000267028809
2020-08-12,9.699999809265137
2020-08-13,9.199999809265137
2020-08-14,8.989999771118164
2020-08-17,8.9399995803833
2020-08-18,8.800000190734863
2020-08-19,8.319999694824219
2020-08-20,8.020000457763672
2020-08-21,8.050000190734863
2020-08-24,7.880000114440918
2020-08-25,8.420000076293945
2020-08-26,8.600000381469727
2020-08-27,8.210000038146973
2020-08-28,8.359999656677246
2020-08-31,9.199999809265137
2020-09-01,9.109999656677246
2020-09-02,9.079999923706055
2020-09-03,9.1899995803833
2020-09-04,8.529999732971191
2020-09-08,8.600000381469727
2020-09-09,8.649999618530273
2020-09-10,9.109999656677246
2020-09-11,9.119999885559082
2020-09-14,9.0600004196167
2020-09-15,9.739999771118164
2020-09-16,10.0
2020-09-17,9.65999984741211
2020-09-18,9.59000015258789
2020-09-21,8.920000076293945
2020-09-22,9.25
2020-09-23,8.680000305175781
2020-09-24,8.0
2020-09-25,8.0
2020-09-28,7.989999771118164
2020-09-29,7.949999809265137
2020-09-30,7.978000164031982
2020-10-01,8.039999961853027
2020-10-02,8.0
2020-10-05,8.0
2020-10-06,8.100000381469727
2020-10-07,8.289999961853027
2020-10-08,8.789999961853027
2020-10-09,9.239999771118164
2020-10-12,8.800000190734863
2020-10-13,8.75
2020-10-14,9.100000381469727
2020-10-15,9.020000457763672
2020-10-16,8.979999542236328
2020-10-19,9.039999961853027
2020-10-20,9.050000190734863
2020-10-21,9.079999923706055
2020-10-22,8.960000038146973
2020-10-23,8.649999618530273
2020-10-26,8.529999732971191
2020-10-27,8.359999656677246
2020-10-28,7.96999979019165
2020-10-29,8.1899995803833
2020-10-30,7.945000171661377
2020-11-02,8.050000190734863
2020-11-03,8.119999885559082
2020-11-04,8.300000190734863
2020-11-05,8.789999961853027
2020-11-06,8.880000114440918
2020-11-09,9.289999961853027
2020-11-10,9.079999923706055
2020-11-11,9.289999961853027
2020-11-12,9.40999984741211
2020-11-13,10.479999542236328
2020-11-16,11.229999542236328
2020-11-17,11.270000457763672
2020-11-18,11.130000114440918
