,FATBP
2020-07-14,18.5
2020-07-15,17.790000915527344
2020-07-16,16.700000762939453
2020-07-17,17.889999389648438
2020-07-20,17.969999313354492
2020-07-21,17.049999237060547
2020-07-22,17.059999465942383
2020-07-23,17.059999465942383
2020-07-24,16.5
2020-07-27,16.34000015258789
2020-07-28,16.739999771118164
2020-07-29,16.790000915527344
2020-07-30,16.780000686645508
2020-07-31,16.0
2020-08-03,14.5
2020-08-04,14.100000381469727
2020-08-05,14.0
2020-08-06,14.350000381469727
2020-08-07,15.75
2020-08-10,15.0
2020-08-11,13.850000381469727
2020-08-12,14.350000381469727
2020-08-13,15.0
2020-08-14,15.9399995803833
2020-08-17,16.136999130249023
2020-08-18,15.979999542236328
2020-08-19,15.800000190734863
2020-08-20,16.0
2020-08-21,16.0
2020-08-24,15.699999809265137
2020-08-25,15.789999961853027
2020-08-26,15.789999961853027
2020-08-27,15.27299976348877
2020-08-28,15.27299976348877
2020-08-31,15.149999618530273
2020-09-01,15.119999885559082
2020-09-02,14.991000175476074
2020-09-03,15.225000381469727
2020-09-04,15.82800006866455
2020-09-08,15.82800006866455
2020-09-09,15.652999877929688
2020-09-10,15.25
2020-09-11,15.25
2020-09-14,15.25
2020-09-15,15.25
2020-09-16,15.475000381469727
2020-09-17,15.399999618530273
2020-09-18,15.399999618530273
2020-09-21,15.157999992370605
2020-09-22,15.09000015258789
2020-09-23,15.050000190734863
2020-09-24,14.670000076293945
2020-09-25,14.850000381469727
2020-09-28,15.152000427246094
2020-09-29,14.925999641418457
2020-09-30,14.800000190734863
2020-10-01,14.753999710083008
2020-10-02,14.5
2020-10-05,14.854999542236328
2020-10-06,14.854999542236328
2020-10-07,15.0
2020-10-08,15.472999572753906
2020-10-09,15.100000381469727
2020-10-12,14.5
2020-10-13,15.265000343322754
2020-10-14,15.333999633789062
2020-10-15,15.479999542236328
2020-10-16,15.32699966430664
2020-10-19,15.699999809265137
2020-10-20,15.75
2020-10-21,15.850000381469727
2020-10-22,15.979999542236328
2020-10-23,16.010000228881836
2020-10-26,16.350000381469727
2020-10-27,16.350000381469727
2020-10-28,15.75
2020-10-29,15.75
2020-10-30,15.75
2020-11-02,15.75
2020-11-03,15.654000282287598
2020-11-04,15.920000076293945
2020-11-05,15.760000228881836
2020-11-06,16.0
2020-11-09,16.124000549316406
2020-11-10,16.55500030517578
2020-11-11,15.899999618530273
2020-11-12,15.75
2020-11-13,16.200000762939453
2020-11-16,16.299999237060547
2020-11-17,16.479999542236328
2020-11-18,16.219999313354492
2020-11-19,16.489999771118164
2020-11-20,16.121000289916992
2020-11-23,16.489999771118164
2020-11-24,17.350000381469727
2020-11-25,17.722000122070312
2020-11-27,17.5
2020-11-30,17.649999618530273
2020-12-01,19.75
2020-12-02,19.25
2020-12-03,18.549999237060547
2020-12-04,19.0
2020-12-07,18.0
2020-12-08,18.280000686645508
2020-12-09,18.20599937438965
2020-12-10,18.25
2020-12-11,18.690000534057617
2020-12-14,17.3799991607666
2020-12-15,16.950000762939453
2020-12-16,16.804000854492188
2020-12-17,16.395000457763672
2020-12-18,16.489999771118164
2020-12-21,16.239999771118164
2020-12-22,16.43000030517578
2020-12-23,17.100000381469727
2020-12-24,15.74899959564209
2020-12-28,16.25
2020-12-29,16.170000076293945
2020-12-30,16.40999984741211
2020-12-31,16.989999771118164
2021-01-04,15.979999542236328
2021-01-05,16.1200008392334
2021-01-06,16.280000686645508
2021-01-07,16.549999237060547
2021-01-08,16.25
2021-01-11,16.190000534057617
2021-01-12,16.100000381469727
2021-01-13,16.1299991607666
2021-01-14,16.299999237060547
2021-01-15,16.459999084472656
2021-01-19,16.75
2021-01-20,16.950000762939453
2021-01-21,16.719999313354492
2021-01-22,16.84000015258789
2021-01-25,16.739999771118164
2021-01-26,16.530000686645508
2021-01-27,16.725000381469727
