,ASO
2020-10-02,12.989999771118164
2020-10-05,13.149999618530273
2020-10-06,13.039999961853027
2020-10-07,13.180000305175781
2020-10-08,13.279999732971191
2020-10-09,13.300000190734863
2020-10-12,13.449999809265137
2020-10-13,13.460000038146973
2020-10-14,13.3100004196167
2020-10-15,13.699999809265137
2020-10-16,13.920000076293945
2020-10-19,13.819999694824219
2020-10-20,14.489999771118164
2020-10-21,14.899999618530273
2020-10-22,14.760000228881836
2020-10-23,14.579999923706055
2020-10-26,14.800000190734863
2020-10-27,14.880000114440918
2020-10-28,14.4399995803833
2020-10-29,14.65999984741211
2020-10-30,14.699999809265137
2020-11-02,15.130000114440918
2020-11-03,15.390000343322754
2020-11-04,15.720000267028809
2020-11-05,16.510000228881836
2020-11-06,17.5
2020-11-09,16.190000534057617
2020-11-10,16.709999084472656
2020-11-11,16.479999542236328
2020-11-12,16.25
2020-11-13,16.670000076293945
2020-11-16,16.43000030517578
2020-11-17,16.100000381469727
2020-11-18,15.220000267028809
2020-11-19,15.239999771118164
2020-11-20,15.819999694824219
2020-11-23,16.0
2020-11-24,17.0
2020-11-25,16.700000762939453
2020-11-27,16.579999923706055
2020-11-30,16.450000762939453
2020-12-01,16.8799991607666
2020-12-02,16.40999984741211
2020-12-03,16.200000762939453
2020-12-04,15.880000114440918
2020-12-07,16.190000534057617
2020-12-08,15.960000038146973
2020-12-09,16.850000381469727
2020-12-10,17.489999771118164
2020-12-11,17.579999923706055
2020-12-14,18.0
2020-12-15,18.5
2020-12-16,18.850000381469727
2020-12-17,18.809999465942383
2020-12-18,18.40999984741211
2020-12-21,18.600000381469727
2020-12-22,19.979999542236328
2020-12-23,19.530000686645508
2020-12-24,20.139999389648438
2020-12-28,20.8799991607666
2020-12-29,20.979999542236328
2020-12-30,20.799999237060547
2020-12-31,20.729999542236328
2021-01-04,21.190000534057617
2021-01-05,20.670000076293945
2021-01-06,21.170000076293945
2021-01-07,20.510000228881836
2021-01-08,20.780000686645508
2021-01-11,21.889999389648438
2021-01-12,22.530000686645508
2021-01-13,22.030000686645508
2021-01-14,22.56999969482422
2021-01-15,22.18000030517578
2021-01-19,21.579999923706055
2021-01-20,22.520000457763672
2021-01-21,21.799999237060547
2021-01-22,22.459999084472656
2021-01-25,23.690000534057617
2021-01-26,24.290000915527344
2021-01-27,22.079999923706055
2021-01-28,21.06999969482422
2021-01-29,21.5
2021-02-01,22.100000381469727
2021-02-02,22.75
2021-02-03,23.6200008392334
2021-02-04,23.93000030517578
2021-02-05,23.920000076293945
2021-02-08,24.0
2021-02-09,23.610000610351562
2021-02-10,25.559999465942383
2021-02-11,25.360000610351562
2021-02-12,25.469999313354492
2021-02-16,26.079999923706055
2021-02-17,25.170000076293945
2021-02-18,25.149999618530273
2021-02-19,25.149999618530273
2021-02-22,24.510000228881836
2021-02-23,24.530000686645508
2021-02-24,24.889999389648438
2021-02-25,24.735000610351562
2021-02-26,23.959999084472656
2021-03-01,24.149999618530273
2021-03-02,24.559999465942383
2021-03-03,25.209999084472656
2021-03-04,25.65999984741211
2021-03-05,24.540000915527344
2021-03-08,26.959999084472656
2021-03-09,25.09000015258789
2021-03-10,24.579999923706055
2021-03-11,25.0
2021-03-12,25.700000762939453
2021-03-15,25.530000686645508
2021-03-16,24.25
2021-03-17,25.15999984741211
2021-03-18,25.09000015258789
2021-03-19,25.65999984741211
2021-03-22,25.709999084472656
2021-03-23,24.459999084472656
2021-03-24,23.59000015258789
2021-03-25,23.93000030517578
2021-03-26,24.649999618530273
2021-03-29,24.270000457763672
2021-03-30,26.8799991607666
2021-03-31,26.989999771118164
2021-04-01,29.040000915527344
2021-04-05,31.700000762939453
2021-04-06,31.139999389648438
2021-04-07,30.780000686645508
2021-04-08,29.049999237060547
2021-04-09,30.84000015258789
2021-04-12,32.290000915527344
2021-04-13,31.68000030517578
2021-04-14,30.81999969482422
2021-04-15,30.540000915527344
2021-04-16,30.770000457763672
2021-04-19,31.920000076293945
2021-04-20,31.399999618530273
2021-04-21,31.139999389648438
2021-04-22,30.520000457763672
2021-04-23,32.11000061035156
2021-04-26,31.420000076293945
2021-04-27,31.43000030517578
2021-04-28,30.979999542236328
2021-04-29,30.799999237060547
2021-04-30,30.809999465942383
2021-05-03,31.18000030517578
2021-05-04,30.799999237060547
2021-05-05,33.290000915527344
2021-05-06,34.0099983215332
2021-05-07,33.810001373291016
2021-05-10,33.29999923706055
2021-05-11,35.06999969482422
2021-05-12,33.95000076293945
2021-05-13,34.810001373291016
2021-05-14,35.619998931884766
