,CIL
2015-08-20,34.439998626708984
2015-08-21,33.529998779296875
2015-08-24,33.06999969482422
2015-08-25,33.29999923706055
2015-08-26,32.83000183105469
2015-08-27,33.869998931884766
2015-08-28,33.869998931884766
2015-08-31,33.59000015258789
2015-09-01,32.63999938964844
2015-09-02,32.63999938964844
2015-09-03,32.63999938964844
2015-09-04,32.63999938964844
2015-09-08,32.63999938964844
2015-09-09,32.63999938964844
2015-09-10,33.380001068115234
2015-09-11,33.380001068115234
2015-09-14,33.380001068115234
2015-09-15,33.380001068115234
2015-09-16,33.380001068115234
2015-09-17,34.25
2015-09-18,34.25
2015-09-21,34.25
2015-09-22,34.25
2015-09-23,34.25
2015-09-24,34.25
2015-09-25,34.25
2015-09-28,34.25
2015-09-29,34.25
2015-09-30,32.36000061035156
2015-10-01,32.36000061035156
2015-10-02,33.060001373291016
2015-10-05,33.060001373291016
2015-10-06,33.060001373291016
2015-10-07,33.060001373291016
2015-10-08,34.0099983215332
2015-10-09,34.279998779296875
2015-10-12,34.25
2015-10-13,34.02000045776367
2015-10-14,33.9900016784668
2015-10-15,34.40999984741211
2015-10-16,34.54999923706055
2015-10-19,34.34000015258789
2015-10-20,34.34000015258789
2015-10-21,34.34000015258789
2015-10-22,34.34000015258789
2015-10-23,35.06999969482422
2015-10-26,34.970001220703125
2015-10-27,34.970001220703125
2015-10-28,34.970001220703125
2015-10-29,34.970001220703125
2015-10-30,34.970001220703125
2015-11-02,34.970001220703125
2015-11-03,34.970001220703125
2015-11-04,34.970001220703125
2015-11-05,34.68000030517578
2015-11-06,34.50699996948242
2015-11-09,34.50699996948242
2015-11-10,34.50699996948242
2015-11-11,34.38999938964844
2015-11-12,34.029998779296875
2015-11-13,33.720001220703125
2015-11-16,34.060001373291016
2015-11-17,34.06999969482422
2015-11-18,34.16999816894531
2015-11-19,34.56999969482422
2015-11-20,34.540000915527344
2015-11-23,34.33000183105469
2015-11-24,34.290000915527344
2015-11-25,34.290000915527344
2015-11-27,34.290000915527344
2015-11-30,34.290000915527344
2015-12-01,34.290000915527344
2015-12-02,34.52000045776367
2015-12-03,34.2400016784668
2015-12-04,34.63999938964844
2015-12-07,34.63999938964844
2015-12-08,33.86800003051758
2015-12-09,33.86800003051758
2015-12-10,33.86800003051758
2015-12-11,33.209999084472656
2015-12-14,33.10900115966797
2015-12-15,33.29999923706055
2015-12-16,33.53099822998047
2015-12-17,33.630001068115234
2015-12-18,33.630001068115234
2015-12-21,33.439998626708984
2015-12-22,33.439998626708984
2015-12-23,33.90999984741211
2015-12-24,34.0
2015-12-28,34.0
2015-12-29,34.0
2015-12-30,34.064998626708984
2015-12-31,33.709999084472656
2016-01-04,32.75
2016-01-05,32.87900161743164
2016-01-06,32.43899917602539
2016-01-07,31.680999755859375
2016-01-08,31.665000915527344
2016-01-11,31.639999389648438
2016-01-12,31.70800018310547
2016-01-13,31.628999710083008
2016-01-14,31.6299991607666
2016-01-15,30.59000015258789
2016-01-19,30.790000915527344
2016-01-20,30.219999313354492
2016-01-21,30.301000595092773
2016-01-22,30.930999755859375
2016-01-25,30.930999755859375
2016-01-26,31.110000610351562
2016-01-27,31.309999465942383
2016-01-28,31.219999313354492
2016-01-29,31.219999313354492
2016-02-01,31.639999389648438
2016-02-02,31.038999557495117
2016-02-03,31.100000381469727
2016-02-04,31.350000381469727
2016-02-05,30.799999237060547
2016-02-08,30.06999969482422
2016-02-09,29.81999969482422
2016-02-10,29.81999969482422
2016-02-11,29.570999145507812
2016-02-12,29.65999984741211
2016-02-16,30.299999237060547
2016-02-17,30.81999969482422
2016-02-18,31.139999389648438
2016-02-19,30.84000015258789
2016-02-22,31.30900001525879
2016-02-23,31.30900001525879
2016-02-24,30.760000228881836
2016-02-25,31.149999618530273
2016-02-26,31.06999969482422
2016-02-29,31.040000915527344
2016-03-01,31.75
2016-03-02,31.65999984741211
2016-03-03,31.65999984741211
2016-03-04,31.65999984741211
2016-03-07,31.65999984741211
2016-03-08,31.979999542236328
2016-03-09,31.979999542236328
2016-03-10,31.979999542236328
2016-03-11,31.979999542236328
2016-03-14,32.459999084472656
2016-03-15,32.650001525878906
2016-03-16,32.9900016784668
2016-03-17,32.9900016784668
2016-03-18,33.29999923706055
2016-03-21,33.26900100708008
2016-03-22,33.13999938964844
2016-03-23,32.869998931884766
2016-03-24,32.869998931884766
2016-03-28,32.97800064086914
2016-03-29,32.90999984741211
2016-03-30,33.659000396728516
2016-03-31,33.54899978637695
2016-04-01,32.95000076293945
2016-04-04,32.880001068115234
2016-04-05,32.47100067138672
2016-04-06,32.8390007019043
2016-04-07,32.27000045776367
2016-04-08,33.10900115966797
2016-04-11,33.10900115966797
2016-04-12,33.93000030517578
2016-04-13,33.93000030517578
2016-04-14,33.93000030517578
2016-04-15,33.819000244140625
2016-04-18,33.95000076293945
2016-04-19,34.49800109863281
2016-04-20,34.540000915527344
2016-04-21,34.15999984741211
2016-04-22,34.15999984741211
2016-04-25,33.915000915527344
