,BTWNW
2020-12-07,2.4800000190734863
2020-12-08,2.609999895095825
2020-12-09,2.5999999046325684
2020-12-10,2.609999895095825
2020-12-11,2.8399999141693115
2020-12-14,2.6500000953674316
2020-12-15,3.740000009536743
2020-12-16,3.700000047683716
2020-12-17,3.990000009536743
2020-12-18,3.630000114440918
2020-12-21,3.809999942779541
2020-12-22,3.869999885559082
2020-12-23,4.099999904632568
2020-12-24,4.699999809265137
2020-12-28,4.75
2020-12-29,4.78000020980835
2020-12-30,4.730000019073486
2020-12-31,4.389999866485596
2021-01-04,4.0269999504089355
2021-01-05,3.509999990463257
2021-01-06,3.609999895095825
2021-01-07,3.9100000858306885
2021-01-08,3.8499999046325684
2021-01-11,3.9600000381469727
2021-01-12,4.199999809265137
2021-01-13,4.400000095367432
2021-01-14,4.630000114440918
2021-01-15,4.599999904632568
2021-01-19,4.46999979019165
2021-01-20,4.239999771118164
2021-01-21,4.239999771118164
2021-01-22,4.099999904632568
2021-01-25,3.9800000190734863
2021-01-26,3.8499999046325684
2021-01-27,3.619999885559082
2021-01-28,3.7899999618530273
2021-01-29,3.7699999809265137
2021-02-01,4.090000152587891
2021-02-02,5.0
2021-02-03,4.53000020980835
2021-02-04,4.46999979019165
2021-02-05,4.480000019073486
2021-02-08,4.46999979019165
2021-02-09,4.449999809265137
2021-02-10,4.409999847412109
2021-02-11,4.159999847412109
2021-02-12,4.369999885559082
2021-02-16,4.900000095367432
2021-02-17,4.940000057220459
2021-02-18,5.03000020980835
2021-02-19,5.900000095367432
2021-02-22,5.210000038146973
2021-02-23,4.710000038146973
2021-02-24,4.5
2021-02-25,4.110000133514404
2021-02-26,4.360000133514404
2021-03-01,4.449999809265137
2021-03-02,4.050000190734863
2021-03-03,3.4100000858306885
2021-03-04,3.0899999141693115
2021-03-05,3.549999952316284
2021-03-08,2.9800000190734863
2021-03-09,3.369999885559082
2021-03-10,3.5199999809265137
2021-03-11,4.210000038146973
2021-03-12,4.630000114440918
2021-03-15,4.519999980926514
2021-03-16,4.03000020980835
2021-03-17,3.8499999046325684
2021-03-18,3.5999999046325684
2021-03-19,3.700000047683716
2021-03-22,3.7100000381469727
2021-03-23,3.319999933242798
2021-03-24,3.0
2021-03-25,2.680000066757202
2021-03-26,2.5999999046325684
2021-03-29,2.5999999046325684
2021-03-30,2.7860000133514404
2021-03-31,2.809999942779541
2021-04-01,2.8499999046325684
2021-04-05,2.7699999809265137
2021-04-06,2.950000047683716
2021-04-07,2.950000047683716
2021-04-08,3.8299999237060547
2021-04-09,3.240000009536743
2021-04-12,3.0
2021-04-13,2.759999990463257
2021-04-14,2.640000104904175
2021-04-15,2.630000114440918
2021-04-16,2.5299999713897705
2021-04-19,2.1700000762939453
2021-04-20,2.119999885559082
2021-04-21,2.0850000381469727
2021-04-22,2.069999933242798
2021-04-23,2.25
2021-04-26,2.309999942779541
2021-04-27,2.4100000858306885
2021-04-28,2.450000047683716
2021-04-29,2.4200000762939453
2021-04-30,2.380000114440918
2021-05-03,2.5299999713897705
2021-05-04,2.2799999713897705
2021-05-05,2.369999885559082
2021-05-06,2.130000114440918
2021-05-07,2.200000047683716
2021-05-10,2.2300000190734863
2021-05-11,1.9600000381469727
2021-05-12,1.7999999523162842
2021-05-13,1.7699999809265137
2021-05-14,1.9800000190734863
