,BREZ
2020-11-24,10.039999961853027
2020-11-25,10.09000015258789
2020-11-27,10.09000015258789
2020-11-30,10.100000381469727
2020-12-01,10.09000015258789
2020-12-02,10.0600004196167
2020-12-03,10.100000381469727
2020-12-04,10.130000114440918
2020-12-07,10.109999656677246
2020-12-08,10.156999588012695
2020-12-09,10.170000076293945
2020-12-10,10.149999618530273
2020-12-11,10.300000190734863
2020-12-14,10.260000228881836
2020-12-15,10.28499984741211
2020-12-16,10.34000015258789
2020-12-17,10.34000015258789
2020-12-18,10.399999618530273
2020-12-21,10.354999542236328
2020-12-22,10.619999885559082
2020-12-23,10.399999618530273
2020-12-24,10.140000343322754
2020-12-28,10.239999771118164
2020-12-29,10.119999885559082
2020-12-30,10.109999656677246
2020-12-31,10.149999618530273
2021-01-04,10.109999656677246
2021-01-05,10.140000343322754
2021-01-06,10.199999809265137
2021-01-07,10.149999618530273
2021-01-08,10.324999809265137
2021-01-11,10.199999809265137
2021-01-12,10.300000190734863
2021-01-13,10.479999542236328
2021-01-14,10.479999542236328
2021-01-15,10.300000190734863
2021-01-19,10.369999885559082
2021-01-20,10.350000381469727
2021-01-21,10.392999649047852
2021-01-22,10.418000221252441
2021-01-25,10.350000381469727
2021-01-26,10.3100004196167
2021-01-27,10.149999618530273
2021-01-28,10.199999809265137
2021-01-29,10.15999984741211
2021-02-01,10.600000381469727
2021-02-02,10.550000190734863
2021-02-03,10.579999923706055
2021-02-04,10.520000457763672
2021-02-05,10.520000457763672
2021-02-08,10.489999771118164
2021-02-09,10.489999771118164
2021-02-10,10.380000114440918
2021-02-11,10.319999694824219
2021-02-12,10.220000267028809
2021-02-16,10.34000015258789
2021-02-17,10.350000381469727
2021-02-18,10.359999656677246
2021-02-19,10.420000076293945
2021-02-22,10.390000343322754
2021-02-23,10.3100004196167
2021-02-24,10.449999809265137
2021-02-25,10.279999732971191
2021-02-26,10.319999694824219
2021-03-01,10.25
2021-03-02,10.100000381469727
2021-03-03,10.149999618530273
2021-03-04,10.020000457763672
2021-03-05,10.050000190734863
2021-03-08,10.039999961853027
2021-03-09,10.010000228881836
2021-03-10,10.010000228881836
2021-03-11,10.020000457763672
2021-03-12,10.0600004196167
2021-03-15,10.050000190734863
2021-03-16,10.020000457763672
2021-03-17,10.010000228881836
2021-03-18,10.010000228881836
2021-03-19,10.029999732971191
2021-03-22,10.029999732971191
2021-03-23,9.970000267028809
2021-03-24,9.850000381469727
2021-03-25,9.904999732971191
2021-03-26,9.949999809265137
2021-03-29,9.970000267028809
2021-03-30,9.989999771118164
2021-03-31,9.949999809265137
2021-04-01,10.039999961853027
2021-04-05,9.970000267028809
2021-04-06,10.029999732971191
2021-04-07,10.0
2021-04-08,10.020000457763672
2021-04-09,10.050000190734863
2021-04-12,10.029999732971191
2021-04-13,10.079999923706055
2021-04-14,10.0600004196167
2021-04-15,10.050000190734863
2021-04-16,10.03499984741211
2021-04-19,10.020000457763672
2021-04-20,10.020000457763672
2021-04-21,10.024999618530273
2021-04-22,10.039999961853027
2021-04-23,10.010000228881836
2021-04-26,10.015999794006348
2021-04-27,10.010000228881836
2021-04-28,10.020000457763672
2021-04-29,10.020000457763672
2021-04-30,10.039999961853027
2021-05-03,10.039999961853027
2021-05-04,10.039999961853027
2021-05-05,10.029999732971191
2021-05-06,10.029999732971191
2021-05-07,10.010000228881836
2021-05-10,10.010000228881836
2021-05-11,10.0
2021-05-12,10.0
2021-05-13,10.0
2021-05-14,10.020000457763672
