,BCAC
2021-02-22,10.649999618530273
2021-02-23,10.1899995803833
2021-02-24,10.699999809265137
2021-02-25,10.350000381469727
2021-02-26,10.109999656677246
2021-03-01,10.180000305175781
2021-03-02,10.119999885559082
2021-03-03,10.069999694824219
2021-03-04,9.906000137329102
2021-03-05,10.045000076293945
2021-03-08,10.017000198364258
2021-03-09,9.9399995803833
2021-03-10,9.949999809265137
2021-03-11,9.970000267028809
2021-03-12,10.0
2021-03-15,9.90999984741211
2021-03-16,9.9399995803833
2021-03-17,9.819999694824219
2021-03-18,9.800000190734863
2021-03-19,9.819999694824219
2021-03-22,9.8100004196167
2021-03-23,9.789999961853027
2021-03-24,9.760000228881836
2021-03-25,9.730999946594238
2021-03-26,9.84000015258789
2021-03-29,9.845000267028809
2021-03-30,9.819999694824219
2021-03-31,9.829999923706055
2021-04-01,9.850000381469727
2021-04-05,9.869999885559082
2021-04-06,9.895000457763672
2021-04-07,9.890000343322754
2021-04-08,9.989999771118164
2021-04-09,9.989999771118164
2021-04-12,9.880000114440918
2021-04-13,9.899999618530273
2021-04-14,9.899999618530273
2021-04-15,9.890000343322754
2021-04-16,9.899999618530273
2021-04-19,9.899999618530273
2021-04-20,9.906999588012695
2021-04-21,9.859999656677246
2021-04-22,9.90999984741211
2021-04-23,9.899999618530273
2021-04-26,9.859999656677246
2021-04-27,9.88700008392334
2021-04-28,9.869999885559082
2021-04-29,9.890000343322754
2021-04-30,9.890000343322754
2021-05-03,9.890000343322754
2021-05-04,9.899999618530273
2021-05-05,9.979999542236328
2021-05-06,9.904999732971191
2021-05-07,9.899999618530273
2021-05-10,9.899999618530273
2021-05-11,9.869999885559082
2021-05-12,9.899999618530273
2021-05-13,9.880000114440918
2021-05-14,9.899999618530273
