,DDIV
2014-03-11,19.979999542236328
2014-03-12,19.979999542236328
2014-03-13,19.950000762939453
2014-03-14,20.0
2014-03-17,20.0
2014-03-18,20.190000534057617
2014-03-19,20.020000457763672
2014-03-20,20.079999923706055
2014-03-21,20.219999313354492
2014-03-24,20.1200008392334
2014-03-25,20.225000381469727
2014-03-26,20.09000015258789
2014-03-27,20.030000686645508
2014-03-28,20.030000686645508
2014-03-31,20.329999923706055
2014-04-01,20.329999923706055
2014-04-02,20.469999313354492
2014-04-03,20.440000534057617
2014-04-04,20.249000549316406
2014-04-07,20.1200008392334
2014-04-08,20.260000228881836
2014-04-09,20.25
2014-04-10,20.0
2014-04-11,19.969999313354492
2014-04-14,20.0
2014-04-15,20.200000762939453
2014-04-16,20.299999237060547
2014-04-17,20.31999969482422
2014-04-21,20.309999465942383
2014-04-22,20.290000915527344
2014-04-23,20.350000381469727
2014-04-24,20.299999237060547
2014-04-25,20.25
2014-04-28,20.299999237060547
2014-04-29,20.329999923706055
2014-04-30,20.329999923706055
2014-05-01,20.329999923706055
2014-05-02,20.211000442504883
2014-05-05,20.200000762939453
2014-05-06,20.239999771118164
2014-05-07,20.239999771118164
2014-05-08,20.239999771118164
2014-05-09,20.270000457763672
2014-05-12,20.450000762939453
2014-05-13,20.450000762939453
2014-05-14,20.459999084472656
2014-05-15,20.209999084472656
2014-05-16,20.329999923706055
2014-05-19,20.350000381469727
2014-05-20,20.200000762939453
2014-05-21,20.18000030517578
2014-05-22,20.350000381469727
2014-05-23,20.459999084472656
2014-05-27,20.54400062561035
2014-05-28,20.54400062561035
2014-05-29,20.559999465942383
2014-05-30,20.559999465942383
2014-06-02,20.520000457763672
2014-06-03,20.540000915527344
2014-06-04,20.579999923706055
2014-06-05,20.579999923706055
2014-06-06,20.8799991607666
2014-06-09,20.871999740600586
2014-06-10,20.790000915527344
2014-06-11,20.729999542236328
2014-06-12,20.599000930786133
2014-06-13,20.65999984741211
2014-06-16,20.719999313354492
2014-06-17,20.739999771118164
2014-06-18,20.93000030517578
2014-06-19,20.969999313354492
2014-06-20,21.0
2014-06-23,20.959999084472656
