,ARYA
2020-08-07,10.4399995803833
2020-08-10,10.399999618530273
2020-08-11,10.399999618530273
2020-08-12,10.399999618530273
2020-08-13,10.399999618530273
2020-08-14,10.489999771118164
2020-08-17,10.550000190734863
2020-08-18,10.430000305175781
2020-08-19,10.430000305175781
2020-08-20,10.489999771118164
2020-08-21,10.399999618530273
2020-08-24,10.5
2020-08-25,10.399999618530273
2020-08-26,10.600000381469727
2020-08-27,10.75
2020-08-28,10.75
2020-08-31,10.699999809265137
2020-09-01,10.699999809265137
2020-09-02,10.729999542236328
2020-09-03,10.789999961853027
2020-09-04,10.694999694824219
2020-09-08,10.789999961853027
2020-09-09,11.239999771118164
2020-09-10,10.824999809265137
2020-09-11,10.899999618530273
2020-09-14,10.899999618530273
2020-09-15,10.899999618530273
2020-09-16,10.8100004196167
2020-09-17,10.75
2020-09-18,10.819999694824219
2020-09-21,10.699999809265137
2020-09-22,10.880000114440918
2020-09-23,10.699999809265137
2020-09-24,10.699999809265137
2020-09-25,10.710000038146973
2020-09-28,10.755000114440918
2020-09-29,10.75
2020-09-30,10.8149995803833
2020-10-01,10.75
2020-10-02,10.710000038146973
2020-10-05,10.550000190734863
2020-10-06,10.758000373840332
2020-10-07,10.6899995803833
2020-10-08,10.649999618530273
2020-10-09,10.571000099182129
2020-10-12,10.670000076293945
2020-10-13,10.670000076293945
2020-10-14,10.449999809265137
2020-10-15,10.399999618530273
2020-10-16,10.399999618530273
2020-10-19,10.409000396728516
2020-10-20,10.388999938964844
2020-10-21,10.300000190734863
2020-10-22,10.28499984741211
2020-10-23,10.199999809265137
2020-10-26,10.140000343322754
2020-10-27,10.470000267028809
2020-10-28,10.369999885559082
2020-10-29,10.300000190734863
2020-10-30,10.239999771118164
2020-11-02,10.260000228881836
2020-11-03,10.239999771118164
2020-11-04,10.300000190734863
2020-11-05,10.5
2020-11-06,10.5
2020-11-09,10.300000190734863
2020-11-10,10.390000343322754
2020-11-11,10.335000038146973
2020-11-12,10.399999618530273
2020-11-13,10.3100004196167
2020-11-16,10.420000076293945
2020-11-17,10.34000015258789
2020-11-18,10.350000381469727
2020-11-19,10.399999618530273
2020-11-20,10.380000114440918
2020-11-23,10.3100004196167
2020-11-24,10.3100004196167
2020-11-25,10.399999618530273
2020-11-27,10.359999656677246
2020-11-30,10.489999771118164
2020-12-01,10.470000267028809
2020-12-02,10.350000381469727
2020-12-03,10.359999656677246
2020-12-04,10.529999732971191
2020-12-07,10.75
2020-12-08,10.75
2020-12-09,10.739999771118164
2020-12-10,10.649999618530273
2020-12-11,10.699999809265137
2020-12-14,10.699999809265137
2020-12-15,10.800000190734863
2020-12-16,10.949999809265137
2020-12-17,10.869999885559082
2020-12-18,10.744999885559082
2020-12-21,10.850000381469727
2020-12-22,10.800000190734863
2020-12-23,10.84000015258789
2020-12-24,10.880000114440918
2020-12-28,10.899999618530273
2020-12-29,10.890000343322754
2020-12-30,10.899999618530273
2020-12-31,10.850000381469727
2021-01-04,10.875
2021-01-05,10.880000114440918
2021-01-06,10.875
2021-01-07,10.890000343322754
2021-01-08,11.050000190734863
2021-01-11,11.199999809265137
2021-01-12,11.34000015258789
2021-01-13,11.569999694824219
2021-01-14,11.960000038146973
2021-01-15,11.5
2021-01-19,11.600000381469727
2021-01-20,11.40999984741211
2021-01-21,11.40999984741211
2021-01-22,11.5
2021-01-25,11.84000015258789
2021-01-26,11.789999961853027
2021-01-27,11.210000038146973
2021-01-28,11.260000228881836
2021-01-29,11.25
2021-02-01,11.15999984741211
2021-02-02,11.180000305175781
2021-02-03,11.199999809265137
2021-02-04,11.119999885559082
2021-02-05,11.210000038146973
2021-02-08,22.43000030517578
2021-02-09,19.299999237060547
2021-02-10,19.899999618530273
2021-02-11,18.3700008392334
2021-02-12,19.34000015258789
2021-02-16,17.350000381469727
2021-02-17,17.280000686645508
2021-02-18,17.25
2021-02-19,19.010000228881836
2021-02-22,18.84000015258789
2021-02-23,16.799999237060547
2021-02-24,17.170000076293945
2021-02-25,15.949999809265137
2021-02-26,15.699999809265137
2021-03-01,16.309999465942383
2021-03-02,15.40999984741211
2021-03-03,14.65999984741211
2021-03-04,13.25
2021-03-05,14.489999771118164
2021-03-08,13.34000015258789
2021-03-09,13.149999618530273
2021-03-10,14.989999771118164
2021-03-11,14.819999694824219
2021-03-12,14.59000015258789
2021-03-15,14.729999542236328
2021-03-16,13.779999732971191
2021-03-17,13.739999771118164
2021-03-18,13.149999618530273
2021-03-19,13.329999923706055
2021-03-22,13.729999542236328
2021-03-23,13.890000343322754
2021-03-24,12.890000343322754
2021-03-25,12.260000228881836
2021-03-26,12.84000015258789
2021-03-29,12.619999885559082
2021-03-30,13.5
2021-03-31,13.779999732971191
2021-04-01,14.069999694824219
2021-04-05,14.1899995803833
2021-04-06,14.050000190734863
2021-04-07,13.210000038146973
2021-04-08,13.069999694824219
2021-04-09,12.6899995803833
2021-04-12,12.0
2021-04-13,11.9399995803833
2021-04-14,12.09000015258789
2021-04-15,12.109999656677246
2021-04-16,12.039999961853027
2021-04-19,11.899999618530273
2021-04-20,11.960000038146973
2021-04-21,11.670000076293945
2021-04-22,11.779999732971191
2021-04-23,11.489999771118164
2021-04-26,11.600000381469727
2021-04-27,11.6899995803833
2021-04-28,11.449999809265137
2021-04-29,11.239999771118164
2021-04-30,11.15999984741211
2021-05-03,10.890000343322754
2021-05-04,10.710000038146973
2021-05-05,10.430000305175781
2021-05-06,10.119999885559082
2021-05-07,10.050000190734863
2021-05-10,10.0600004196167
2021-05-11,10.0600004196167
2021-05-12,10.0
2021-05-13,9.90999984741211
2021-05-14,10.09000015258789
