,ALPN
2015-06-17,59.68000030517578
2015-06-18,59.0
2015-06-19,59.0
2015-06-22,59.52000045776367
2015-06-23,59.47999954223633
2015-06-24,59.119998931884766
2015-06-25,59.279998779296875
2015-06-26,59.959999084472656
2015-06-29,60.0
2015-06-30,60.599998474121094
2015-07-01,63.7599983215332
2015-07-02,64.36000061035156
2015-07-06,63.91999816894531
2015-07-07,63.91999816894531
2015-07-08,63.439998626708984
2015-07-09,63.959999084472656
2015-07-10,66.4000015258789
2015-07-13,65.63999938964844
2015-07-14,66.4000015258789
2015-07-15,65.95999908447266
2015-07-16,69.95999908447266
2015-07-17,76.04000091552734
2015-07-20,72.4800033569336
2015-07-21,72.55999755859375
2015-07-22,73.44000244140625
2015-07-23,71.0
2015-07-24,72.4000015258789
2015-07-27,72.80000305175781
2015-07-28,71.44000244140625
2015-07-29,71.23999786376953
2015-07-30,69.5999984741211
2015-07-31,67.87999725341797
2015-08-03,66.87999725341797
2015-08-04,69.19999694824219
2015-08-05,70.76000213623047
2015-08-06,70.4800033569336
2015-08-07,70.83999633789062
2015-08-10,69.95999908447266
2015-08-11,71.4800033569336
2015-08-12,69.27999877929688
2015-08-13,67.31999969482422
2015-08-14,68.95999908447266
2015-08-17,72.68000030517578
2015-08-18,73.04000091552734
2015-08-19,74.16000366210938
2015-08-20,74.5999984741211
2015-08-21,80.63999938964844
2015-08-24,70.27999877929688
2015-08-25,65.63999938964844
2015-08-26,61.599998474121094
2015-08-27,61.79999923706055
2015-08-28,60.84000015258789
2015-08-31,58.15999984741211
2015-09-01,57.68000030517578
2015-09-02,57.720001220703125
2015-09-03,57.279998779296875
2015-09-04,57.52000045776367
2015-09-08,57.47999954223633
2015-09-09,57.439998626708984
2015-09-10,58.79999923706055
2015-09-11,61.119998931884766
2015-09-14,62.880001068115234
2015-09-15,64.12000274658203
2015-09-16,62.47999954223633
2015-09-17,72.04000091552734
2015-09-18,69.44000244140625
2015-09-21,68.08000183105469
2015-09-22,61.0
2015-09-23,57.900001525878906
2015-09-24,56.119998931884766
2015-09-25,54.720001220703125
2015-09-28,50.959999084472656
2015-09-29,51.040000915527344
2015-09-30,51.880001068115234
2015-10-01,49.880001068115234
2015-10-02,47.08000183105469
2015-10-05,45.7599983215332
2015-10-06,45.400001525878906
2015-10-07,45.599998474121094
2015-10-08,40.20000076293945
2015-10-09,37.47999954223633
2015-10-12,33.560001373291016
2015-10-13,34.119998931884766
2015-10-14,32.36000061035156
2015-10-15,34.47999954223633
2015-10-16,33.20000076293945
2015-10-19,33.2400016784668
2015-10-20,31.959999084472656
2015-10-21,31.079999923706055
2015-10-22,31.959999084472656
2015-10-23,32.52000045776367
2015-10-26,32.040000915527344
2015-10-27,32.08000183105469
2015-10-28,33.0
2015-10-29,31.959999084472656
2015-10-30,32.08000183105469
2015-11-02,33.119998931884766
2015-11-03,33.040000915527344
2015-11-04,34.959999084472656
2015-11-05,33.79999923706055
2015-11-06,33.599998474121094
2015-11-09,34.68000030517578
2015-11-10,33.31999969482422
2015-11-11,32.400001525878906
2015-11-12,32.47999954223633
2015-11-13,32.040000915527344
2015-11-16,32.15999984741211
2015-11-17,32.040000915527344
2015-11-18,33.0
2015-11-19,32.36000061035156
2015-11-20,32.52000045776367
2015-11-23,33.15999984741211
2015-11-24,34.400001525878906
2015-11-25,34.36000061035156
2015-11-27,33.880001068115234
2015-11-30,33.20000076293945
2015-12-01,32.400001525878906
2015-12-02,32.63999938964844
2015-12-03,32.0
