,CGBD
2017-06-14,18.110000610351562
2017-06-15,18.25
2017-06-16,18.280000686645508
2017-06-19,18.299999237060547
2017-06-20,18.350000381469727
2017-06-21,18.31399917602539
2017-06-22,18.350000381469727
2017-06-23,18.270000457763672
2017-06-26,18.479999542236328
2017-06-27,18.489999771118164
2017-06-28,18.190000534057617
2017-06-29,18.030000686645508
2017-06-30,18.010000228881836
2017-07-03,18.31999969482422
2017-07-05,18.209999084472656
2017-07-06,18.09000015258789
2017-07-07,18.1200008392334
2017-07-10,18.079999923706055
2017-07-11,18.18000030517578
2017-07-12,18.18000030517578
2017-07-13,18.209999084472656
2017-07-14,18.219999313354492
2017-07-17,18.18000030517578
2017-07-18,18.18000030517578
2017-07-19,18.1200008392334
2017-07-20,18.0
2017-07-21,18.200000762939453
2017-07-24,18.3799991607666
2017-07-25,18.43000030517578
2017-07-26,18.43000030517578
2017-07-27,18.469999313354492
2017-07-28,18.5
2017-07-31,18.479999542236328
2017-08-01,18.579999923706055
2017-08-02,18.489999771118164
2017-08-03,18.600000381469727
2017-08-04,18.549999237060547
2017-08-07,18.59000015258789
2017-08-08,18.530000686645508
2017-08-09,18.350000381469727
2017-08-10,18.389999389648438
2017-08-11,18.360000610351562
2017-08-14,18.40999984741211
2017-08-15,18.360000610351562
2017-08-16,18.399999618530273
2017-08-17,18.290000915527344
2017-08-18,18.299999237060547
2017-08-21,18.299999237060547
2017-08-22,18.43000030517578
2017-08-23,18.3799991607666
2017-08-24,18.399999618530273
2017-08-25,18.5
2017-08-28,18.530000686645508
2017-08-29,18.520000457763672
2017-08-30,18.510000228881836
2017-08-31,18.5
2017-09-01,18.5
2017-09-05,18.3700008392334
2017-09-06,18.389999389648438
2017-09-07,18.489999771118164
2017-09-08,18.309999465942383
2017-09-11,18.549999237060547
2017-09-12,18.489999771118164
2017-09-13,18.420000076293945
2017-09-14,18.5
2017-09-15,18.40999984741211
2017-09-18,18.6299991607666
2017-09-19,18.5
2017-09-20,18.889999389648438
2017-09-21,18.639999389648438
2017-09-22,18.709999084472656
2017-09-25,18.799999237060547
2017-09-26,18.81999969482422
2017-09-27,18.780000686645508
2017-09-28,18.709999084472656
2017-09-29,18.81999969482422
2017-10-02,18.75
2017-10-03,18.8799991607666
2017-10-04,18.84000015258789
2017-10-05,18.770000457763672
2017-10-06,18.8700008392334
2017-10-09,18.559999465942383
2017-10-10,18.6299991607666
2017-10-11,18.639999389648438
2017-10-12,18.65999984741211
2017-10-13,18.729999542236328
2017-10-16,18.700000762939453
2017-10-17,18.700000762939453
2017-10-18,18.6299991607666
2017-10-19,18.68000030517578
2017-10-20,18.68000030517578
2017-10-23,18.559999465942383
