,BCOW
2019-01-09,9.600000381469727
2019-01-10,10.0
2019-01-11,9.855999946594238
2019-01-14,9.899999618530273
2019-01-15,10.029999732971191
2019-01-16,10.0
2019-01-17,9.84000015258789
2019-01-18,9.819999694824219
2019-01-22,9.760000228881836
2019-01-23,9.739999771118164
2019-01-24,9.640000343322754
2019-01-25,9.586999893188477
2019-01-28,9.569999694824219
2019-01-29,9.460000038146973
2019-01-30,9.449999809265137
2019-01-31,9.45199966430664
2019-02-01,9.454000473022461
2019-02-04,9.4399995803833
2019-02-05,9.359999656677246
2019-02-06,9.470000267028809
2019-02-07,9.449999809265137
2019-02-08,9.484000205993652
2019-02-11,9.489999771118164
2019-02-12,9.3100004196167
2019-02-13,9.479999542236328
2019-02-14,9.279999732971191
2019-02-15,9.199999809265137
2019-02-19,9.399999618530273
2019-02-20,9.390000343322754
2019-02-21,9.5
2019-02-22,9.600000381469727
2019-02-25,9.600000381469727
2019-02-26,9.600000381469727
2019-02-27,9.600000381469727
2019-02-28,9.6899995803833
2019-03-01,9.609999656677246
2019-03-04,9.600000381469727
2019-03-05,9.739999771118164
2019-03-06,9.6899995803833
2019-03-07,9.670000076293945
2019-03-08,9.609999656677246
2019-03-11,9.899999618530273
2019-03-12,9.949999809265137
2019-03-13,9.850000381469727
2019-03-14,9.899999618530273
2019-03-15,9.5
2019-03-18,9.600000381469727
2019-03-19,9.609999656677246
2019-03-20,9.600000381469727
2019-03-21,9.619999885559082
2019-03-22,9.710000038146973
2019-03-25,9.600000381469727
2019-03-26,9.699999809265137
2019-03-27,9.729999542236328
2019-03-28,9.75
2019-03-29,9.75
2019-04-01,9.895000457763672
2019-04-02,9.895000457763672
2019-04-03,9.852999687194824
2019-04-04,9.699999809265137
2019-04-05,9.699999809265137
2019-04-08,9.680000305175781
2019-04-09,9.670000076293945
2019-04-10,9.699999809265137
2019-04-11,9.710000038146973
2019-04-12,9.739999771118164
2019-04-15,9.739999771118164
2019-04-16,9.65999984741211
2019-04-17,9.630000114440918
2019-04-18,9.680000305175781
2019-04-22,9.680000305175781
2019-04-23,9.506999969482422
2019-04-24,9.506999969482422
2019-04-25,9.699999809265137
2019-04-26,9.649999618530273
2019-04-29,9.649999618530273
2019-04-30,9.609999656677246
2019-05-01,9.609999656677246
2019-05-02,9.637999534606934
2019-05-03,9.637999534606934
2019-05-06,9.569999694824219
2019-05-07,9.640000343322754
2019-05-08,9.640000343322754
2019-05-09,9.565999984741211
2019-05-10,9.565999984741211
2019-05-13,9.508000373840332
2019-05-14,9.359999656677246
2019-05-15,9.479999542236328
2019-05-16,9.430000305175781
2019-05-17,9.404000282287598
2019-05-20,9.404000282287598
2019-05-21,9.40999984741211
2019-05-22,9.399999618530273
2019-05-23,9.359999656677246
2019-05-24,9.373000144958496
2019-05-28,9.394000053405762
2019-05-29,9.399999618530273
2019-05-30,9.399999618530273
2019-05-31,9.399999618530273
2019-06-03,9.449999809265137
2019-06-04,9.477999687194824
2019-06-05,9.470000267028809
2019-06-06,9.449999809265137
2019-06-07,9.449999809265137
2019-06-10,9.5
2019-06-11,9.510000228881836
2019-06-12,9.5
2019-06-13,9.449999809265137
2019-06-14,9.399999618530273
2019-06-17,9.449999809265137
2019-06-18,9.350000381469727
2019-06-19,9.350000381469727
2019-06-20,9.350000381469727
2019-06-21,9.366000175476074
2019-06-24,9.350000381469727
2019-06-25,9.300000190734863
2019-06-26,9.260000228881836
2019-06-27,9.25
2019-06-28,9.5
2019-07-01,9.5
2019-07-02,9.449999809265137
2019-07-03,9.25
2019-07-05,9.25
2019-07-08,9.326000213623047
2019-07-09,9.300000190734863
2019-07-10,9.239999771118164
2019-07-11,9.199999809265137
2019-07-12,9.050000190734863
2019-07-15,9.210000038146973
2019-07-16,9.100000381469727
