,BLUWU
2020-12-15,10.149999618530273
2020-12-16,10.15999984741211
2020-12-17,10.175000190734863
2020-12-18,10.25
2020-12-21,10.1899995803833
2020-12-22,10.210000038146973
2020-12-23,10.25
2020-12-24,10.279999732971191
2020-12-28,10.319999694824219
2020-12-29,10.289999961853027
2020-12-30,10.312999725341797
2020-12-31,10.350000381469727
2021-01-04,10.34000015258789
2021-01-05,10.359999656677246
2021-01-06,10.359999656677246
2021-01-07,10.380000114440918
2021-01-08,10.394000053405762
2021-01-11,10.4399995803833
2021-01-12,10.4399995803833
2021-01-13,10.470000267028809
2021-01-14,10.640000343322754
2021-01-15,10.630000114440918
2021-01-19,10.625
2021-01-20,10.649999618530273
2021-01-21,10.680000305175781
2021-01-22,10.699999809265137
2021-01-25,10.649999618530273
2021-01-26,10.670000076293945
2021-01-27,10.5
2021-01-28,10.470000267028809
2021-01-29,10.460000038146973
2021-02-01,10.550000190734863
2021-02-02,10.59000015258789
2021-02-03,10.680000305175781
2021-02-04,10.699999809265137
2021-02-05,10.649999618530273
2021-02-08,10.6899995803833
2021-02-09,11.010000228881836
2021-02-10,11.050000190734863
2021-02-11,11.149999618530273
2021-02-12,11.100000381469727
2021-02-16,11.0
2021-02-17,10.920000076293945
2021-02-18,11.069999694824219
2021-02-19,11.029999732971191
2021-02-22,11.149999618530273
2021-02-23,11.119999885559082
2021-02-24,11.170000076293945
2021-02-25,10.970000267028809
2021-02-26,11.079999923706055
2021-03-01,10.979999542236328
2021-03-02,10.760000228881836
2021-03-03,10.77299976348877
2021-03-04,10.600000381469727
2021-03-05,10.699999809265137
2021-03-08,10.649999618530273
2021-03-09,10.609999656677246
2021-03-10,10.720000267028809
2021-03-11,10.720000267028809
2021-03-12,10.770000457763672
2021-03-15,10.789999961853027
2021-03-16,10.720000267028809
2021-03-17,10.649999618530273
2021-03-18,10.609999656677246
2021-03-19,10.699999809265137
2021-03-22,10.640999794006348
2021-03-23,10.600000381469727
2021-03-24,10.510000228881836
2021-03-25,10.720000267028809
2021-03-26,10.720000267028809
2021-03-29,10.460000038146973
2021-03-30,10.739999771118164
2021-03-31,10.640000343322754
2021-04-01,10.5
2021-04-05,10.649999618530273
2021-04-06,10.699999809265137
2021-04-07,10.699999809265137
2021-04-08,10.65999984741211
2021-04-09,10.670000076293945
2021-04-12,10.670000076293945
2021-04-13,10.670000076293945
2021-04-14,10.600000381469727
2021-04-15,10.600000381469727
2021-04-16,10.59000015258789
2021-04-19,10.569999694824219
2021-04-20,10.569999694824219
2021-04-21,10.569999694824219
2021-04-22,10.569999694824219
2021-04-23,10.6899995803833
2021-04-26,10.569999694824219
2021-04-27,10.680000305175781
2021-04-28,10.675000190734863
2021-04-29,10.675000190734863
2021-04-30,10.609999656677246
2021-05-03,10.600000381469727
2021-05-04,10.600000381469727
2021-05-05,10.550000190734863
2021-05-06,10.59000015258789
2021-05-07,10.59000015258789
2021-05-10,10.59000015258789
2021-05-11,10.59000015258789
2021-05-12,10.59000015258789
2021-05-13,10.569999694824219
2021-05-14,10.59000015258789
