,ESGE
2016-07-20,27.40999984741211
2016-07-21,27.450000762939453
2016-07-22,27.450000762939453
2016-07-25,27.295000076293945
2016-07-26,27.295000076293945
2016-07-27,27.295000076293945
2016-07-28,27.549999237060547
2016-07-29,27.549999237060547
2016-08-01,27.549999237060547
2016-08-02,27.424999237060547
2016-08-03,27.424999237060547
2016-08-04,27.424999237060547
2016-08-05,27.424999237060547
2016-08-08,28.295000076293945
2016-08-09,28.468000411987305
2016-08-10,28.579999923706055
2016-08-11,28.71500015258789
2016-08-12,28.71500015258789
2016-08-15,28.71500015258789
2016-08-16,28.71500015258789
2016-08-17,28.787500381469727
2016-08-18,28.787500381469727
2016-08-19,28.80500030517578
2016-08-22,28.600000381469727
2016-08-23,28.719999313354492
2016-08-24,28.5
2016-08-25,28.5
2016-08-26,28.5
2016-08-29,28.385000228881836
2016-08-30,28.385000228881836
2016-08-31,28.260000228881836
2016-09-01,28.34000015258789
2016-09-02,28.655000686645508
2016-09-06,28.655000686645508
2016-09-07,29.40999984741211
2016-09-08,29.325000762939453
2016-09-09,28.434999465942383
2016-09-12,28.020000457763672
2016-09-13,28.020000457763672
2016-09-14,28.020000457763672
2016-09-15,28.020000457763672
2016-09-16,28.075000762939453
2016-09-19,28.475000381469727
2016-09-20,28.475000381469727
2016-09-21,28.475000381469727
2016-09-22,28.475000381469727
2016-09-23,29.170000076293945
2016-09-26,28.549999237060547
2016-09-27,28.899999618530273
2016-09-28,29.114999771118164
2016-09-29,28.770000457763672
2016-09-30,28.834999084472656
2016-10-03,29.0
2016-10-04,28.825000762939453
2016-10-05,28.969999313354492
2016-10-06,29.075000762939453
2016-10-07,28.959999084472656
2016-10-10,28.959999084472656
2016-10-11,28.65999984741211
2016-10-12,28.600000381469727
2016-10-13,28.454500198364258
2016-10-14,28.424999237060547
2016-10-17,28.424999237060547
2016-10-18,28.424999237060547
2016-10-19,28.424999237060547
2016-10-20,29.0049991607666
2016-10-21,28.840499877929688
2016-10-24,29.084999084472656
2016-10-25,29.084999084472656
2016-10-26,29.084999084472656
2016-10-27,28.68000030517578
2016-10-28,28.420000076293945
2016-10-31,28.420000076293945
2016-11-01,28.3700008392334
2016-11-02,27.985000610351562
2016-11-03,28.040000915527344
2016-11-04,27.8700008392334
2016-11-07,28.68000030517578
2016-11-08,28.565000534057617
2016-11-09,28.149999618530273
2016-11-10,27.328500747680664
2016-11-11,26.735000610351562
2016-11-14,26.50950050354004
2016-11-15,26.50950050354004
2016-11-16,26.743999481201172
2016-11-17,26.94499969482422
2016-11-18,26.954999923706055
2016-11-21,26.980499267578125
2016-11-22,27.299999237060547
2016-11-23,27.084999084472656
2016-11-25,27.084999084472656
2016-11-28,27.30500030517578
2016-11-29,27.30500030517578
2016-11-30,27.30500030517578
2016-12-01,27.30500030517578
2016-12-02,27.30500030517578
2016-12-05,27.125
2016-12-06,27.125
2016-12-07,27.125
2016-12-08,27.125
2016-12-09,27.694000244140625
2016-12-12,27.55150032043457
2016-12-13,27.55150032043457
2016-12-14,27.55150032043457
2016-12-15,27.55150032043457
2016-12-16,27.125
2016-12-19,26.917999267578125
2016-12-20,26.985000610351562
2016-12-21,26.851499557495117
2016-12-22,26.851499557495117
2016-12-23,26.760000228881836
2016-12-27,26.808000564575195
2016-12-28,26.93000030517578
2016-12-29,27.308000564575195
2016-12-30,27.137500762939453
2017-01-03,27.137500762939453
2017-01-04,27.725000381469727
2017-01-05,28.030000686645508
2017-01-06,28.030000686645508
2017-01-09,28.030000686645508
2017-01-10,28.110000610351562
2017-01-11,28.344999313354492
2017-01-12,28.510000228881836
2017-01-13,28.388999938964844
2017-01-17,28.5
2017-01-18,28.5
2017-01-19,28.309999465942383
2017-01-20,28.34000015258789
2017-01-23,28.725000381469727
2017-01-24,28.864999771118164
2017-01-25,29.102500915527344
2017-01-26,29.049999237060547
2017-01-27,29.030000686645508
2017-01-30,28.84000015258789
2017-01-31,28.84000015258789
2017-02-01,28.84000015258789
2017-02-02,29.069499969482422
2017-02-03,29.069499969482422
2017-02-06,29.069499969482422
2017-02-07,29.15999984741211
2017-02-08,29.260000228881836
2017-02-09,29.260000228881836
2017-02-10,29.6200008392334
2017-02-13,29.7450008392334
2017-02-14,29.7450008392334
2017-02-15,29.825000762939453
2017-02-16,29.975000381469727
2017-02-17,29.7549991607666
2017-02-21,30.132999420166016
2017-02-22,30.219999313354492
2017-02-23,30.225000381469727
2017-02-24,29.889999389648438
2017-02-27,29.770000457763672
2017-02-28,29.770000457763672
2017-03-01,29.9950008392334
2017-03-02,29.583999633789062
2017-03-03,29.812999725341797
2017-03-06,29.795000076293945
2017-03-07,29.815000534057617
2017-03-08,29.704999923706055
2017-03-09,29.415000915527344
2017-03-10,29.690000534057617
2017-03-13,30.110000610351562
2017-03-14,29.969999313354492
2017-03-15,30.635000228881836
2017-03-16,30.875499725341797
2017-03-17,30.825000762939453
2017-03-20,31.100000381469727
2017-03-21,30.81599998474121
2017-03-22,30.93000030517578
2017-03-23,30.979999542236328
2017-03-24,31.084999084472656
2017-03-27,30.9950008392334
2017-03-28,31.07349967956543
2017-03-29,31.049999237060547
2017-03-30,30.885000228881836
2017-03-31,30.649999618530273
2017-04-03,30.674999237060547
2017-04-04,30.75349998474121
2017-04-05,30.725000381469727
2017-04-06,30.625
2017-04-07,30.56999969482422
2017-04-10,30.3700008392334
2017-04-11,30.3799991607666
2017-04-12,30.514999389648438
2017-04-13,30.40999984741211
2017-04-17,30.670000076293945
2017-04-18,30.420000076293945
2017-04-19,30.315000534057617
2017-04-20,30.598499298095703
2017-04-21,30.56999969482422
2017-04-24,30.96500015258789
2017-04-25,31.258499145507812
2017-04-26,31.135000228881836
2017-04-27,31.06999969482422
2017-04-28,31.15999984741211
2017-05-01,31.270000457763672
2017-05-02,31.40999984741211
2017-05-03,31.299999237060547
