,DWAS
2012-07-19,25.049999237060547
2012-07-20,24.6299991607666
2012-07-23,24.309999465942383
2012-07-24,23.899999618530273
2012-07-25,24.110000610351562
2012-07-26,24.389999389648438
2012-07-27,25.010000228881836
2012-07-30,24.84000015258789
2012-07-31,24.6299991607666
2012-08-01,24.440000534057617
2012-08-02,24.100000381469727
2012-08-03,24.739999771118164
2012-08-06,24.940000534057617
2012-08-07,25.15999984741211
2012-08-08,25.040000915527344
2012-08-09,25.1299991607666
2012-08-10,25.020000457763672
2012-08-13,24.979999542236328
2012-08-14,24.90999984741211
2012-08-15,25.079999923706055
2012-08-16,25.399999618530273
2012-08-17,25.6200008392334
2012-08-20,25.510000228881836
2012-08-21,25.3700008392334
2012-08-22,25.479999542236328
2012-08-23,25.3700008392334
2012-08-24,25.450000762939453
2012-08-27,25.600000381469727
2012-08-28,25.690000534057617
2012-08-29,25.8700008392334
2012-08-30,25.670000076293945
2012-08-31,25.799999237060547
2012-09-04,26.200000762939453
2012-09-05,26.18000030517578
2012-09-06,26.670000076293945
2012-09-07,26.59000015258789
2012-09-10,26.520000457763672
2012-09-11,26.510000228881836
2012-09-12,26.600000381469727
2012-09-13,26.940000534057617
2012-09-14,27.040000915527344
2012-09-17,26.959999084472656
2012-09-18,27.0
2012-09-19,26.84000015258789
2012-09-20,26.709999084472656
2012-09-21,26.920000076293945
2012-09-24,26.81999969482422
2012-09-25,26.610000610351562
2012-09-26,26.209999084472656
2012-09-27,26.6299991607666
2012-09-28,26.510000228881836
2012-10-01,26.530000686645508
2012-10-02,26.600000381469727
2012-10-03,26.690000534057617
2012-10-04,26.850000381469727
2012-10-05,26.81999969482422
2012-10-08,26.68000030517578
2012-10-09,26.280000686645508
2012-10-10,26.239999771118164
2012-10-11,26.260000228881836
2012-10-12,26.049999237060547
2012-10-15,26.329999923706055
2012-10-16,26.459999084472656
2012-10-17,26.68000030517578
2012-10-18,26.540000915527344
2012-10-19,26.040000915527344
2012-10-22,25.850000381469727
2012-10-23,25.899999618530273
2012-10-24,25.889999389648438
2012-10-25,25.690000534057617
2012-10-26,25.6200008392334
2012-10-31,25.780000686645508
2012-11-01,27.75
2012-11-02,25.6299991607666
2012-11-05,25.799999237060547
2012-11-06,25.959999084472656
2012-11-07,25.399999618530273
2012-11-08,25.239999771118164
2012-11-09,25.149999618530273
2012-11-12,25.18000030517578
2012-11-13,25.15999984741211
2012-11-14,24.459999084472656
2012-11-15,24.270000457763672
2012-11-16,24.700000762939453
2012-11-19,24.700000762939453
2012-11-20,25.260000228881836
2012-11-21,25.3799991607666
2012-11-23,25.65999984741211
2012-11-26,25.729999542236328
2012-11-27,25.860000610351562
2012-11-28,25.969999313354492
2012-11-29,26.270000457763672
2012-11-30,26.219999313354492
2012-12-03,26.110000610351562
2012-12-04,25.989999771118164
2012-12-05,25.959999084472656
2012-12-06,25.93000030517578
2012-12-07,25.90999984741211
2012-12-10,26.0
2012-12-11,26.25
2012-12-12,26.190000534057617
2012-12-13,25.8700008392334
2012-12-14,25.8700008392334
2012-12-17,26.280000686645508
