,CREX
2006-11-27,700.5
2006-11-28,687.0
2006-11-29,1077.0
2006-11-30,888.0
2006-12-01,861.0
2006-12-04,906.0
2006-12-05,895.5
2006-12-06,927.0
2006-12-07,946.5
2006-12-08,961.5
2006-12-11,937.5
2006-12-12,897.0
2006-12-13,847.5
2006-12-14,804.0
2006-12-15,774.0
2006-12-18,751.5
2006-12-19,766.5
2006-12-20,838.5
2006-12-21,879.0
2006-12-22,831.0
2006-12-26,793.5
2006-12-27,847.5
2006-12-28,859.5
2006-12-29,864.0
2007-01-03,915.0
2007-01-04,939.0
2007-01-05,982.5
2007-01-08,982.5
2007-01-09,1050.0
2007-01-10,1050.0
2007-01-11,1039.5
2007-01-12,1057.5
2007-01-16,1180.5
2007-01-17,1065.0
2007-01-18,1003.5
2007-01-19,996.0
2007-01-22,963.0
2007-01-23,969.0
2007-01-24,952.5
2007-01-25,937.5
2007-01-26,900.0
2007-01-29,895.5
2007-01-30,894.0
2007-01-31,880.5
2007-02-01,895.5
2007-02-02,838.5
2007-02-05,864.0
2007-02-06,903.0
2007-02-07,915.0
2007-02-08,910.5
2007-02-09,951.0
2007-02-12,987.0
2007-02-13,991.5
2007-02-14,1012.5
2007-02-15,952.5
2007-02-16,958.5
2007-02-20,1026.0
2007-02-21,1036.5
2007-02-22,1059.0
2007-02-23,1051.5
2007-02-26,1032.0
2007-02-27,967.5
2007-02-28,967.5
2007-03-01,945.0
2007-03-02,981.0
2007-03-05,990.0
2007-03-06,1012.5
2007-03-07,1000.5
2007-03-08,1026.0
2007-03-09,1036.5
2007-03-12,1113.0
2007-03-13,1089.0
2007-03-14,1090.5
2007-03-15,1086.0
2007-03-16,1084.5
2007-03-19,1036.5
2007-03-20,1047.0
2007-03-21,1069.5
2007-03-22,1057.5
2007-03-23,1057.5
2007-03-26,1195.5
2007-03-27,1179.0
2007-03-28,1185.0
2007-03-29,1291.5
2007-03-30,1333.5
2007-04-02,1398.0
2007-04-03,1336.5
2007-04-04,1348.5
2007-04-05,1309.5
2007-04-09,1273.5
2007-04-10,1266.0
2007-04-11,1291.5
2007-04-12,1392.0
2007-04-13,1407.0
2007-04-16,1438.5
2007-04-17,1422.0
2007-04-18,1500.0
2007-04-19,1498.5
2007-04-20,1518.0
2007-04-23,1512.0
2007-04-24,1447.5
2007-04-25,1393.5
2007-04-26,1410.0
2007-04-27,1351.5
2007-04-30,1353.0
2007-05-01,1339.5
2007-05-02,1320.0
2007-05-03,1333.5
2007-05-04,1329.0
2007-05-07,1365.0
2007-05-08,1327.5
2007-05-09,1380.0
2007-05-10,1336.5
2007-05-11,1365.0
2007-05-14,1353.0
2007-05-15,1269.0
2007-05-16,1110.0
2007-05-17,1111.5
2007-05-18,1200.0
2007-05-21,1107.0
2007-05-22,1086.0
2007-05-23,1096.5
2007-05-24,1092.0
2007-05-25,1093.5
2007-05-29,1050.0
2007-05-30,999.0
2007-05-31,1002.0
2007-06-01,1092.0
2007-06-04,1072.5
2007-06-05,1054.5
2007-06-06,1048.5
2007-06-07,1017.0
2007-06-08,963.0
2007-06-11,1069.5
2007-06-12,1093.5
2007-06-13,1110.0
2007-06-14,1192.5
2007-06-15,1206.0
2007-06-18,1149.0
2007-06-19,1153.5
2007-06-20,1182.0
2007-06-21,1192.5
2007-06-22,1165.5
2007-06-25,1194.0
2007-06-26,1162.5
2007-06-27,1203.0
2007-06-28,1197.0
2007-06-29,1200.0
2007-07-02,1291.5
2007-07-03,1269.0
2007-07-05,1264.5
2007-07-06,1296.0
2007-07-09,1318.5
2007-07-10,1330.5
2007-07-11,1302.0
2007-07-12,1315.5
2007-07-13,1323.0
2007-07-16,1351.5
2007-07-17,1384.5
2007-07-18,1435.5
2007-07-19,1422.0
2007-07-20,1399.5
2007-07-23,1431.0
2007-07-24,1420.5
2007-07-25,1330.5
2007-07-26,1221.0
2007-07-27,1209.0
2007-07-30,1282.5
2007-07-31,1249.5
2007-08-01,1191.0
2007-08-02,1198.5
2007-08-03,1158.0
2007-08-06,1158.0
2007-08-07,1234.5
2007-08-08,1272.0
2007-08-09,1251.0
2007-08-10,1095.0
2007-08-13,1081.5
2007-08-14,1006.5
2007-08-15,963.0
2007-08-16,936.0
2007-08-17,952.5
2007-08-20,958.5
2007-08-21,981.0
2007-08-22,1036.5
2007-08-23,996.0
2007-08-24,973.5
2007-08-27,945.0
2007-08-28,976.5
2007-08-29,1006.5
2007-08-30,1050.0
2007-08-31,1099.5
2007-09-04,1084.5
2007-09-05,1042.5
2007-09-06,1021.5
2007-09-07,1005.0
2007-09-10,951.0
2007-09-11,970.5
2007-09-12,1038.0
2007-09-13,1050.0
2007-09-14,1041.0
2007-09-17,1047.0
2007-09-18,1095.0
2007-09-19,1074.0
2007-09-20,1063.5
2007-09-21,1072.5
2007-09-24,1048.5
2007-09-25,1041.0
2007-09-26,984.0
2007-09-27,969.0
2007-09-28,1012.5
2007-10-01,975.0
2007-10-02,892.5
2007-10-03,891.0
2007-10-04,705.0
2007-10-05,697.5
2007-10-08,678.0
2007-10-09,679.5
2007-10-10,658.5
2007-10-11,654.0
2007-10-12,658.5
2007-10-15,643.5
2007-10-16,655.5
2007-10-17,651.0
2007-10-18,615.0
2007-10-19,562.5
2007-10-22,552.0
2007-10-23,532.5
2007-10-24,547.5
2007-10-25,537.0
2007-10-26,552.0
2007-10-29,571.5
2007-10-30,559.5
2007-10-31,544.5
2007-11-01,525.0
2007-11-02,522.0
2007-11-05,502.5
2007-11-06,553.5
2007-11-07,514.5
2007-11-08,484.5
2007-11-09,487.5
2007-11-12,424.5
2007-11-13,453.0
2007-11-14,445.5
2007-11-15,435.0
2007-11-16,454.5
2007-11-19,445.5
2007-11-20,417.0
2007-11-21,397.5
2007-11-23,408.0
2007-11-26,411.0
2007-11-27,439.5
2007-11-28,444.0
2007-11-29,435.0
2007-11-30,441.0
2007-12-03,427.5
2007-12-04,423.0
2007-12-05,420.0
2007-12-06,433.5
2007-12-07,420.0
2007-12-10,399.0
2007-12-11,414.0
2007-12-12,403.5
2007-12-13,430.5
2007-12-14,408.0
2007-12-17,405.0
2007-12-18,399.0
2007-12-19,423.0
2007-12-20,427.5
2007-12-21,435.0
2007-12-24,435.0
2007-12-26,417.0
2007-12-27,420.0
2007-12-28,423.0
2007-12-31,436.5
2008-01-02,435.0
2008-01-03,529.5
2008-01-04,525.0
2008-01-07,516.0
2008-01-08,562.5
2008-01-09,495.0
2008-01-10,492.0
2008-01-11,501.0
2008-01-14,546.0
2008-01-15,570.0
2008-01-16,658.5
2008-01-17,618.0
2008-01-18,597.0
2008-01-22,562.5
2008-01-23,573.0
2008-01-24,586.5
2008-01-25,610.5
2008-01-28,607.5
2008-01-29,610.5
2008-01-30,616.5
2008-01-31,612.0
2008-02-01,619.5
2008-02-04,619.5
2008-02-05,588.0
2008-02-06,561.0
2008-02-07,534.0
2008-02-08,522.0
2008-02-11,558.0
2008-02-12,543.0
2008-02-13,574.5
2008-02-14,577.5
2008-02-15,576.0
2008-02-19,588.0
2008-02-20,603.0
2008-02-21,607.5
2008-02-22,597.0
2008-02-25,597.0
2008-02-26,628.5
2008-02-27,612.0
2008-02-28,615.0
2008-02-29,684.0
2008-03-03,637.5
2008-03-04,618.0
2008-03-05,634.5
2008-03-06,604.5
2008-03-07,610.5
2008-03-10,589.5
2008-03-11,580.5
2008-03-12,589.5
2008-03-13,630.0
2008-03-14,648.0
2008-03-17,625.5
2008-03-18,655.5
2008-03-19,601.5
2008-03-20,631.5
2008-03-24,624.0
2008-03-25,628.5
2008-03-26,601.5
2008-03-27,604.5
2008-03-28,609.0
2008-03-31,600.0
2008-04-01,615.0
2008-04-02,595.5
2008-04-03,603.0
2008-04-04,601.5
2008-04-07,600.0
2008-04-08,597.0
2008-04-09,598.5
2008-04-10,621.0
2008-04-11,625.5
2008-04-14,652.5
2008-04-15,693.0
2008-04-16,721.5
2008-04-17,790.5
2008-04-18,808.5
2008-04-21,817.5
2008-04-22,816.0
2008-04-23,798.0
2008-04-24,775.5
2008-04-25,760.5
2008-04-28,742.5
2008-04-29,790.5
2008-04-30,778.5
2008-05-01,775.5
2008-05-02,820.5
2008-05-05,807.0
2008-05-06,892.5
2008-05-07,889.5
2008-05-08,870.0
2008-05-09,844.5
2008-05-12,861.0
2008-05-13,883.5
2008-05-14,885.0
2008-05-15,927.0
2008-05-16,936.0
2008-05-19,948.0
2008-05-20,985.5
2008-05-21,960.0
2008-05-22,1006.5
2008-05-23,991.5
2008-05-27,1036.5
2008-05-28,1012.5
2008-05-29,1042.5
2008-05-30,1006.5
2008-06-02,991.5
2008-06-03,994.5
2008-06-04,1027.5
2008-06-05,1092.0
2008-06-06,1099.5
2008-06-09,1048.5
2008-06-10,898.5
2008-06-11,909.0
2008-06-12,727.5
2008-06-13,858.0
2008-06-16,891.0
2008-06-17,906.0
2008-06-18,888.0
2008-06-19,891.0
2008-06-20,838.5
2008-06-23,822.0
2008-06-24,819.0
2008-06-25,822.0
2008-06-26,777.0
2008-06-27,795.0
2008-06-30,736.5
2008-07-01,723.0
2008-07-02,733.5
2008-07-03,727.5
2008-07-07,753.0
2008-07-08,760.5
2008-07-09,751.5
2008-07-10,750.0
2008-07-11,835.5
2008-07-14,792.0
2008-07-15,796.5
2008-07-16,802.5
2008-07-17,807.0
2008-07-18,799.5
2008-07-21,772.5
2008-07-22,774.0
2008-07-23,804.0
2008-07-24,775.5
2008-07-25,765.0
2008-07-28,765.0
2008-07-29,742.5
2008-07-30,733.5
2008-07-31,721.5
2008-08-01,700.5
2008-08-04,681.0
2008-08-05,765.0
2008-08-06,750.0
2008-08-07,738.0
2008-08-08,591.0
2008-08-11,579.0
2008-08-12,562.5
2008-08-13,537.0
2008-08-14,583.5
2008-08-15,571.5
2008-08-18,547.5
2008-08-19,543.0
2008-08-20,538.5
2008-08-21,540.0
2008-08-22,540.0
2008-08-25,511.5
2008-08-26,540.0
2008-08-27,564.0
2008-08-28,571.5
2008-08-29,571.5
2008-09-02,576.0
2008-09-03,585.0
2008-09-04,582.0
2008-09-05,577.5
2008-09-08,570.0
2008-09-09,502.5
2008-09-10,507.0
2008-09-11,519.0
2008-09-12,549.0
2008-09-15,514.5
2008-09-16,501.0
2008-09-17,469.5
2008-09-18,502.5
2008-09-19,532.5
2008-09-22,510.0
2008-09-23,475.5
2008-09-24,375.0
2008-09-25,375.0
2008-09-26,367.5
2008-09-29,318.0
2008-09-30,357.0
2008-10-01,357.0
2008-10-02,364.5
2008-10-03,340.5
2008-10-06,321.0
2008-10-07,300.0
2008-10-08,291.0
2008-10-09,264.0
2008-10-10,237.0
2008-10-13,262.5
2008-10-14,240.0
2008-10-15,216.0
2008-10-16,225.0
2008-10-17,241.5
2008-10-20,253.5
2008-10-21,240.0
2008-10-22,228.0
2008-10-23,226.5
2008-10-24,207.0
2008-10-27,196.5
2008-10-28,210.0
2008-10-29,223.5
2008-10-30,217.5
2008-10-31,234.0
2008-11-03,241.5
2008-11-04,247.5
2008-11-05,225.0
2008-11-06,210.0
2008-11-07,201.0
2008-11-10,150.0
2008-11-11,132.0
2008-11-12,105.0
2008-11-13,102.0
2008-11-14,97.5
2008-11-17,102.0
2008-11-18,103.5
2008-11-19,105.0
2008-11-20,96.0
2008-11-21,90.0
2008-11-24,82.5
2008-11-25,67.5
2008-11-26,73.5
2008-11-28,75.0
2008-12-01,67.5
2008-12-02,70.5
2008-12-03,73.5
2008-12-04,69.0
2008-12-05,64.5
2008-12-08,63.0
2008-12-09,66.0
2008-12-10,67.5
2008-12-11,75.0
2008-12-12,73.5
2008-12-15,78.0
2008-12-16,103.5
2008-12-17,100.5
2008-12-18,141.0
2008-12-19,129.0
2008-12-22,120.0
2008-12-23,121.5
2008-12-24,121.5
2008-12-26,121.5
2008-12-29,112.5
2008-12-30,108.0
2008-12-31,123.0
2009-01-02,124.5
2009-01-05,120.0
2009-01-06,165.0
2009-01-07,181.5
2009-01-08,180.0
2009-01-09,172.5
2009-01-12,153.0
2009-01-13,166.5
2009-01-14,171.0
2009-01-15,159.0
2009-01-16,154.5
2009-01-20,139.5
2009-01-21,154.5
2009-01-22,138.0
2009-01-23,145.5
2009-01-26,151.5
2009-01-27,147.0
2009-01-28,159.0
2009-01-29,169.5
2009-01-30,175.5
2009-02-02,178.5
2009-02-03,171.0
2009-02-04,177.0
2009-02-05,184.5
2009-02-06,186.0
2009-02-09,174.0
2009-02-10,180.0
2009-02-11,180.0
2009-02-12,174.0
2009-02-13,184.5
2009-02-17,172.5
2009-02-18,178.5
2009-02-19,181.5
2009-02-20,177.0
2009-02-23,180.0
2009-02-24,183.0
2009-02-25,168.0
2009-02-26,172.5
2009-02-27,181.5
2009-03-02,163.5
2009-03-03,166.5
2009-03-04,168.0
2009-03-05,172.5
2009-03-06,172.5
2009-03-09,168.0
2009-03-10,174.0
2009-03-11,172.5
2009-03-12,177.0
2009-03-13,202.5
2009-03-16,253.5
2009-03-17,280.5
2009-03-18,348.0
2009-03-19,319.5
2009-03-20,333.0
2009-03-23,307.5
2009-03-24,322.5
2009-03-25,315.0
2009-03-26,324.0
2009-03-27,322.5
2009-03-30,292.5
2009-03-31,303.0
2009-04-01,303.0
2009-04-02,292.5
2009-04-03,298.5
2009-04-06,297.0
2009-04-07,288.0
2009-04-08,262.5
2009-04-09,252.0
2009-04-13,249.0
2009-04-14,240.0
2009-04-15,244.5
2009-04-16,244.5
2009-04-17,256.5
2009-04-20,253.5
2009-04-21,252.0
2009-04-22,265.5
2009-04-23,280.5
2009-04-24,300.0
2009-04-27,330.0
2009-04-28,319.5
2009-04-29,285.0
2009-04-30,282.0
2009-05-01,306.0
2009-05-04,334.5
2009-05-05,322.5
2009-05-06,355.5
2009-05-07,426.0
2009-05-08,405.0
2009-05-11,378.0
2009-05-12,397.5
2009-05-13,418.5
2009-05-14,423.0
2009-05-15,438.0
2009-05-18,454.5
2009-05-19,450.0
2009-05-20,420.0
2009-05-21,439.5
2009-05-22,427.5
2009-05-26,442.5
2009-05-27,432.0
2009-05-28,439.5
2009-05-29,439.5
2009-06-01,444.0
2009-06-02,412.5
2009-06-03,412.5
2009-06-04,445.5
2009-06-05,448.5
2009-06-08,418.5
2009-06-09,451.5
2009-06-10,447.0
2009-06-11,448.5
2009-06-12,432.0
2009-06-15,412.5
2009-06-16,420.0
2009-06-17,418.5
2009-06-18,441.0
2009-06-19,406.5
2009-06-22,406.5
2009-06-23,397.5
2009-06-24,390.0
2009-06-25,375.0
2009-06-26,370.5
2009-06-29,372.0
2009-06-30,367.5
2009-07-01,352.5
2009-07-02,369.0
2009-07-06,375.0
2009-07-07,388.5
2009-07-08,367.5
2009-07-09,372.0
2009-07-10,340.5
2009-07-13,378.0
2009-07-14,418.5
2009-07-15,429.0
2009-07-16,427.5
2009-07-17,427.5
2009-07-20,447.0
2009-07-21,435.0
2009-07-22,441.0
2009-07-23,448.5
2009-07-24,444.0
2009-07-27,406.5
2009-07-28,435.0
2009-07-29,424.5
2009-07-30,444.0
2009-07-31,454.5
2009-08-03,450.0
2009-08-04,448.5
2009-08-05,442.5
2009-08-06,442.5
2009-08-07,412.5
2009-08-10,411.0
2009-08-11,411.0
2009-08-12,412.5
2009-08-13,411.0
2009-08-14,393.0
2009-08-17,394.5
2009-08-18,375.0
2009-08-19,328.5
2009-08-20,360.0
2009-08-21,450.0
2009-08-24,454.5
2009-08-25,450.0
2009-08-26,469.5
2009-08-27,480.0
2009-08-28,469.5
2009-08-31,480.0
2009-09-01,513.0
2009-09-02,513.0
2009-09-03,531.0
2009-09-04,555.0
2009-09-08,573.0
2009-09-09,559.5
2009-09-10,577.5
2009-09-11,579.0
2009-09-14,582.0
2009-09-15,592.5
2009-09-16,610.5
2009-09-17,604.5
2009-09-18,591.0
2009-09-21,559.5
2009-09-22,567.0
2009-09-23,552.0
2009-09-24,510.0
2009-09-25,543.0
2009-09-28,540.0
2009-09-29,529.5
2009-09-30,532.5
2009-10-01,526.5
2009-10-02,484.5
2009-10-05,508.5
2009-10-06,547.5
2009-10-07,547.5
2009-10-08,552.0
2009-10-09,598.5
2009-10-12,574.5
2009-10-13,571.5
2009-10-14,577.5
2009-10-15,591.0
2009-10-16,567.0
2009-10-19,540.0
2009-10-20,534.0
2009-10-21,474.0
2009-10-22,523.5
2009-10-23,508.5
2009-10-26,544.5
2009-10-27,540.0
2009-10-28,475.5
2009-10-29,490.5
2009-10-30,493.5
2009-11-02,483.0
2009-11-03,459.0
2009-11-04,496.5
2009-11-05,451.5
2009-11-06,433.5
2009-11-09,426.0
2009-11-10,442.5
2009-11-11,447.0
2009-11-12,457.5
2009-11-13,445.5
2009-11-16,424.5
2009-11-17,447.0
2009-11-18,436.5
2009-11-19,423.0
2009-11-20,438.0
2009-11-23,441.0
2009-11-24,451.5
2009-11-25,472.5
2009-11-27,451.5
2009-11-30,445.5
2009-12-01,444.0
2009-12-02,441.0
2009-12-03,397.5
2009-12-04,393.0
2009-12-07,436.5
2009-12-08,436.5
2009-12-09,442.5
2009-12-10,450.0
2009-12-11,450.0
2009-12-14,447.0
2009-12-15,457.5
2009-12-16,450.0
2009-12-17,454.5
2009-12-18,510.0
2009-12-21,501.0
2009-12-22,514.5
2009-12-23,544.5
2009-12-24,526.5
2009-12-28,540.0
2009-12-29,511.5
2009-12-30,513.0
2009-12-31,553.5
2010-01-04,547.5
2010-01-05,531.0
2010-01-06,526.5
2010-01-07,532.5
2010-01-08,555.0
2010-01-11,540.0
2010-01-12,537.0
2010-01-13,541.5
2010-01-14,535.5
2010-01-15,519.0
2010-01-19,526.5
2010-01-20,499.5
2010-01-21,487.5
2010-01-22,484.5
2010-01-25,475.5
2010-01-26,472.5
2010-01-27,502.5
2010-01-28,499.5
2010-01-29,468.0
2010-02-01,436.5
2010-02-02,451.5
2010-02-03,442.5
2010-02-04,441.0
2010-02-05,448.5
2010-02-08,444.0
2010-02-09,420.0
2010-02-10,421.5
2010-02-11,442.5
2010-02-12,439.5
2010-02-16,429.0
2010-02-17,426.0
2010-02-18,405.0
2010-02-19,385.5
2010-02-22,405.0
2010-02-23,387.0
2010-02-24,385.5
2010-02-25,370.5
2010-02-26,364.5
2010-03-01,373.5
2010-03-02,399.0
2010-03-03,390.0
2010-03-04,378.0
2010-03-05,367.5
2010-03-08,367.5
2010-03-09,376.5
2010-03-10,343.5
2010-03-11,330.0
2010-03-12,385.5
2010-03-15,369.0
2010-03-16,360.0
2010-03-17,367.5
2010-03-18,345.0
2010-03-19,321.0
2010-03-22,301.5
2010-03-23,318.0
2010-03-24,337.5
2010-03-25,361.5
2010-03-26,366.0
2010-03-29,366.0
2010-03-30,373.5
2010-03-31,373.5
2010-04-01,378.0
2010-04-05,373.5
2010-04-06,375.0
2010-04-07,379.5
2010-04-08,360.0
2010-04-09,366.0
2010-04-12,354.0
2010-04-13,339.0
2010-04-14,330.0
2010-04-15,325.5
2010-04-16,331.5
2010-04-19,330.0
2010-04-20,331.5
2010-04-21,325.5
2010-04-22,294.0
2010-04-23,292.5
2010-04-26,283.5
2010-04-27,259.5
2010-04-28,264.0
2010-04-29,279.0
2010-04-30,262.5
2010-05-03,268.5
2010-05-04,261.0
2010-05-05,268.5
2010-05-06,256.5
2010-05-07,211.5
2010-05-10,205.5
2010-05-11,198.0
2010-05-12,196.5
2010-05-13,205.5
2010-05-14,198.0
2010-05-17,192.0
2010-05-18,193.5
2010-05-19,190.5
2010-05-20,190.5
2010-05-21,187.5
2010-05-24,186.0
2010-05-25,181.5
2010-05-26,181.5
2010-05-27,186.0
2010-05-28,184.5
2010-06-01,183.0
2010-06-02,180.0
2010-06-03,187.5
2010-06-04,184.5
2010-06-07,180.0
2010-06-08,177.0
2010-06-09,169.5
2010-06-10,162.0
2010-06-11,168.0
2010-06-14,168.0
2010-06-15,186.0
2010-06-16,225.0
2010-06-17,220.5
2010-06-18,229.5
2010-06-21,225.0
2010-06-22,220.5
2010-06-23,225.0
2010-06-24,219.0
2010-06-25,208.5
2010-06-28,199.5
2010-06-29,178.5
2010-06-30,183.0
2010-07-01,178.5
2010-07-02,177.0
2010-07-06,177.0
2010-07-07,178.5
2010-07-08,172.5
2010-07-09,174.0
2010-07-12,174.0
