,ATRC
2005-08-05,14.079999923706055
2005-08-08,14.199999809265137
2005-08-09,14.699999809265137
2005-08-10,14.5
2005-08-11,14.949999809265137
2005-08-12,14.069999694824219
2005-08-15,14.09000015258789
2005-08-16,14.0
2005-08-17,14.0
2005-08-18,14.119999885559082
2005-08-19,14.130000114440918
2005-08-22,14.300000190734863
2005-08-23,14.029999732971191
2005-08-24,14.0
2005-08-25,14.0
2005-08-26,13.649999618530273
2005-08-29,13.600000381469727
2005-08-30,13.600000381469727
2005-08-31,13.600000381469727
2005-09-01,13.739999771118164
2005-09-02,13.260000228881836
2005-09-06,12.699999809265137
2005-09-07,12.890000343322754
2005-09-08,12.75
2005-09-09,13.100000381469727
2005-09-12,13.550000190734863
2005-09-13,13.890000343322754
2005-09-14,13.949999809265137
2005-09-15,13.829999923706055
2005-09-16,13.989999771118164
2005-09-19,13.920000076293945
2005-09-20,13.899999618530273
2005-09-21,13.84000015258789
2005-09-22,13.680000305175781
2005-09-23,13.699999809265137
2005-09-26,13.699999809265137
2005-09-27,13.640000343322754
2005-09-28,13.850000381469727
2005-09-29,13.90999984741211
2005-09-30,13.899999618530273
2005-10-03,13.989999771118164
2005-10-04,13.710000038146973
2005-10-05,13.699999809265137
2005-10-06,13.75
2005-10-07,14.180000305175781
2005-10-10,14.210000038146973
2005-10-11,14.15999984741211
2005-10-12,14.079999923706055
2005-10-13,14.010000228881836
2005-10-14,14.010000228881836
2005-10-17,14.0
2005-10-18,13.800000190734863
2005-10-19,13.8100004196167
2005-10-20,13.699999809265137
2005-10-21,13.770000457763672
2005-10-24,13.569999694824219
2005-10-25,12.930000305175781
2005-10-26,13.050000190734863
2005-10-27,11.300000190734863
2005-10-28,10.670000076293945
2005-10-31,12.199999809265137
2005-11-01,12.979999542236328
2005-11-02,12.989999771118164
2005-11-03,12.319999694824219
2005-11-04,12.970000267028809
2005-11-07,13.0
2005-11-08,12.760000228881836
2005-11-09,12.649999618530273
2005-11-10,12.390000343322754
2005-11-11,12.220000267028809
2005-11-14,12.220000267028809
2005-11-15,12.039999961853027
2005-11-16,11.850000381469727
2005-11-17,12.0
2005-11-18,11.859999656677246
2005-11-21,11.9399995803833
2005-11-22,11.710000038146973
2005-11-23,11.550000190734863
2005-11-25,11.5
2005-11-28,11.9399995803833
2005-11-29,13.199999809265137
2005-11-30,12.6899995803833
2005-12-01,12.59000015258789
2005-12-02,13.199999809265137
2005-12-05,13.199999809265137
2005-12-06,13.5
2005-12-07,13.529999732971191
2005-12-08,13.529999732971191
2005-12-09,14.0
2005-12-12,12.869999885559082
2005-12-13,12.869999885559082
2005-12-14,12.970000267028809
2005-12-15,12.729999542236328
2005-12-16,12.369999885559082
2005-12-19,12.1899995803833
2005-12-20,12.199999809265137
2005-12-21,12.1899995803833
2005-12-22,12.020000457763672
2005-12-23,11.609999656677246
2005-12-27,11.5
2005-12-28,10.949999809265137
2005-12-29,10.880000114440918
2005-12-30,10.649999618530273
2006-01-03,10.789999961853027
2006-01-04,11.100000381469727
2006-01-05,11.3100004196167
2006-01-06,10.899999618530273
2006-01-09,11.199999809265137
2006-01-10,11.800000190734863
2006-01-11,11.710000038146973
2006-01-12,11.5
2006-01-13,11.670000076293945
2006-01-17,11.600000381469727
2006-01-18,11.59000015258789
2006-01-19,11.5
2006-01-20,11.3100004196167
2006-01-23,11.600000381469727
2006-01-24,11.649999618530273
2006-01-25,11.739999771118164
2006-01-26,11.800000190734863
2006-01-27,11.550000190734863
2006-01-30,11.75
2006-01-31,11.25
2006-02-01,11.470000267028809
2006-02-02,11.289999961853027
2006-02-03,11.390000343322754
2006-02-06,11.0
2006-02-07,11.15999984741211
2006-02-08,11.0600004196167
2006-02-09,11.0
2006-02-10,10.899999618530273
2006-02-13,10.800000190734863
2006-02-14,10.539999961853027
2006-02-15,10.399999618530273
2006-02-16,10.359999656677246
2006-02-17,8.039999961853027
2006-02-21,8.239999771118164
2006-02-22,7.900000095367432
2006-02-23,7.5
2006-02-24,7.480000019073486
2006-02-27,7.570000171661377
2006-02-28,7.300000190734863
2006-03-01,6.960000038146973
2006-03-02,7.300000190734863
2006-03-03,7.619999885559082
2006-03-06,8.010000228881836
2006-03-07,8.0600004196167
2006-03-08,8.100000381469727
2006-03-09,8.0600004196167
2006-03-10,7.849999904632568
2006-03-13,7.940000057220459
2006-03-14,7.800000190734863
2006-03-15,7.590000152587891
2006-03-16,7.519999980926514
2006-03-17,7.300000190734863
2006-03-20,7.079999923706055
2006-03-21,7.119999885559082
2006-03-22,7.170000076293945
2006-03-23,7.559999942779541
2006-03-24,7.690000057220459
2006-03-27,7.5
2006-03-28,7.449999809265137
2006-03-29,7.650000095367432
2006-03-30,7.840000152587891
2006-03-31,8.0
2006-04-03,8.210000038146973
2006-04-04,8.640000343322754
2006-04-05,8.859999656677246
2006-04-06,9.369999885559082
2006-04-07,9.039999961853027
2006-04-10,8.899999618530273
2006-04-11,8.819999694824219
2006-04-12,9.100000381469727
2006-04-13,8.989999771118164
2006-04-17,9.020000457763672
2006-04-18,8.6899995803833
2006-04-19,8.899999618530273
2006-04-20,8.9399995803833
2006-04-21,8.75
2006-04-24,8.510000228881836
2006-04-25,8.600000381469727
2006-04-26,8.680000305175781
2006-04-27,8.4399995803833
2006-04-28,8.5
2006-05-01,8.449999809265137
2006-05-02,8.300000190734863
2006-05-03,8.5
2006-05-04,8.149999618530273
2006-05-05,8.260000228881836
2006-05-08,8.010000228881836
2006-05-09,8.199999809265137
2006-05-10,8.020000457763672
2006-05-11,8.199999809265137
2006-05-12,8.0
2006-05-15,8.039999961853027
2006-05-16,7.71999979019165
2006-05-17,8.010000228881836
2006-05-18,7.409999847412109
2006-05-19,7.320000171661377
2006-05-22,6.940000057220459
2006-05-23,7.139999866485596
2006-05-24,7.360000133514404
2006-05-25,7.599999904632568
2006-05-26,7.559999942779541
2006-05-30,7.340000152587891
2006-05-31,7.03000020980835
2006-06-01,7.150000095367432
2006-06-02,7.320000171661377
2006-06-05,7.179999828338623
2006-06-06,7.099999904632568
2006-06-07,7.820000171661377
2006-06-08,8.0
2006-06-09,7.860000133514404
2006-06-12,7.599999904632568
2006-06-13,7.599999904632568
2006-06-14,8.699999809265137
2006-06-15,9.010000228881836
2006-06-16,8.600000381469727
2006-06-19,8.289999961853027
2006-06-20,8.25
2006-06-21,7.989999771118164
2006-06-22,8.15999984741211
2006-06-23,7.889999866485596
2006-06-26,7.900000095367432
2006-06-27,7.300000190734863
2006-06-28,7.150000095367432
2006-06-29,7.039999961853027
2006-06-30,7.519999980926514
2006-07-03,7.119999885559082
2006-07-05,7.150000095367432
2006-07-06,7.289999961853027
2006-07-07,7.610000133514404
2006-07-10,7.46999979019165
2006-07-11,7.050000190734863
2006-07-12,6.960000038146973
2006-07-13,7.320000171661377
2006-07-14,7.300000190734863
2006-07-17,7.340000152587891
2006-07-18,6.900000095367432
2006-07-19,7.0
2006-07-20,6.0
2006-07-21,6.139999866485596
2006-07-24,5.650000095367432
2006-07-25,5.800000190734863
