,AMTX
2007-08-07,30.5
2007-08-08,30.5
2007-08-09,29.975000381469727
2007-08-10,29.975000381469727
2007-08-13,29.975000381469727
2007-08-14,29.975000381469727
2007-08-15,28.75
2007-08-16,28.75
2007-08-17,28.75
2007-08-20,29.975000381469727
2007-08-21,30.625
2007-08-22,31.875
2007-08-23,30.75
2007-08-24,32.5
2007-08-27,30.0
2007-08-28,29.375
2007-08-29,31.25
2007-08-30,31.25
2007-08-31,33.75
2007-09-04,33.75
2007-09-05,33.75
2007-09-06,33.25
2007-09-07,33.75
2007-09-10,33.150001525878906
2007-09-11,32.474998474121094
2007-09-12,30.625
2007-09-13,30.625
2007-09-14,30.625
2007-09-17,30.625
2007-09-18,30.625
2007-09-19,31.875
2007-09-20,31.875
2007-09-21,31.875
2007-09-24,31.875
2007-09-25,31.875
2007-09-26,28.5
2007-09-27,28.5
2007-09-28,28.5
2007-10-01,29.5
2007-10-02,29.5
2007-10-03,28.125
2007-10-04,27.5
2007-10-05,27.5
2007-10-08,30.0
2007-10-09,25.625
2007-10-10,25.625
2007-10-11,27.5
2007-10-12,30.0
2007-10-15,32.5
2007-10-16,30.0
2007-10-17,25.649999618530273
2007-10-18,27.5
2007-10-19,28.5
2007-10-22,28.5
2007-10-23,28.5
2007-10-24,28.5
2007-10-25,28.75
2007-10-26,28.75
2007-10-29,27.5
2007-10-30,25.625
2007-10-31,26.25
2007-11-01,26.25
2007-11-02,26.25
2007-11-05,25.625
2007-11-06,25.024999618530273
2007-11-07,25.625
2007-11-08,25.625
2007-11-09,25.625
2007-11-12,25.25
2007-11-13,27.125
2007-11-14,22.5
2007-11-15,17.5
2007-11-16,27.475000381469727
2007-11-19,27.475000381469727
2007-11-20,25.0
2007-11-21,25.0
2007-11-23,25.0
2007-11-26,25.0
2007-11-27,22.5
2007-11-28,22.5
2007-11-29,22.5
2007-11-30,25.024999618530273
2007-12-03,27.5
2007-12-04,25.0
2007-12-05,23.125
2007-12-06,33.75
2007-12-07,30.0
2007-12-10,30.0
2007-12-11,37.5
2007-12-12,37.5
2007-12-13,37.5
2007-12-14,37.5
2007-12-17,37.5
2007-12-18,30.0
2007-12-19,35.0
2007-12-20,35.0
2007-12-21,32.5
2007-12-24,32.5
2007-12-26,34.375
2007-12-27,25.25
2007-12-28,31.25
2007-12-31,31.25
2008-01-02,29.950000762939453
2008-01-03,29.950000762939453
2008-01-04,29.950000762939453
2008-01-07,25.0
2008-01-08,24.975000381469727
2008-01-09,24.975000381469727
2008-01-10,24.975000381469727
2008-01-11,22.5
2008-01-14,22.5
2008-01-15,22.5
2008-01-16,28.125
2008-01-17,27.950000762939453
2008-01-18,27.950000762939453
2008-01-22,26.25
2008-01-23,22.5
2008-01-24,25.024999618530273
2008-01-25,25.024999618530273
2008-01-28,25.024999618530273
2008-01-29,25.024999618530273
2008-01-30,23.75
2008-01-31,23.725000381469727
2008-02-01,23.725000381469727
2008-02-04,23.725000381469727
2008-02-05,23.75
2008-02-06,22.5
2008-02-07,20.0
2008-02-08,25.25
2008-02-11,25.25
2008-02-12,25.25
2008-02-13,22.5
2008-02-14,22.5
2008-02-15,17.5
2008-02-19,22.5
2008-02-20,22.5
2008-02-21,22.5
2008-02-22,25.0
2008-02-25,25.0
2008-02-26,22.5
2008-02-27,22.5
2008-02-28,22.5
2008-02-29,22.5
2008-03-03,22.5
2008-03-04,22.5
2008-03-05,22.5
2008-03-06,22.450000762939453
2008-03-07,22.450000762939453
2008-03-10,20.0
2008-03-11,20.0
2008-03-12,21.25
2008-03-13,20.0
2008-03-14,18.75
2008-03-17,18.75
2008-03-18,24.725000381469727
2008-03-19,23.75
2008-03-20,23.75
2008-03-24,23.75
2008-03-25,23.75
2008-03-26,23.75
2008-03-27,22.125
2008-03-28,22.125
2008-03-31,22.125
2008-04-01,21.225000381469727
2008-04-02,21.225000381469727
2008-04-03,18.75
2008-04-04,20.0
2008-04-07,20.0
2008-04-08,20.0
2008-04-09,17.5
2008-04-10,17.5
2008-04-11,15.625
2008-04-14,17.5
2008-04-15,17.5
2008-04-16,17.5
2008-04-17,17.5
2008-04-18,17.5
2008-04-21,18.5
2008-04-22,18.75
2008-04-23,17.5
2008-04-24,18.100000381469727
2008-04-25,18.100000381469727
2008-04-28,18.625
2008-04-29,18.625
2008-04-30,18.625
2008-05-01,18.625
2008-05-02,18.625
2008-05-05,18.625
2008-05-06,18.625
2008-05-07,18.625
2008-05-08,18.625
2008-05-09,18.625
2008-05-12,17.375
2008-05-13,15.25
2008-05-14,13.75
2008-05-15,14.0
2008-05-16,14.375
2008-05-19,13.25
2008-05-20,13.875
2008-05-21,13.75
2008-05-22,12.5
2008-05-23,12.5
2008-05-27,12.5
2008-05-28,13.625
2008-05-29,15.0
2008-05-30,17.5
2008-06-02,15.625
2008-06-03,12.25
2008-06-04,11.925000190734863
2008-06-05,12.0
2008-06-06,10.0
2008-06-09,10.0
2008-06-10,7.5
2008-06-11,9.375
2008-06-12,9.375
2008-06-13,9.25
2008-06-16,9.25
2008-06-17,9.25
2008-06-18,10.0
2008-06-19,10.0
2008-06-20,12.25
2008-06-23,11.375
2008-06-24,13.125
2008-06-25,15.0
2008-06-26,19.375
2008-06-27,18.75
2008-06-30,22.5
2008-07-01,18.125
2008-07-02,18.75
2008-07-03,18.75
2008-07-07,18.75
2008-07-08,17.5
2008-07-09,17.5
2008-07-10,17.5
2008-07-11,17.5
2008-07-14,16.25
2008-07-15,15.25
2008-07-16,14.75
2008-07-17,14.875
2008-07-18,16.225000381469727
2008-07-21,16.25
2008-07-22,16.25
2008-07-23,16.25
2008-07-24,16.25
2008-07-25,16.25
2008-07-28,15.875
2008-07-29,17.5
2008-07-30,17.5
2008-07-31,17.5
2008-08-01,17.5
2008-08-04,17.5
2008-08-05,15.050000190734863
2008-08-06,13.75
2008-08-07,15.0
2008-08-08,15.0
2008-08-11,15.0
2008-08-12,15.0
2008-08-13,14.375
2008-08-14,15.0
2008-08-15,15.0
