,AVRO
2018-06-21,31.200000762939453
2018-06-22,30.739999771118164
2018-06-25,30.479999542236328
2018-06-26,30.829999923706055
2018-06-27,30.540000915527344
2018-06-28,28.079999923706055
2018-06-29,28.559999465942383
2018-07-02,27.350000381469727
2018-07-03,26.950000762939453
2018-07-05,27.479999542236328
2018-07-06,28.350000381469727
2018-07-09,27.989999771118164
2018-07-10,28.6200008392334
2018-07-11,28.020000457763672
2018-07-12,29.6200008392334
2018-07-13,28.100000381469727
2018-07-16,29.06999969482422
2018-07-17,29.020000457763672
2018-07-18,33.90999984741211
2018-07-19,34.5
2018-07-20,37.54999923706055
2018-07-23,38.310001373291016
2018-07-24,38.790000915527344
2018-07-25,39.0099983215332
2018-07-26,33.349998474121094
2018-07-27,31.530000686645508
2018-07-30,32.08000183105469
2018-07-31,32.0
2018-08-01,31.829999923706055
2018-08-02,32.650001525878906
2018-08-03,34.91999816894531
2018-08-06,36.90999984741211
2018-08-07,37.349998474121094
2018-08-08,38.970001220703125
2018-08-09,38.060001373291016
2018-08-10,40.970001220703125
2018-08-13,41.380001068115234
2018-08-14,41.15999984741211
2018-08-15,40.75
2018-08-16,40.65999984741211
2018-08-17,40.0
2018-08-20,38.66999816894531
2018-08-21,38.97999954223633
2018-08-22,38.9900016784668
2018-08-23,38.68000030517578
2018-08-24,39.310001373291016
2018-08-27,37.72999954223633
2018-08-28,36.689998626708984
2018-08-29,35.599998474121094
2018-08-30,34.75
2018-08-31,34.349998474121094
2018-09-04,32.650001525878906
2018-09-05,31.790000915527344
2018-09-06,32.650001525878906
2018-09-07,33.2400016784668
2018-09-10,33.02000045776367
2018-09-11,35.439998626708984
2018-09-12,36.84000015258789
2018-09-13,36.72999954223633
2018-09-14,39.630001068115234
2018-09-17,41.310001373291016
2018-09-18,41.5
2018-09-19,45.0
2018-09-20,48.0
2018-09-21,49.25
2018-09-24,50.13999938964844
2018-09-25,52.2599983215332
2018-09-26,52.70000076293945
2018-09-27,52.59000015258789
2018-09-28,51.869998931884766
2018-10-01,25.1299991607666
2018-10-02,20.479999542236328
2018-10-03,23.540000915527344
2018-10-04,23.3799991607666
2018-10-05,24.889999389648438
2018-10-08,25.549999237060547
2018-10-09,24.15999984741211
2018-10-10,23.75
2018-10-11,23.610000610351562
2018-10-12,25.170000076293945
2018-10-15,26.399999618530273
2018-10-16,29.1200008392334
2018-10-17,30.530000686645508
2018-10-18,28.719999313354492
2018-10-19,27.440000534057617
2018-10-22,27.739999771118164
2018-10-23,28.829999923706055
2018-10-24,30.059999465942383
2018-10-25,32.70000076293945
2018-10-26,30.229999542236328
2018-10-29,29.18000030517578
2018-10-30,28.780000686645508
2018-10-31,30.059999465942383
2018-11-01,29.610000610351562
2018-11-02,29.399999618530273
2018-11-05,29.780000686645508
2018-11-06,29.84000015258789
2018-11-07,29.739999771118164
2018-11-08,30.139999389648438
2018-11-09,28.56999969482422
2018-11-12,28.31999969482422
2018-11-13,29.959999084472656
2018-11-14,29.3799991607666
2018-11-15,28.0
2018-11-16,26.8700008392334
2018-11-19,24.100000381469727
