,BOKFL
2016-06-30,25.038999557495117
2016-07-01,24.950000762939453
2016-07-05,25.0
2016-07-06,25.059999465942383
2016-07-07,25.059999465942383
2016-07-08,25.034000396728516
2016-07-11,25.040000915527344
2016-07-12,25.0
2016-07-13,25.020000457763672
2016-07-14,25.091999053955078
2016-07-15,25.100000381469727
2016-07-18,25.219999313354492
2016-07-19,25.229999542236328
2016-07-20,25.239999771118164
2016-07-21,25.389999389648438
2016-07-22,25.43000030517578
2016-07-25,25.43000030517578
2016-07-26,25.290000915527344
2016-07-27,25.34000015258789
2016-07-28,25.5
2016-07-29,25.600000381469727
2016-08-01,25.680999755859375
2016-08-02,25.610000610351562
2016-08-03,25.600000381469727
2016-08-04,25.530000686645508
2016-08-05,25.65999984741211
2016-08-08,25.68000030517578
2016-08-09,25.600000381469727
2016-08-10,25.610000610351562
2016-08-11,25.360000610351562
2016-08-12,25.610000610351562
2016-08-15,25.790000915527344
2016-08-16,25.84000015258789
2016-08-17,26.0
2016-08-18,25.923999786376953
2016-08-19,25.979999542236328
2016-08-22,25.915000915527344
2016-08-23,26.149999618530273
2016-08-24,25.969999313354492
2016-08-25,26.149999618530273
2016-08-26,26.040000915527344
2016-08-29,26.04400062561035
2016-08-30,26.15999984741211
2016-08-31,26.229999542236328
2016-09-01,26.25
2016-09-02,26.440000534057617
2016-09-06,26.010000228881836
2016-09-07,26.06999969482422
2016-09-08,26.04400062561035
2016-09-09,25.530000686645508
2016-09-12,25.761999130249023
2016-09-13,25.399999618530273
2016-09-14,25.43000030517578
2016-09-15,25.6299991607666
2016-09-16,25.8700008392334
2016-09-19,26.149999618530273
2016-09-20,25.850000381469727
2016-09-21,25.600000381469727
2016-09-22,25.65999984741211
2016-09-23,25.75
2016-09-26,25.690000534057617
2016-09-27,25.790000915527344
2016-09-28,25.829999923706055
2016-09-29,25.6200008392334
2016-09-30,25.780000686645508
2016-10-03,25.56999969482422
2016-10-04,25.549999237060547
2016-10-05,25.610000610351562
2016-10-06,25.469999313354492
2016-10-07,25.360000610351562
2016-10-10,25.440000534057617
2016-10-11,25.1200008392334
2016-10-12,25.405000686645508
2016-10-13,25.18000030517578
2016-10-14,25.170000076293945
2016-10-17,25.1200008392334
2016-10-18,25.25
2016-10-19,25.209999084472656
2016-10-20,25.25
2016-10-21,25.375
2016-10-24,25.360000610351562
2016-10-25,25.209999084472656
2016-10-26,25.260000228881836
2016-10-27,25.170000076293945
2016-10-28,25.25
2016-10-31,25.149999618530273
2016-11-01,25.200000762939453
2016-11-02,24.969999313354492
2016-11-03,25.149999618530273
2016-11-04,25.139999389648438
2016-11-07,25.110000610351562
2016-11-08,25.020000457763672
2016-11-09,24.65999984741211
2016-11-10,22.40999984741211
2016-11-11,22.5
2016-11-14,22.1200008392334
2016-11-15,22.469999313354492
2016-11-16,23.40999984741211
2016-11-17,23.3700008392334
2016-11-18,23.200000762939453
2016-11-21,23.339000701904297
2016-11-22,23.09000015258789
2016-11-23,23.420000076293945
2016-11-25,23.079999923706055
2016-11-28,22.299999237060547
2016-11-29,22.1299991607666
2016-11-30,21.600000381469727
2016-12-01,21.8799991607666
2016-12-02,21.850000381469727
2016-12-05,22.079999923706055
2016-12-06,22.201000213623047
2016-12-07,22.450000762939453
2016-12-08,21.950000762939453
2016-12-09,22.149999618530273
2016-12-12,21.950000762939453
2016-12-13,21.600000381469727
2016-12-14,21.610000610351562
2016-12-15,21.649999618530273
2016-12-16,21.940000534057617
2016-12-19,21.93000030517578
2016-12-20,22.399999618530273
2016-12-21,22.469999313354492
2016-12-22,22.31999969482422
2016-12-23,22.399999618530273
2016-12-27,22.399999618530273
2016-12-28,22.270000457763672
2016-12-29,22.440000534057617
2016-12-30,22.280000686645508
2017-01-03,22.600000381469727
2017-01-04,23.0
2017-01-05,22.959999084472656
2017-01-06,23.15999984741211
2017-01-09,23.059999465942383
2017-01-10,23.329999923706055
2017-01-11,23.559999465942383
2017-01-12,23.559999465942383
2017-01-13,23.639999389648438
2017-01-17,23.6299991607666
2017-01-18,23.663000106811523
2017-01-19,23.59000015258789
2017-01-20,23.600000381469727
2017-01-23,23.770000457763672
2017-01-24,23.739999771118164
2017-01-25,23.510000228881836
2017-01-26,23.489999771118164
2017-01-27,23.209999084472656
