,RKT
2020-08-06,21.510000228881836
2020-08-07,24.899999618530273
2020-08-10,21.670000076293945
2020-08-11,20.579999923706055
2020-08-12,20.0
2020-08-13,18.739999771118164
2020-08-14,18.959999084472656
2020-08-17,19.040000915527344
2020-08-18,20.139999389648438
2020-08-19,21.399999618530273
2020-08-20,23.790000915527344
2020-08-21,25.889999389648438
2020-08-24,29.110000610351562
2020-08-25,28.610000610351562
2020-08-26,27.31999969482422
2020-08-27,27.100000381469727
2020-08-28,28.420000076293945
2020-08-31,28.0
2020-09-01,30.709999084472656
2020-09-02,31.309999465942383
2020-09-03,26.5
2020-09-04,24.56999969482422
2020-09-08,22.739999771118164
2020-09-09,23.389999389648438
2020-09-10,23.149999618530273
2020-09-11,22.75
2020-09-14,23.700000762939453
2020-09-15,23.360000610351562
2020-09-16,22.719999313354492
2020-09-17,22.56999969482422
2020-09-18,22.270000457763672
2020-09-21,21.420000076293945
2020-09-22,21.56999969482422
2020-09-23,20.299999237060547
2020-09-24,20.059999465942383
2020-09-25,20.520000457763672
2020-09-28,20.670000076293945
2020-09-29,20.06999969482422
2020-09-30,19.93000030517578
2020-10-01,22.65999984741211
2020-10-02,23.0
2020-10-05,22.559999465942383
2020-10-06,21.719999313354492
2020-10-07,21.700000762939453
2020-10-08,22.729999542236328
2020-10-09,22.959999084472656
2020-10-12,23.139999389648438
2020-10-13,23.579999923706055
2020-10-14,22.760000228881836
2020-10-15,22.350000381469727
2020-10-16,21.90999984741211
2020-10-19,20.739999771118164
2020-10-20,20.559999465942383
2020-10-21,20.010000228881836
2020-10-22,20.25
2020-10-23,20.56999969482422
2020-10-26,19.8799991607666
2020-10-27,20.110000610351562
2020-10-28,18.649999618530273
2020-10-29,18.899999618530273
2020-10-30,18.229999542236328
2020-11-02,18.93000030517578
2020-11-03,19.3799991607666
2020-11-04,20.6200008392334
2020-11-05,20.950000762939453
2020-11-06,21.309999465942383
2020-11-09,21.450000762939453
2020-11-10,21.600000381469727
2020-11-11,21.059999465942383
2020-11-12,21.790000915527344
2020-11-13,21.850000381469727
2020-11-16,22.649999618530273
2020-11-17,22.200000762939453
2020-11-18,21.15999984741211
2020-11-19,21.260000228881836
2020-11-20,20.959999084472656
2020-11-23,20.299999237060547
2020-11-24,20.829999923706055
2020-11-25,20.420000076293945
2020-11-27,20.25
2020-11-30,20.719999313354492
2020-12-01,20.190000534057617
2020-12-02,20.100000381469727
2020-12-03,20.309999465942383
2020-12-04,19.6299991607666
2020-12-07,19.700000762939453
2020-12-08,20.209999084472656
2020-12-09,21.059999465942383
2020-12-10,20.799999237060547
2020-12-11,20.860000610351562
2020-12-14,21.940000534057617
2020-12-15,22.360000610351562
2020-12-16,22.389999389648438
2020-12-17,22.399999618530273
2020-12-18,21.639999389648438
2020-12-21,21.600000381469727
2020-12-22,21.700000762939453
2020-12-23,21.649999618530273
2020-12-24,20.829999923706055
2020-12-28,20.5
2020-12-29,20.75
2020-12-30,21.15999984741211
2020-12-31,20.219999313354492
2021-01-04,20.0
2021-01-05,19.889999389648438
2021-01-06,19.350000381469727
2021-01-07,19.719999313354492
2021-01-08,19.950000762939453
2021-01-11,19.84000015258789
2021-01-12,19.6299991607666
2021-01-13,19.93000030517578
2021-01-14,20.15999984741211
2021-01-15,19.600000381469727
2021-01-19,19.540000915527344
2021-01-20,19.8700008392334
2021-01-21,19.969999313354492
2021-01-22,20.049999237060547
2021-01-25,23.190000534057617
2021-01-26,22.700000762939453
2021-01-27,23.0
2021-01-28,21.309999465942383
2021-01-29,21.360000610351562
2021-02-01,21.540000915527344
2021-02-02,20.940000534057617
2021-02-03,21.209999084472656
2021-02-04,21.56999969482422
2021-02-05,21.6299991607666
2021-02-08,21.6200008392334
2021-02-09,21.25
2021-02-10,20.940000534057617
2021-02-11,20.670000076293945
2021-02-12,20.68000030517578
2021-02-16,20.56999969482422
2021-02-17,20.049999237060547
2021-02-18,20.06999969482422
2021-02-19,20.270000457763672
2021-02-22,20.40999984741211
2021-02-23,20.0
2021-02-24,20.31999969482422
2021-02-25,19.899999618530273
2021-02-26,21.850000381469727
2021-03-01,24.299999237060547
2021-03-02,41.599998474121094
2021-03-03,28.010000228881836
2021-03-04,26.860000610351562
2021-03-05,25.100000381469727
2021-03-08,24.709999084472656
2021-03-09,25.489999771118164
2021-03-10,25.950000762939453
2021-03-11,25.829999923706055
2021-03-12,25.010000228881836
2021-03-15,25.799999237060547
2021-03-16,25.0
2021-03-17,24.5
2021-03-18,23.100000381469727
2021-03-19,23.06999969482422
