,EQOS
2019-05-16,9.890000343322754
2019-05-17,9.890000343322754
2019-05-20,9.869999885559082
2019-05-21,9.869999885559082
2019-05-22,9.869999885559082
2019-05-23,9.859999656677246
2019-05-24,9.859999656677246
2019-05-28,9.859999656677246
2019-05-29,9.859999656677246
2019-05-30,9.890000343322754
2019-05-31,9.859999656677246
2019-06-03,9.869999885559082
2019-06-04,9.920000076293945
2019-06-05,9.899999618530273
2019-06-06,9.899999618530273
2019-06-07,9.930000305175781
2019-06-10,9.920000076293945
2019-06-11,9.920000076293945
2019-06-12,9.949999809265137
2019-06-13,9.90999984741211
2019-06-14,9.90999984741211
2019-06-17,9.90999984741211
2019-06-18,9.90999984741211
2019-06-19,9.90999984741211
2019-06-20,9.90999984741211
2019-06-21,9.90999984741211
2019-06-24,9.90999984741211
2019-06-25,9.90999984741211
2019-06-26,9.90999984741211
2019-06-27,9.901000022888184
2019-06-28,9.901000022888184
2019-07-01,10.100000381469727
2019-07-02,9.960000038146973
2019-07-03,10.0
2019-07-05,9.880000114440918
2019-07-08,9.880000114440918
2019-07-09,9.84000015258789
2019-07-10,9.920000076293945
2019-07-11,9.930000305175781
2019-07-12,9.920000076293945
2019-07-15,9.918999671936035
2019-07-16,9.9399995803833
2019-07-17,9.9399995803833
2019-07-18,9.9399995803833
2019-07-19,9.880000114440918
2019-07-22,9.949999809265137
2019-07-23,9.949999809265137
2019-07-24,9.904000282287598
2019-07-25,9.904000282287598
2019-07-26,9.904000282287598
2019-07-29,9.904000282287598
2019-07-30,9.904000282287598
2019-07-31,9.904000282287598
2019-08-01,10.0
2019-08-02,9.979999542236328
2019-08-05,9.970000267028809
2019-08-06,9.984999656677246
2019-08-07,9.979999542236328
2019-08-08,9.979999542236328
2019-08-09,9.979999542236328
2019-08-12,9.979999542236328
2019-08-13,9.979999542236328
2019-08-14,9.979999542236328
2019-08-15,9.979999542236328
2019-08-16,9.970000267028809
2019-08-19,9.979999542236328
2019-08-20,9.960000038146973
2019-08-21,9.960000038146973
2019-08-22,9.960000038146973
2019-08-23,9.960000038146973
2019-08-26,9.949999809265137
2019-08-27,9.9399995803833
2019-08-28,9.9399995803833
2019-08-29,9.9399995803833
2019-08-30,9.960000038146973
2019-09-03,9.960000038146973
2019-09-04,9.970000267028809
2019-09-05,9.970000267028809
2019-09-06,9.970000267028809
2019-09-09,9.970000267028809
2019-09-10,9.970000267028809
2019-09-11,9.970000267028809
2019-09-12,9.970000267028809
2019-09-13,9.979999542236328
2019-09-16,9.979999542236328
2019-09-17,9.979999542236328
2019-09-18,9.930000305175781
2019-09-19,9.989999771118164
2019-09-20,9.99899959564209
2019-09-23,9.989999771118164
2019-09-24,9.989999771118164
2019-09-25,9.989999771118164
2019-09-26,9.989999771118164
2019-09-27,9.970000267028809
2019-09-30,9.989999771118164
2019-10-01,9.989999771118164
2019-10-02,9.989999771118164
2019-10-03,9.989999771118164
2019-10-04,9.979999542236328
2019-10-07,9.979999542236328
2019-10-08,9.979999542236328
2019-10-09,9.970000267028809
2019-10-10,9.970000267028809
2019-10-11,9.970000267028809
2019-10-14,9.970000267028809
2019-10-15,9.979999542236328
2019-10-16,9.970000267028809
2019-10-17,9.970000267028809
2019-10-18,9.970999717712402
2019-10-21,9.979999542236328
2019-10-22,9.979999542236328
2019-10-23,9.979999542236328
2019-10-24,9.979999542236328
2019-10-25,9.970000267028809
2019-10-28,9.970000267028809
2019-10-29,9.970000267028809
2019-10-30,9.960000038146973
2019-10-31,9.970000267028809
2019-11-01,9.960000038146973
2019-11-04,9.960000038146973
2019-11-05,9.970000267028809
2019-11-06,9.949999809265137
2019-11-07,9.9399995803833
2019-11-08,9.960000038146973
2019-11-11,9.979999542236328
2019-11-12,9.989999771118164
2019-11-13,9.989999771118164
2019-11-14,10.010000228881836
2019-11-15,9.979999542236328
2019-11-18,9.979999542236328
2019-11-19,9.979999542236328
2019-11-20,9.979999542236328
2019-11-21,10.029999732971191
2019-11-22,10.039999961853027
2019-11-25,10.020000457763672
2019-11-26,10.039999961853027
2019-11-27,10.039999961853027
2019-11-29,10.020000457763672
2019-12-02,10.020000457763672
2019-12-03,10.039999961853027
2019-12-04,10.039999961853027
2019-12-05,10.020000457763672
2019-12-06,10.020000457763672
2019-12-09,10.020000457763672
2019-12-10,9.989999771118164
2019-12-11,10.020000457763672
2019-12-12,10.020000457763672
2019-12-13,10.020000457763672
2019-12-16,10.020000457763672
2019-12-17,10.020000457763672
2019-12-18,10.0
2019-12-19,10.0
2019-12-20,10.0
2019-12-23,10.010000228881836
2019-12-24,10.029999732971191
2019-12-26,10.0600004196167
2019-12-27,10.010000228881836
2019-12-30,10.020000457763672
2019-12-31,10.020000457763672
2020-01-02,10.020000457763672
2020-01-03,10.020000457763672
2020-01-06,10.020000457763672
2020-01-07,10.050000190734863
2020-01-08,10.039999961853027
2020-01-09,10.050000190734863
2020-01-10,10.029999732971191
2020-01-13,10.029999732971191
2020-01-14,10.069999694824219
2020-01-15,10.149999618530273
2020-01-16,10.149999618530273
2020-01-17,10.142999649047852
2020-01-21,10.142999649047852
2020-01-22,10.152999877929688
2020-01-23,10.1899995803833
2020-01-24,10.1899995803833
2020-01-27,10.130000114440918
2020-01-28,10.140000343322754
2020-01-29,10.130000114440918
2020-01-30,10.130000114440918
2020-01-31,10.130000114440918
2020-02-03,10.130000114440918
2020-02-04,10.130000114440918
2020-02-05,10.130000114440918
2020-02-06,10.170000076293945
2020-02-07,10.050000190734863
2020-02-10,10.050000190734863
2020-02-11,10.100000381469727
