,BBOX
1992-12-16,7.817478179931641
1992-12-17,7.964976787567139
1992-12-18,8.849974632263184
1992-12-21,8.702474594116211
1992-12-22,8.554976463317871
1992-12-23,8.554976463317871
1992-12-24,8.849974632263184
1992-12-28,8.554976463317871
1992-12-29,8.6287841796875
1992-12-30,8.99747371673584
1992-12-31,9.144973754882812
1993-01-04,9.292472839355469
1993-01-05,8.849974632263184
1993-01-06,9.144973754882812
1993-01-07,9.144973754882812
1993-01-08,8.849974632263184
1993-01-11,9.439972877502441
1993-01-12,9.587472915649414
1993-01-13,9.439972877502441
1993-01-14,9.513775825500488
1993-01-15,9.73497200012207
1993-01-18,9.73497200012207
1993-01-19,9.882472038269043
1993-01-20,9.73497200012207
1993-01-21,9.587472915649414
1993-01-22,9.73497200012207
1993-01-25,9.587472915649414
1993-01-26,9.292472839355469
1993-01-27,8.849974632263184
1993-01-28,8.849974632263184
1993-01-29,8.702474594116211
1993-02-01,9.144973754882812
1993-02-02,9.439972877502441
1993-02-03,9.439972877502441
1993-02-04,8.923784255981445
1993-02-05,8.99747371673584
1993-02-08,8.99747371673584
1993-02-09,8.99747371673584
1993-02-10,8.99747371673584
1993-02-11,8.849974632263184
1993-02-12,8.407476425170898
1993-02-16,8.11247730255127
1993-02-17,7.448788166046143
1993-02-18,6.637481212615967
1993-02-19,6.784980773925781
1993-02-22,6.9324798583984375
1993-02-23,7.07997989654541
1993-02-24,7.07997989654541
1993-02-25,7.522478103637695
1993-02-26,7.522478103637695
1993-03-01,7.448788166046143
1993-03-02,7.522478103637695
1993-03-03,7.374979019165039
1993-03-04,7.374979019165039
1993-03-05,7.522478103637695
1993-03-08,8.849974632263184
1993-03-09,8.259976387023926
1993-03-10,8.11247730255127
1993-03-11,8.407476425170898
1993-03-12,8.259976387023926
1993-03-15,7.964976787567139
1993-03-16,7.817478179931641
1993-03-17,7.817478179931641
1993-03-18,8.11247730255127
1993-03-19,7.669978141784668
1993-03-22,7.153788089752197
1993-03-23,7.374979019165039
1993-03-24,7.227478981018066
1993-03-25,7.522478103637695
1993-03-26,7.669978141784668
1993-03-29,7.669978141784668
1993-03-30,7.817478179931641
1993-03-31,7.522478103637695
1993-04-01,7.669978141784668
1993-04-02,7.522478103637695
1993-04-05,7.374979019165039
1993-04-06,7.30128812789917
1993-04-07,7.07997989654541
1993-04-08,7.522478103637695
1993-04-12,7.227478981018066
1993-04-13,7.227478981018066
1993-04-14,7.669978141784668
1993-04-15,7.669978141784668
1993-04-16,7.522478103637695
1993-04-19,7.522478103637695
1993-04-20,7.522478103637695
1993-04-21,7.596286773681641
1993-04-22,7.817478179931641
1993-04-23,7.522478103637695
1993-04-26,7.596286773681641
1993-04-27,7.374979019165039
1993-04-28,7.374979019165039
1993-04-29,7.374979019165039
1993-04-30,7.522478103637695
1993-05-03,7.374979019165039
1993-05-04,7.374979019165039
1993-05-05,7.374979019165039
1993-05-06,7.374979019165039
1993-05-07,7.374979019165039
1993-05-10,7.964976787567139
1993-05-11,7.964976787567139
1993-05-12,8.259976387023926
1993-05-13,8.11247730255127
1993-05-14,7.964976787567139
1993-05-17,7.817478179931641
1993-05-18,7.596286773681641
1993-05-19,7.448788166046143
1993-05-20,7.817478179931641
1993-05-21,7.817478179931641
1993-05-24,7.817478179931641
1993-05-25,7.374979019165039
1993-05-26,7.817478179931641
1993-05-27,7.964976787567139
1993-05-28,7.743786811828613
1993-06-01,7.522478103637695
1993-06-02,7.669978141784668
1993-06-03,7.522478103637695
1993-06-04,7.522478103637695
1993-06-07,7.522478103637695
1993-06-08,7.596286773681641
1993-06-09,7.596286773681641
1993-06-10,7.374979019165039
1993-06-11,7.374979019165039
1993-06-14,7.227478981018066
1993-06-15,7.522478103637695
1993-06-16,7.374979019165039
1993-06-17,7.522478103637695
1993-06-18,7.227478981018066
1993-06-21,7.522478103637695
1993-06-22,7.522478103637695
1993-06-23,7.522478103637695
1993-06-24,7.227478981018066
1993-06-25,7.07997989654541
1993-06-28,7.374979019165039
1993-06-29,7.522478103637695
1993-06-30,7.07997989654541
1993-07-01,7.448788166046143
1993-07-02,7.448788166046143
1993-07-06,7.522478103637695
1993-07-07,7.596286773681641
1993-07-08,7.817478179931641
1993-07-09,7.669978141784668
1993-07-12,7.964976787567139
1993-07-13,7.964976787567139
1993-07-14,8.11247730255127
1993-07-15,8.554976463317871
1993-07-16,8.849974632263184
1993-07-19,8.849974632263184
1993-07-20,8.259976387023926
1993-07-21,8.702474594116211
1993-07-22,8.702474594116211
1993-07-23,8.6287841796875
1993-07-26,8.776284217834473
1993-07-27,8.554976463317871
1993-07-28,8.849974632263184
1993-07-29,8.99747371673584
1993-07-30,8.923784255981445
1993-08-02,8.849974632263184
1993-08-03,9.144973754882812
1993-08-04,8.99747371673584
1993-08-05,9.144973754882812
1993-08-06,9.144973754882812
1993-08-09,8.99747371673584
1993-08-10,8.99747371673584
1993-08-11,9.144973754882812
