,DLG
2010-06-22,20985.80078125
2010-06-23,20146.30078125
2010-06-24,19516.80078125
2010-06-25,20426.099609375
2010-06-28,20286.19921875
2010-06-29,19936.5
2010-06-30,19376.80078125
2010-07-01,19376.80078125
2010-07-02,19027.099609375
2010-07-06,17907.80078125
2010-07-07,17278.30078125
2010-07-08,17488.099609375
2010-07-09,18327.599609375
2010-07-12,19236.900390625
2010-07-13,20146.30078125
2010-07-14,19586.69921875
2010-07-15,18887.19921875
2010-07-16,18747.30078125
2010-07-19,18747.30078125
2010-07-20,18607.400390625
2010-07-21,18187.69921875
2010-07-22,18117.69921875
2010-07-23,18957.099609375
2010-07-26,
2010-07-27,18537.400390625
2010-07-28,18397.5
2010-07-29,18747.30078125
2010-07-30,18047.69921875
2010-08-02,17907.80078125
2010-08-03,17488.099609375
2010-08-04,17208.30078125
2010-08-05,17138.400390625
2010-08-06,16928.5
2010-08-09,16089.099609375
2010-08-10,15319.599609375
2010-08-11,15319.599609375
2010-08-12,14620.099609375
2010-08-13,14829.900390625
2010-08-16,15529.5
2010-08-17,15179.7001953125
2010-08-18,14480.2001953125
2010-08-19,13850.599609375
2010-08-20,13500.7998046875
2010-08-23,13291.0
2010-08-24,12661.400390625
2010-08-25,12031.7998046875
2010-08-26,11682.099609375
2010-08-27,11891.900390625
2010-08-30,12451.5
2010-08-31,13011.2001953125
2010-09-01,13640.7001953125
2010-09-02,
2010-09-03,
2010-09-07,14690.0
2010-09-08,13990.5
2010-09-09,14410.2001953125
2010-09-10,13710.7001953125
2010-09-13,13081.099609375
2010-09-14,13291.0
2010-09-15,13221.0
2010-09-16,13850.599609375
2010-09-17,14480.2001953125
2010-09-20,14690.0
2010-09-21,14270.2998046875
2010-09-22,14130.400390625
2010-09-23,
2010-09-24,14060.5
2010-09-27,13990.5
2010-09-28,13920.5
2010-09-29,13640.7001953125
2010-09-30,13430.900390625
2010-10-01,14060.5
2010-10-04,14340.2998046875
2010-10-05,14410.2001953125
2010-10-06,14690.0
2010-10-07,15179.7001953125
2010-10-08,15879.2001953125
2010-10-11,16648.69921875
2010-10-12,16368.900390625
2010-10-13,16508.80078125
2010-10-14,16648.69921875
2010-10-15,16718.69921875
2010-10-18,16718.69921875
2010-10-19,16368.900390625
2010-10-20,16089.099609375
2010-10-21,16159.0
2010-10-22,16718.69921875
