,FMBIO
2020-06-19,24.75
2020-06-22,24.889999389648438
2020-06-23,25.06999969482422
2020-06-24,25.06999969482422
2020-06-25,25.040000915527344
2020-06-26,25.049999237060547
2020-06-29,25.0
2020-06-30,25.100000381469727
2020-07-01,24.93000030517578
2020-07-02,25.0
2020-07-06,24.5
2020-07-07,24.479999542236328
2020-07-08,24.479999542236328
2020-07-09,24.600000381469727
2020-07-10,24.645000457763672
2020-07-13,24.600000381469727
2020-07-14,24.84000015258789
2020-07-15,24.854999542236328
2020-07-16,24.979999542236328
2020-07-17,24.920000076293945
2020-07-20,25.0
2020-07-21,25.100000381469727
2020-07-22,25.0
2020-07-23,24.989999771118164
2020-07-24,25.0
2020-07-27,25.0
2020-07-28,25.09000015258789
2020-07-29,25.489999771118164
2020-07-30,25.299999237060547
2020-07-31,25.0
2020-08-03,25.100000381469727
2020-08-04,24.969999313354492
2020-08-05,25.024999618530273
2020-08-06,25.049999237060547
2020-08-07,25.100000381469727
2020-08-10,25.25
2020-08-11,25.110000610351562
2020-08-12,25.239999771118164
2020-08-13,25.290000915527344
2020-08-14,25.5
2020-08-17,25.850000381469727
2020-08-18,25.860000610351562
2020-08-19,25.799999237060547
2020-08-20,25.850000381469727
2020-08-21,25.84000015258789
2020-08-24,25.799999237060547
2020-08-25,25.950000762939453
2020-08-26,25.979999542236328
2020-08-27,26.15999984741211
2020-08-28,26.170000076293945
2020-08-31,26.170000076293945
2020-09-01,26.420000076293945
2020-09-02,26.290000915527344
2020-09-03,26.350000381469727
2020-09-04,26.270000457763672
2020-09-08,26.299999237060547
2020-09-09,26.290000915527344
2020-09-10,26.200000762939453
2020-09-11,26.149999618530273
2020-09-14,26.209999084472656
2020-09-15,26.149999618530273
2020-09-16,26.020000457763672
2020-09-17,26.200000762939453
2020-09-18,26.100000381469727
2020-09-21,26.1200008392334
2020-09-22,26.280000686645508
2020-09-23,26.149999618530273
2020-09-24,26.09000015258789
2020-09-25,26.0
2020-09-28,26.100000381469727
2020-09-29,26.049999237060547
2020-09-30,27.479999542236328
2020-10-01,27.520000457763672
2020-10-02,27.520000457763672
2020-10-05,27.43000030517578
2020-10-06,27.280000686645508
2020-10-07,27.670000076293945
2020-10-08,27.649999618530273
2020-10-09,27.719999313354492
2020-10-12,27.684999465942383
2020-10-13,27.639999389648438
2020-10-14,27.780000686645508
2020-10-15,27.6200008392334
2020-10-16,27.850000381469727
2020-10-19,27.739999771118164
2020-10-20,27.8799991607666
