,FBIZ
2005-11-09,12.5
2005-11-10,12.5
2005-11-11,12.319999694824219
2005-11-14,12.0
2005-11-15,12.0
2005-11-16,12.0
2005-11-17,11.875
2005-11-18,11.875
2005-11-21,11.875
2005-11-22,12.0
2005-11-23,12.0
2005-11-25,12.0
2005-11-28,12.0
2005-11-29,12.0
2005-11-30,12.0
2005-12-01,11.875
2005-12-02,11.875
2005-12-05,11.875
2005-12-06,11.925000190734863
2005-12-07,11.925000190734863
2005-12-08,11.925000190734863
2005-12-09,12.0
2005-12-12,12.050000190734863
2005-12-13,12.024999618530273
2005-12-14,12.029999732971191
2005-12-15,12.0
2005-12-16,11.899999618530273
2005-12-19,11.899999618530273
2005-12-20,11.899999618530273
2005-12-21,11.899999618530273
2005-12-22,11.899999618530273
2005-12-23,11.899999618530273
2005-12-27,11.899999618530273
2005-12-28,11.90999984741211
2005-12-29,11.899999618530273
2005-12-30,11.850000381469727
2006-01-03,11.75
2006-01-04,11.75
2006-01-05,12.0
2006-01-06,11.899999618530273
2006-01-09,11.899999618530273
2006-01-10,11.899999618530273
2006-01-11,11.899999618530273
2006-01-12,11.899999618530273
2006-01-13,11.899999618530273
2006-01-17,11.899999618530273
2006-01-18,11.899999618530273
2006-01-19,11.875
2006-01-20,11.875
2006-01-23,11.875
2006-01-24,11.875
2006-01-25,11.75
2006-01-26,11.6899995803833
2006-01-27,11.6899995803833
2006-01-30,11.630000114440918
2006-01-31,11.515000343322754
2006-02-01,11.515000343322754
2006-02-02,11.5
2006-02-03,11.5
2006-02-06,11.5
2006-02-07,11.270000457763672
2006-02-08,11.274999618530273
2006-02-09,11.270000457763672
2006-02-10,11.270000457763672
2006-02-13,11.25
2006-02-14,11.140000343322754
2006-02-15,11.154999732971191
2006-02-16,11.125
2006-02-17,11.244999885559082
2006-02-21,11.244999885559082
2006-02-22,11.244999885559082
2006-02-23,11.100000381469727
2006-02-24,11.100000381469727
2006-02-27,11.100000381469727
2006-02-28,11.100000381469727
2006-03-01,11.100000381469727
2006-03-02,11.100000381469727
2006-03-03,11.100000381469727
2006-03-06,11.100000381469727
2006-03-07,11.100000381469727
2006-03-08,11.100000381469727
2006-03-09,11.100000381469727
2006-03-10,11.100000381469727
2006-03-13,11.100000381469727
2006-03-14,11.050000190734863
2006-03-15,11.050000190734863
2006-03-16,11.0
2006-03-17,11.0
2006-03-20,11.0
2006-03-21,11.0
2006-03-22,11.244999885559082
2006-03-23,11.604999542236328
2006-03-24,11.625
2006-03-27,11.625
2006-03-28,11.75
2006-03-29,11.875
2006-03-30,11.869999885559082
2006-03-31,11.869999885559082
2006-04-03,11.75
2006-04-04,11.725000381469727
2006-04-05,11.725000381469727
2006-04-06,11.725000381469727
2006-04-07,11.725000381469727
2006-04-10,11.75
2006-04-11,11.75
2006-04-12,11.800000190734863
2006-04-13,11.875
2006-04-17,11.875
2006-04-18,11.75
2006-04-19,11.75
2006-04-20,11.75
2006-04-21,11.75
2006-04-24,11.75
2006-04-25,11.75
2006-04-26,11.75
2006-04-27,11.824999809265137
2006-04-28,11.800000190734863
2006-05-01,11.800000190734863
2006-05-02,11.75
2006-05-03,11.75
2006-05-04,11.795000076293945
