,CZNC
1994-04-05,10.85092830657959
1994-04-06,11.235713005065918
1994-04-07,11.235713005065918
1994-04-08,11.235713005065918
1994-04-11,11.235713005065918
1994-04-12,11.235713005065918
1994-04-13,11.235713005065918
1994-04-14,11.235713005065918
1994-04-15,11.235713005065918
1994-04-18,11.235713005065918
1994-04-19,11.235713005065918
1994-04-20,11.235713005065918
1994-04-21,11.235713005065918
1994-04-22,11.235713005065918
1994-04-25,11.235713005065918
1994-04-26,11.235713005065918
1994-04-28,11.235713005065918
1994-04-29,11.235713005065918
1994-05-02,11.235713005065918
1994-05-03,11.235713005065918
1994-05-04,11.235713005065918
1994-05-05,11.235713005065918
1994-05-06,11.235713005065918
1994-05-09,11.235713005065918
1994-05-10,11.235713005065918
1994-05-11,11.235713005065918
1994-05-12,11.235713005065918
1994-05-13,10.85092830657959
1994-05-16,11.158756256103516
1994-05-17,11.158756256103516
1994-05-18,11.120277404785156
1994-05-19,11.081798553466797
1994-05-20,11.081798553466797
1994-05-23,11.081798553466797
1994-05-24,11.081798553466797
1994-05-25,11.081798553466797
1994-05-26,11.081798553466797
1994-05-27,11.081798553466797
1994-05-31,11.081798553466797
1994-06-01,11.158756256103516
1994-06-02,11.158756256103516
1994-06-03,11.158756256103516
1994-06-06,11.158756256103516
1994-06-07,11.158756256103516
1994-06-08,11.235713005065918
1994-06-09,11.274190902709961
1994-06-10,11.274190902709961
1994-06-13,11.274190902709961
1994-06-14,11.274190902709961
1994-06-15,11.274190902709961
1994-06-16,11.312668800354004
1994-06-17,11.004841804504395
1994-06-20,11.004841804504395
1994-06-21,11.312668800354004
1994-06-22,11.389625549316406
1994-06-23,11.389625549316406
1994-06-24,11.389625549316406
1994-06-27,11.312668800354004
1994-06-28,11.312668800354004
1994-06-29,11.312668800354004
1994-06-30,11.312668800354004
1994-07-01,11.312668800354004
1994-07-05,11.312668800354004
1994-07-06,11.312668800354004
1994-07-07,11.312668800354004
1994-07-08,11.312668800354004
1994-07-11,11.312668800354004
1994-07-12,11.312668800354004
1994-07-13,11.235713005065918
1994-07-14,11.235713005065918
1994-07-15,11.235713005065918
1994-07-18,11.235713005065918
1994-07-19,11.235713005065918
1994-07-20,11.235713005065918
1994-07-21,11.235713005065918
1994-07-22,11.235713005065918
1994-07-25,10.927885055541992
1994-07-26,10.927885055541992
1994-07-27,11.543540000915527
1994-07-28,11.543540000915527
1994-07-29,11.543540000915527
1994-08-01,11.543540000915527
1994-08-02,11.543540000915527
1994-08-03,11.543540000915527
1994-08-04,11.543540000915527
1994-08-05,11.543540000915527
1994-08-08,11.543540000915527
1994-08-09,11.543540000915527
1994-08-10,11.543540000915527
1994-08-11,11.543540000915527
1994-08-12,11.851367950439453
1994-08-15,11.851367950439453
1994-08-16,11.851367950439453
1994-08-17,11.312668800354004
1994-08-18,11.312668800354004
1994-08-19,11.312668800354004
1994-08-22,11.235713005065918
