,TRN
1973-05-03,0.33948400616645813
1973-05-04,0.347665011882782
1973-05-07,0.33948400616645813
1973-05-08,0.3517549932003021
1973-05-09,0.3415290117263794
1973-05-10,0.3353939950466156
1973-05-11,0.31494298577308655
1973-05-14,0.31494298577308655
1973-05-15,0.3353939950466156
1973-05-16,0.32721400260925293
1973-05-17,0.3292590081691742
1973-05-18,0.31289801001548767
1973-05-21,0.3108530044555664
1973-05-22,0.3067629933357239
1973-05-23,0.31494298577308655
1973-05-24,0.32721400260925293
1973-05-25,0.3353939950466156
1973-05-29,0.3231239914894104
1973-05-30,0.3190329968929291
1973-05-31,0.31289801001548767
1973-06-01,0.3108530044555664
1973-06-04,0.30062800645828247
1973-06-05,0.3108530044555664
1973-06-06,0.31494298577308655
1973-06-07,0.3231239914894104
1973-06-08,0.33334898948669434
1973-06-11,0.32721400260925293
1973-06-12,0.3231239914894104
1973-06-13,0.3231239914894104
1973-06-14,0.3190329968929291
1973-06-15,0.3047179877758026
1973-06-18,0.2822220027446747
1973-06-19,0.2679060101509094
1973-06-20,0.2822220027446747
1973-06-21,0.2760869860649109
1973-06-22,0.27199599146842957
1973-06-25,0.26177099347114563
1973-06-26,0.2679060101509094
1973-06-27,0.2699509859085083
1973-06-28,0.2822220027446747
1973-06-29,0.2822220027446747
1973-07-02,0.2679060101509094
1973-07-03,0.26586100459098816
1973-07-05,0.2699509859085083
1973-07-06,0.2760869860649109
1973-07-09,0.2801769971847534
1973-07-10,0.2883569896221161
1973-07-11,0.3108530044555664
1973-07-12,0.3047179877758026
1973-07-13,0.30880799889564514
1973-07-16,0.3169879913330078
1973-07-17,0.3047179877758026
1973-07-18,0.31289801001548767
1973-07-19,0.30267301201820374
1973-07-20,0.30880799889564514
1973-07-23,0.3190329968929291
1973-07-24,0.34357500076293945
1973-07-25,0.35584500432014465
1973-07-26,0.3599349856376648
1973-07-27,0.3537999987602234
1973-07-30,0.36197999119758606
1973-07-31,0.34970998764038086
1973-08-01,0.33948400616645813
1973-08-02,0.33743900060653687
1973-08-03,0.34357500076293945
1973-08-06,0.33743900060653687
1973-08-07,0.3415290117263794
1973-08-08,0.3353939950466156
1973-08-09,0.32516899704933167
1973-08-10,0.32516899704933167
1973-08-13,0.3190329968929291
1973-08-14,0.31494298577308655
1973-08-15,0.3190329968929291
1973-08-16,0.3108530044555664
1973-08-17,0.30880799889564514
1973-08-20,0.30267301201820374
1973-08-21,0.29040199518203735
1973-08-22,0.29040199518203735
1973-08-23,0.2944920063018799
1973-08-24,0.2985830008983612
1973-08-27,0.2944920063018799
1973-08-28,0.2985830008983612
1973-08-29,0.29653799533843994
1973-08-30,0.2944920063018799
1973-08-31,0.29653799533843994
1973-09-04,0.3190329968929291
1973-09-05,0.31494298577308655
1973-09-06,0.3108530044555664
1973-09-07,0.3067629933357239
1973-09-10,0.31494298577308655
1973-09-11,0.30062800645828247
1973-09-12,0.2985830008983612
1973-09-13,0.30880799889564514
1973-09-14,0.3108530044555664
1973-09-17,0.3190329968929291
1973-09-18,0.3190329968929291
1973-09-19,0.347665011882782
1973-09-20,0.37425100803375244
1973-09-21,0.3660700023174286
1973-09-24,0.3722060024738312
1973-09-25,0.3783409893512726
1973-09-26,0.38652101159095764
1973-09-27,0.38038599491119385
1973-09-28,0.3783409893512726
1973-10-01,0.39061200618743896
1973-10-02,0.39265701174736023
1973-10-03,0.3722060024738312
1973-10-04,0.3722060024738312
1973-10-05,0.3844760060310364
1973-10-08,0.38038599491119385
1973-10-09,0.3701609969139099
1973-10-10,0.36197999119758606
1973-10-11,0.39265701174736023
1973-10-12,0.4008370041847229
1973-10-15,0.4008370041847229
1973-10-16,0.4417389929294586
1973-10-17,0.42742300033569336
1973-10-18,0.4294680058956146
1973-10-19,0.4294680058956146
1973-10-22,0.4253779947757721
1973-10-23,0.4253779947757721
1973-10-24,0.4171980023384094
1973-10-25,0.43355798721313477
1973-10-26,0.4376479983329773
1973-10-29,0.4437839984893799
1973-10-30,0.4376479983329773
1973-10-31,0.4315130114555359
1973-11-01,0.4294680058956146
1973-11-02,0.42742300033569336
1973-11-05,0.40492698550224304
1973-11-06,0.3885659873485565
1973-11-07,0.3947019875049591
1973-11-08,0.42128801345825195
1973-11-09,0.4253779947757721
1973-11-12,0.40901699662208557
1973-11-13,0.4253779947757721
1973-11-14,0.4294680058956146
1973-11-15,0.42333298921585083
1973-11-16,0.43969398736953735
1973-11-19,0.40901699662208557
1973-11-20,0.39674699306488037
1973-11-21,0.40288200974464417
1973-11-23,0.39265701174736023
1973-11-26,0.3885659873485565
1973-11-27,0.39265701174736023
1973-11-28,0.4253779947757721
1973-11-29,0.43355798721313477
1973-11-30,0.4192430078983307
1973-12-03,0.3947019875049591
1973-12-04,0.3885659873485565
1973-12-05,0.38652101159095764
1973-12-06,0.40288200974464417
1973-12-07,0.40492698550224304
1973-12-10,0.4131070077419281
1973-12-11,0.39674699306488037
1973-12-12,0.38038599491119385
1973-12-13,0.3599349856376648
1973-12-14,0.3578900098800659
1973-12-17,0.3599349856376648
1973-12-18,0.3599349856376648
1973-12-19,0.33334898948669434
1973-12-20,0.3517549932003021
1973-12-21,0.347665011882782
1973-12-24,0.34970998764038086
1973-12-26,0.3578900098800659
1973-12-27,0.3660700023174286
1973-12-28,0.3762960135936737
1973-12-31,0.3783409893512726
1974-01-02,0.3599349856376648
1974-01-03,0.3722060024738312
1974-01-04,0.3783409893512726
1974-01-07,0.41106200218200684
1974-01-08,0.4069719910621643
1974-01-09,0.39265701174736023
