,EBET
2021-04-15,36.41999816894531
2021-04-16,25.350000381469727
2021-04-19,20.09000015258789
2021-04-20,25.049999237060547
2021-04-21,22.5
2021-04-22,21.600000381469727
2021-04-23,20.5
2021-04-26,20.56999969482422
2021-04-27,24.030000686645508
2021-04-28,23.600000381469727
2021-04-29,23.309999465942383
2021-04-30,22.25
2021-05-03,22.389999389648438
2021-05-04,23.739999771118164
2021-05-05,23.920000076293945
2021-05-06,22.40999984741211
2021-05-07,22.25
2021-05-10,21.90999984741211
2021-05-11,22.950000762939453
2021-05-12,22.6200008392334
2021-05-13,20.8799991607666
2021-05-14,20.989999771118164
