,CXDO
2018-03-27,2.9200000762939453
2018-03-28,2.799999952316284
2018-03-29,2.799999952316284
2018-04-02,2.8499999046325684
2018-04-03,2.8499999046325684
2018-04-04,2.8499999046325684
2018-04-05,2.8499999046325684
2018-04-06,2.8499999046325684
2018-04-09,2.8499999046325684
2018-04-10,2.8499999046325684
2018-04-11,2.8499999046325684
2018-04-12,2.700000047683716
2018-04-13,2.700000047683716
2018-04-16,2.75
2018-04-17,2.75
2018-04-18,2.8499999046325684
2018-04-19,2.5
2018-04-20,2.549999952316284
2018-04-23,2.549999952316284
2018-04-24,2.5
2018-04-25,2.5
2018-04-26,2.5
2018-04-27,2.5
2018-04-30,2.5
2018-05-01,2.5
2018-05-02,2.5
2018-05-03,2.5
2018-05-04,2.5
2018-05-07,2.5
2018-05-08,2.5999999046325684
2018-05-09,2.5999999046325684
2018-05-10,2.5999999046325684
2018-05-11,2.5999999046325684
2018-05-14,2.8499999046325684
2018-05-15,2.9000000953674316
2018-05-16,2.5999999046325684
2018-05-17,2.799999952316284
2018-05-18,2.8499999046325684
2018-05-21,2.8399999141693115
2018-05-22,2.8499999046325684
2018-05-23,2.8499999046325684
2018-05-24,2.5999999046325684
2018-05-25,2.9000000953674316
2018-05-29,2.9000000953674316
2018-05-30,2.8499999046325684
2018-05-31,2.799999952316284
2018-06-01,2.5999999046325684
2018-06-04,2.5999999046325684
2018-06-05,2.859999895095825
2018-06-06,2.8499999046325684
2018-06-07,2.8499999046325684
2018-06-08,2.6600000858306885
2018-06-11,2.8499999046325684
2018-06-12,2.8499999046325684
2018-06-13,2.700000047683716
2018-06-14,2.75
2018-06-15,2.75
2018-06-18,2.75
2018-06-19,2.6500000953674316
2018-06-20,2.75
2018-06-21,2.75
2018-06-22,2.75
2018-06-25,2.700000047683716
2018-06-26,2.6500000953674316
2018-06-27,2.6500000953674316
2018-06-28,2.6700000762939453
2018-06-29,2.5999999046325684
2018-07-02,2.5999999046325684
2018-07-03,2.5999999046325684
2018-07-05,2.5999999046325684
2018-07-06,2.5999999046325684
2018-07-09,2.5999999046325684
2018-07-10,2.619999885559082
2018-07-11,2.619999885559082
2018-07-12,2.619999885559082
2018-07-13,2.609999895095825
2018-07-16,2.609999895095825
2018-07-17,2.5999999046325684
2018-07-18,2.5999999046325684
2018-07-19,2.5999999046325684
2018-07-20,2.700000047683716
2018-07-23,2.700000047683716
2018-07-24,2.5999999046325684
2018-07-25,2.5999999046325684
2018-07-26,2.5999999046325684
2018-07-27,2.5999999046325684
2018-07-30,2.5999999046325684
2018-07-31,2.549999952316284
2018-08-01,2.549999952316284
2018-08-02,2.549999952316284
2018-08-03,2.700000047683716
2018-08-06,2.700000047683716
2018-08-07,2.4000000953674316
2018-08-08,2.4000000953674316
2018-08-09,2.549999952316284
2018-08-10,2.549999952316284
2018-08-13,2.549999952316284
2018-08-14,2.5
2018-08-15,2.4000000953674316
2018-08-16,2.299999952316284
2018-08-17,2.299999952316284
2018-08-20,2.5
2018-08-21,2.5
2018-08-22,2.5
2018-08-23,2.5
2018-08-24,2.5
2018-08-27,2.299999952316284
2018-08-28,2.299999952316284
2018-08-29,2.299999952316284
2018-08-30,2.299999952316284
2018-08-31,2.299999952316284
2018-09-04,2.3499999046325684
2018-09-05,2.3499999046325684
2018-09-06,2.3499999046325684
2018-09-07,2.240000009536743
2018-09-10,2.240000009536743
2018-09-11,2.240000009536743
2018-09-12,2.1500000953674316
2018-09-13,2.1500000953674316
2018-09-14,2.2699999809265137
2018-09-17,2.2699999809265137
2018-09-18,2.2699999809265137
2018-09-19,2.0
2018-09-20,2.0
2018-09-21,2.0999999046325684
2018-09-24,1.600000023841858
2018-09-25,2.1500000953674316
2018-09-26,2.1500000953674316
2018-09-27,2.0999999046325684
2018-09-28,2.0999999046325684
2018-10-01,2.0999999046325684
2018-10-02,2.0999999046325684
2018-10-03,2.0999999046325684
2018-10-04,2.0999999046325684
2018-10-05,2.0999999046325684
2018-10-08,2.0999999046325684
2018-10-09,1.7599999904632568
2018-10-10,1.7599999904632568
2018-10-11,1.75
2018-10-12,2.0
2018-10-15,2.0
2018-10-16,2.0
2018-10-17,2.0
2018-10-18,1.899999976158142
2018-10-19,1.899999976158142
2018-10-22,1.899999976158142
2018-10-23,1.9450000524520874
2018-10-24,1.9450000524520874
2018-10-25,1.9450000524520874
2018-10-26,1.659999966621399
2018-10-29,1.659999966621399
2018-10-30,1.659999966621399
2018-10-31,1.659999966621399
2018-11-01,1.7000000476837158
2018-11-02,1.7000000476837158
2018-11-05,1.7000000476837158
2018-11-06,1.7000000476837158
2018-11-07,1.600000023841858
2018-11-08,1.7999999523162842
2018-11-09,1.8250000476837158
2018-11-12,1.8250000476837158
2018-11-13,1.8250000476837158
2018-11-14,1.8250000476837158
2018-11-15,1.7999999523162842
2018-11-16,1.8899999856948853
2018-11-19,1.850000023841858
2018-11-20,1.850000023841858
2018-11-21,1.9500000476837158
2018-11-23,2.119999885559082
2018-11-26,2.119999885559082
2018-11-27,2.119999885559082
2018-11-28,2.119999885559082
2018-11-29,2.119999885559082
2018-11-30,2.119999885559082
