,FCACU
2020-09-22,10.359999656677246
2020-09-23,10.270000457763672
2020-09-24,10.260000228881836
2020-09-25,10.210000038146973
2020-09-28,10.300000190734863
2020-09-29,10.289999961853027
2020-09-30,10.289999961853027
2020-10-01,10.25
2020-10-02,10.140000343322754
2020-10-05,10.079999923706055
2020-10-06,10.029999732971191
2020-10-07,10.050000190734863
2020-10-08,10.069999694824219
2020-10-09,10.100000381469727
2020-10-12,10.107000350952148
2020-10-13,10.109999656677246
2020-10-14,10.0600004196167
2020-10-15,10.114999771118164
2020-10-16,10.100000381469727
2020-10-19,10.100000381469727
2020-10-20,10.079999923706055
2020-10-21,10.0649995803833
2020-10-22,10.069999694824219
2020-10-23,10.050000190734863
2020-10-26,10.050000190734863
2020-10-27,10.050000190734863
2020-10-28,10.069999694824219
2020-10-29,10.100000381469727
2020-10-30,10.010000228881836
2020-11-02,10.069999694824219
2020-11-03,10.109999656677246
2020-11-04,10.100000381469727
2020-11-05,10.119999885559082
2020-11-06,10.100000381469727
2020-11-09,10.100000381469727
2020-11-10,10.109999656677246
2020-11-11,10.220000267028809
2020-11-12,10.199999809265137
2020-11-13,10.199999809265137
2020-11-16,10.34000015258789
2020-11-17,10.149999618530273
2020-11-18,10.119999885559082
2020-11-19,10.22599983215332
2020-11-20,10.210000038146973
2020-11-23,10.289999961853027
2020-11-24,10.399999618530273
2020-11-25,10.300000190734863
2020-11-27,10.229999542236328
2020-11-30,10.479999542236328
2020-12-01,10.460000038146973
2020-12-02,10.5
2020-12-03,10.399999618530273
2020-12-04,10.442000389099121
2020-12-07,10.550000190734863
2020-12-08,10.609999656677246
2020-12-09,10.600000381469727
2020-12-10,10.710000038146973
2020-12-11,10.75
2020-12-14,10.619999885559082
2020-12-15,10.529999732971191
2020-12-16,10.600000381469727
2020-12-17,10.850000381469727
2020-12-18,10.890000343322754
2020-12-21,11.289999961853027
2020-12-22,10.90999984741211
2020-12-23,11.199999809265137
2020-12-24,11.25
2020-12-28,11.220000267028809
2020-12-29,11.300000190734863
2020-12-30,11.3100004196167
2020-12-31,10.680000305175781
2021-01-04,11.0
2021-01-05,11.149999618530273
2021-01-06,11.100000381469727
2021-01-07,11.34000015258789
2021-01-08,11.479999542236328
2021-01-11,11.520000457763672
2021-01-12,11.720000267028809
2021-01-13,11.899999618530273
2021-01-14,12.100000381469727
2021-01-15,11.6899995803833
2021-01-19,11.8100004196167
2021-01-20,12.0
2021-01-21,11.770000457763672
2021-01-22,11.699999809265137
2021-01-25,11.699999809265137
2021-01-26,11.600000381469727
2021-01-27,12.010000228881836
2021-01-28,12.329999923706055
2021-01-29,12.300000190734863
2021-02-01,12.09000015258789
2021-02-02,12.380000114440918
2021-02-03,12.670000076293945
2021-02-04,12.800000190734863
2021-02-05,12.84000015258789
2021-02-08,12.84000015258789
2021-02-09,12.710000038146973
2021-02-10,12.800000190734863
2021-02-11,12.579999923706055
2021-02-12,11.84000015258789
2021-02-16,12.069999694824219
2021-02-17,12.279999732971191
2021-02-18,11.9399995803833
2021-02-19,12.710000038146973
2021-02-22,13.319999694824219
2021-02-23,13.5
2021-02-24,12.649999618530273
2021-02-25,11.65999984741211
2021-02-26,11.65999984741211
2021-03-01,12.09000015258789
2021-03-02,11.40999984741211
2021-03-03,11.489999771118164
2021-03-04,10.5600004196167
2021-03-05,10.720000267028809
2021-03-08,10.850000381469727
2021-03-09,10.800000190734863
2021-03-10,10.789999961853027
2021-03-11,11.229999542236328
2021-03-12,10.829999923706055
2021-03-15,10.75
2021-03-16,10.649999618530273
2021-03-17,10.649999618530273
2021-03-18,10.5600004196167
2021-03-19,10.600000381469727
2021-03-22,10.670000076293945
2021-03-23,10.5
2021-03-24,10.390000343322754
2021-03-25,10.5
2021-03-26,10.399999618530273
2021-03-29,10.449999809265137
2021-03-30,10.529999732971191
2021-03-31,10.449999809265137
2021-04-01,10.350000381469727
2021-04-05,10.36299991607666
2021-04-06,10.649999618530273
2021-04-07,10.40999984741211
2021-04-08,10.470000267028809
2021-04-09,10.449999809265137
2021-04-12,10.430000305175781
2021-04-13,10.430000305175781
2021-04-14,10.390000343322754
2021-04-15,10.569999694824219
2021-04-16,10.34000015258789
2021-04-19,10.449999809265137
2021-04-20,10.25
2021-04-21,10.399999618530273
2021-04-22,10.399999618530273
2021-04-23,10.449999809265137
2021-04-26,10.460000038146973
2021-04-27,10.449999809265137
2021-04-28,10.430000305175781
2021-04-29,10.449999809265137
2021-04-30,10.449999809265137
2021-05-03,10.399999618530273
2021-05-04,10.399999618530273
2021-05-05,10.449999809265137
2021-05-06,10.5
2021-05-07,10.449999809265137
2021-05-10,10.449999809265137
2021-05-11,10.399999618530273
2021-05-12,10.449999809265137
2021-05-13,10.4399995803833
2021-05-14,10.449999809265137
