,COMT
2014-10-16,50.40999984741211
2014-10-17,50.77000045776367
2014-10-20,50.54999923706055
2014-10-21,51.029998779296875
2014-10-22,51.029998779296875
2014-10-23,50.959999084472656
2014-10-24,50.72700119018555
2014-10-27,49.95000076293945
2014-10-28,50.970001220703125
2014-10-29,51.25
2014-10-30,50.849998474121094
2014-10-31,50.709999084472656
2014-11-03,50.189998626708984
2014-11-04,49.54999923706055
2014-11-05,49.91999816894531
2014-11-06,49.9900016784668
2014-11-07,50.349998474121094
2014-11-10,49.93000030517578
2014-11-11,50.0260009765625
2014-11-12,49.810001373291016
2014-11-13,48.849998474121094
2014-11-14,49.45000076293945
2014-11-17,49.560001373291016
2014-11-18,49.36000061035156
2014-11-19,49.2599983215332
2014-11-20,49.59000015258789
2014-11-21,49.90399932861328
2014-11-24,49.720001220703125
2014-11-25,49.42599868774414
2014-11-26,49.25
2014-11-28,46.470001220703125
2014-12-01,46.630001068115234
2014-12-02,46.38999938964844
2014-12-03,46.59000015258789
2014-12-04,46.099998474121094
2014-12-05,45.900001525878906
2014-12-08,44.90999984741211
2014-12-09,44.75
2014-12-10,44.04999923706055
2014-12-11,44.04999923706055
2014-12-12,43.0
2014-12-15,42.029998779296875
2014-12-16,41.85100173950195
2014-12-17,41.85100173950195
2014-12-18,41.85100173950195
2014-12-19,41.85100173950195
2014-12-22,42.54999923706055
2014-12-23,43.0099983215332
2014-12-24,42.29999923706055
2014-12-26,42.369998931884766
2014-12-29,41.880001068115234
2014-12-30,41.79999923706055
2014-12-31,41.301998138427734
2015-01-02,41.189998626708984
2015-01-05,40.22999954223633
2015-01-06,39.689998626708984
2015-01-07,39.70000076293945
2015-01-08,39.959999084472656
2015-01-09,39.88999938964844
2015-01-12,39.05400085449219
2015-01-13,39.04999923706055
2015-01-14,39.04999923706055
2015-01-15,38.97999954223633
2015-01-16,39.7599983215332
2015-01-20,39.02000045776367
2015-01-21,39.4739990234375
2015-01-22,39.119998931884766
2015-01-23,39.119998931884766
2015-01-26,39.0
2015-01-27,39.25
2015-01-28,38.349998474121094
2015-01-29,38.2400016784668
2015-01-30,38.417999267578125
2015-02-02,39.992000579833984
2015-02-03,41.29899978637695
2015-02-04,40.45000076293945
2015-02-05,40.72999954223633
2015-02-06,40.7400016784668
2015-02-09,41.369998931884766
2015-02-10,40.7400016784668
2015-02-11,40.290000915527344
2015-02-12,41.18000030517578
2015-02-13,41.61000061035156
2015-02-17,41.66999816894531
2015-02-18,41.16999816894531
2015-02-19,40.91699981689453
2015-02-20,40.93000030517578
2015-02-23,40.61000061035156
2015-02-24,40.61000061035156
2015-02-25,41.18000030517578
2015-02-26,40.709999084472656
2015-02-27,41.138999938964844
2015-03-02,40.70000076293945
2015-03-03,40.849998474121094
2015-03-04,40.529998779296875
2015-03-05,40.43000030517578
2015-03-06,39.81999969482422
2015-03-09,39.45000076293945
2015-03-10,38.779998779296875
2015-03-11,38.959999084472656
2015-03-12,38.77000045776367
2015-03-13,37.9900016784668
2015-03-16,37.970001220703125
2015-03-17,37.720001220703125
2015-03-18,38.77799987792969
2015-03-19,38.16999816894531
2015-03-20,38.79999923706055
2015-03-23,38.900001525878906
2015-03-24,38.70000076293945
2015-03-25,38.77000045776367
2015-03-26,39.18000030517578
2015-03-27,38.38999938964844
2015-03-30,38.779998779296875
2015-03-31,38.2599983215332
2015-04-01,39.0099983215332
2015-04-02,38.70000076293945
2015-04-06,39.47999954223633
2015-04-07,39.529998779296875
2015-04-08,38.959999084472656
2015-04-09,39.06999969482422
2015-04-10,39.290000915527344
2015-04-13,39.231998443603516
2015-04-14,39.5099983215332
2015-04-15,40.47999954223633
2015-04-16,40.75
2015-04-17,40.58300018310547
2015-04-20,40.5
2015-04-21,40.209999084472656
2015-04-22,40.2400016784668
2015-04-23,40.70000076293945
2015-04-24,40.78499984741211
2015-04-27,40.590999603271484
2015-04-28,40.70000076293945
2015-04-29,41.02000045776367
2015-04-30,41.36000061035156
2015-05-01,41.540000915527344
2015-05-04,41.54999923706055
2015-05-05,41.52000045776367
2015-05-06,41.48400115966797
2015-05-07,40.81999969482422
2015-05-08,41.2599983215332
2015-05-11,41.11000061035156
2015-05-12,41.52000045776367
2015-05-13,41.529998779296875
2015-05-14,41.720001220703125
2015-05-15,41.540000915527344
2015-05-18,41.459999084472656
2015-05-19,40.71699905395508
2015-05-20,40.52000045776367
2015-05-21,41.06999969482422
2015-05-22,40.66999816894531
2015-05-26,39.970001220703125
2015-05-27,39.560001373291016
2015-05-28,39.56999969482422
2015-05-29,40.029998779296875
2015-06-01,39.810001373291016
