,EARS
2015-09-03,862.0
2015-09-04,864.0
2015-09-08,889.0
2015-09-09,920.0
2015-09-10,944.0
2015-09-11,936.0
2015-09-14,946.0
2015-09-15,866.0
2015-09-16,878.0
2015-09-17,888.0
2015-09-18,876.0
2015-09-21,880.0
2015-09-22,862.0
2015-09-23,852.0
2015-09-24,914.0
2015-09-25,862.0
2015-09-28,706.0
2015-09-29,700.0
2015-09-30,712.0
2015-10-01,702.0
2015-10-02,674.0
2015-10-05,688.0
2015-10-06,668.7999877929688
2015-10-07,667.0
2015-10-08,672.0
2015-10-09,694.0
2015-10-12,675.0
2015-10-13,666.0
2015-10-14,690.0
2015-10-15,707.0
2015-10-16,760.0
2015-10-19,740.0
2015-10-20,762.0
2015-10-21,766.0
2015-10-22,784.0
2015-10-23,788.0
2015-10-26,786.0
2015-10-27,772.0
2015-10-28,760.0
2015-10-29,780.0
2015-10-30,778.0
2015-11-02,776.0
2015-11-03,740.0
2015-11-04,726.0
2015-11-05,734.0
2015-11-06,738.0
2015-11-09,734.0
2015-11-10,728.0
2015-11-11,728.0
2015-11-12,634.0
2015-11-13,636.0
2015-11-16,604.0
2015-11-17,626.0
2015-11-18,662.0
2015-11-19,651.4000244140625
2015-11-20,650.0
2015-11-23,672.0
2015-11-24,678.0
2015-11-25,670.0
2015-11-27,702.0
2015-11-30,722.0
2015-12-01,747.5999755859375
2015-12-02,730.0
2015-12-03,710.0
2015-12-04,684.0
2015-12-07,698.0
2015-12-08,617.7999877929688
2015-12-09,756.0
2015-12-10,680.0
2015-12-11,664.0
2015-12-14,680.0
2015-12-15,693.0
2015-12-16,684.0
2015-12-17,662.0
2015-12-18,636.0
2015-12-21,644.0
2015-12-22,664.0
2015-12-23,673.7999877929688
2015-12-24,834.0
2015-12-28,878.0
2015-12-29,1000.0
2015-12-30,960.0
2015-12-31,978.0
2016-01-04,1016.0
2016-01-05,1188.0
2016-01-06,1558.0
2016-01-07,1416.0
2016-01-08,1138.0
2016-01-11,1030.0
2016-01-12,938.0
2016-01-13,992.0
2016-01-14,992.0
2016-01-15,880.0
2016-01-19,826.0
2016-01-20,846.0
2016-01-21,826.0
2016-01-22,838.0
2016-01-25,844.0
2016-01-26,878.0
2016-01-27,944.0
2016-01-28,900.0
2016-01-29,896.0
2016-02-01,858.0
2016-02-02,810.0
2016-02-03,782.0
2016-02-04,838.0
2016-02-05,814.0
2016-02-08,844.0
2016-02-09,842.0
2016-02-10,818.0
2016-02-11,840.0
2016-02-12,870.0
2016-02-16,906.0
2016-02-17,886.0
2016-02-18,866.0
2016-02-19,858.0
2016-02-22,844.0
2016-02-23,858.0
2016-02-24,886.0
2016-02-25,936.0
2016-02-26,950.0
2016-02-29,950.0
2016-03-01,938.0
2016-03-02,930.0
2016-03-03,916.0
2016-03-04,900.0
2016-03-07,940.0
2016-03-08,916.0
2016-03-09,912.0
2016-03-10,880.0
2016-03-11,902.0
2016-03-14,958.0
2016-03-15,894.0
2016-03-16,800.0
2016-03-17,766.0
2016-03-18,750.0
2016-03-21,764.0
2016-03-22,762.0
2016-03-23,712.0
2016-03-24,686.0
2016-03-28,676.0
2016-03-29,672.0
2016-03-30,700.0
2016-03-31,728.0
2016-04-01,722.0
2016-04-04,734.0
2016-04-05,736.0
2016-04-06,824.0
2016-04-07,824.0
2016-04-08,864.0
2016-04-11,854.0
2016-04-12,828.0
2016-04-13,848.0
2016-04-14,846.0
2016-04-15,864.0
2016-04-18,866.0
2016-04-19,858.0
2016-04-20,830.0
2016-04-21,820.0
2016-04-22,848.0
2016-04-25,812.0
2016-04-26,800.0
2016-04-27,794.0
2016-04-28,782.0
2016-04-29,732.0
2016-05-02,728.0
2016-05-03,712.0
2016-05-04,706.0
2016-05-05,666.0
2016-05-06,634.0
2016-05-09,656.0
2016-05-10,706.0
2016-05-11,706.0
2016-05-12,662.0
2016-05-13,626.0
2016-05-16,650.0
2016-05-17,652.0
2016-05-18,646.0
2016-05-19,648.0
2016-05-20,654.0
2016-05-23,650.0
2016-05-24,648.0
2016-05-25,672.0
2016-05-26,674.0
2016-05-27,692.0
2016-05-31,668.0
2016-06-01,686.0
2016-06-02,718.0
2016-06-03,714.0
2016-06-06,750.0
2016-06-07,728.0
2016-06-08,710.0
2016-06-09,680.0
2016-06-10,654.0
2016-06-13,696.0
2016-06-14,696.0
2016-06-15,802.0
2016-06-16,784.0
2016-06-17,828.0
2016-06-20,786.0
2016-06-21,784.0
2016-06-22,810.0
2016-06-23,800.0
2016-06-24,764.0
2016-06-27,776.0
2016-06-28,864.0
2016-06-29,864.0
2016-06-30,838.0
2016-07-01,872.0
2016-07-05,860.0
2016-07-06,818.0
2016-07-07,806.0
2016-07-08,818.0
2016-07-11,806.0
2016-07-12,804.0
2016-07-13,730.0
2016-07-14,746.0
2016-07-15,732.0
2016-07-18,740.0
2016-07-19,754.0
2016-07-20,762.0
2016-07-21,754.0
2016-07-22,740.0
2016-07-25,752.0
2016-07-26,780.0
2016-07-27,814.0
2016-07-28,802.0
2016-07-29,802.0
2016-08-01,828.0
2016-08-02,806.0
2016-08-03,790.0
2016-08-04,946.0
2016-08-05,924.0
2016-08-08,898.0
2016-08-09,864.0
2016-08-10,870.0
2016-08-11,874.0
2016-08-12,856.0
2016-08-15,758.0
2016-08-16,768.0
2016-08-17,1070.0
2016-08-18,430.0
2016-08-19,424.0
2016-08-22,404.0
2016-08-23,406.0
2016-08-24,408.0
2016-08-25,406.0
2016-08-26,414.0
2016-08-29,406.0
2016-08-30,396.0
2016-08-31,370.0
2016-09-01,342.0
2016-09-02,342.0
2016-09-06,330.0
2016-09-07,328.0
2016-09-08,316.0
2016-09-09,364.0
2016-09-12,336.0
2016-09-13,338.0
2016-09-14,328.0
2016-09-15,330.0
2016-09-16,334.0
2016-09-19,334.0
2016-09-20,330.0
2016-09-21,326.0
2016-09-22,352.0
2016-09-23,342.0
2016-09-26,340.0
2016-09-27,346.0
2016-09-28,352.0
2016-09-29,348.0
2016-09-30,346.0
2016-10-03,350.0
2016-10-04,334.0
2016-10-05,343.0
2016-10-06,328.0
2016-10-07,328.0
2016-10-10,324.0
2016-10-11,316.0
2016-10-12,296.0
2016-10-13,282.0
2016-10-14,248.0
2016-10-17,254.0
2016-10-18,254.0
2016-10-19,250.0
2016-10-20,256.0
2016-10-21,264.0
2016-10-24,244.0
2016-10-25,250.0
2016-10-26,228.0
2016-10-27,214.0
2016-10-28,212.0
2016-10-31,206.0
2016-11-01,200.0
2016-11-02,200.0
2016-11-03,179.8000030517578
2016-11-04,180.0
2016-11-07,196.60000610351562
2016-11-08,184.0
2016-11-09,194.0
2016-11-10,208.0
2016-11-11,224.0
2016-11-14,239.1999969482422
2016-11-15,244.0
2016-11-16,244.0
2016-11-17,244.0
2016-11-18,242.0
2016-11-21,247.39999389648438
2016-11-22,248.0
2016-11-23,242.0
2016-11-25,248.0
2016-11-28,246.0
2016-11-29,246.0
2016-11-30,240.0
2016-12-01,240.0
2016-12-02,232.0
2016-12-05,232.0
2016-12-06,240.39999389648438
2016-12-07,290.0
2016-12-08,262.0
2016-12-09,258.0
2016-12-12,252.0
2016-12-13,252.0
2016-12-14,244.0
2016-12-15,252.0
2016-12-16,246.0
2016-12-19,250.0
2016-12-20,244.0
2016-12-21,244.0
2016-12-22,244.0
2016-12-23,236.0
