,BGRN
2018-11-27,50.22999954223633
2018-11-28,50.154998779296875
2018-11-29,50.154998779296875
2018-11-30,50.3120002746582
2018-12-03,50.3120002746582
2018-12-04,50.58000183105469
2018-12-06,50.58000183105469
2018-12-07,50.56999969482422
2018-12-10,50.56999969482422
2018-12-11,50.56999969482422
2018-12-12,50.56999969482422
2018-12-13,50.56999969482422
2018-12-14,50.56999969482422
2018-12-17,50.56999969482422
2018-12-18,50.56999969482422
2018-12-19,50.7400016784668
2018-12-20,50.7400016784668
2018-12-21,50.69499969482422
2018-12-24,50.69499969482422
2018-12-26,50.69499969482422
2018-12-27,50.69499969482422
2018-12-28,50.69499969482422
2018-12-31,50.69499969482422
2019-01-02,50.69499969482422
2019-01-03,50.69499969482422
2019-01-04,50.790000915527344
2019-01-07,50.790000915527344
2019-01-08,50.7599983215332
2019-01-09,50.81999969482422
2019-01-10,50.86000061035156
2019-01-11,50.91999816894531
2019-01-14,50.93000030517578
2019-01-15,51.0099983215332
2019-01-16,51.0099983215332
2019-01-17,51.0099983215332
2019-01-18,51.0099983215332
2019-01-22,51.02199935913086
2019-01-23,51.08000183105469
2019-01-24,51.2239990234375
2019-01-25,51.220001220703125
2019-01-28,51.209999084472656
2019-01-29,51.209999084472656
2019-01-30,51.36000061035156
2019-01-31,51.5099983215332
2019-02-01,51.380001068115234
2019-02-04,51.380001068115234
2019-02-05,51.38100051879883
2019-02-06,51.47999954223633
2019-02-07,51.45000076293945
2019-02-08,51.573001861572266
2019-02-11,51.540000915527344
2019-02-12,51.50899887084961
2019-02-13,51.50899887084961
2019-02-14,51.63999938964844
2019-02-15,51.6349983215332
2019-02-19,51.720001220703125
2019-02-20,51.720001220703125
2019-02-21,51.62300109863281
2019-02-22,51.7599983215332
2019-02-25,51.7400016784668
2019-02-26,51.7400016784668
2019-02-27,51.68899917602539
2019-02-28,51.58000183105469
2019-03-01,51.53900146484375
2019-03-04,51.53900146484375
2019-03-05,51.53900146484375
2019-03-06,51.7599983215332
2019-03-07,51.7599983215332
2019-03-08,51.939998626708984
2019-03-11,51.939998626708984
2019-03-12,51.939998626708984
2019-03-13,52.007999420166016
2019-03-14,51.96900177001953
2019-03-15,52.09000015258789
2019-03-18,52.07899856567383
2019-03-19,52.11000061035156
2019-03-20,52.12300109863281
