,BKEPP
2012-03-05,8.989999771118164
2012-03-06,8.210000038146973
2012-03-07,8.609999656677246
2012-03-08,8.600000381469727
2012-03-09,8.600000381469727
2012-03-12,9.0
2012-03-13,9.25
2012-03-14,8.850000381469727
2012-03-15,9.199999809265137
2012-03-16,9.0
2012-03-19,9.0
2012-03-20,9.0
2012-03-21,9.0
2012-03-22,8.649999618530273
2012-03-23,8.600000381469727
2012-03-26,8.430000305175781
2012-03-27,8.5
2012-03-28,8.449999809265137
2012-03-29,8.350000381469727
2012-03-30,8.369999885559082
2012-04-02,8.399999618530273
2012-04-03,8.399999618530273
2012-04-04,8.399999618530273
2012-04-05,8.699999809265137
2012-04-09,8.949999809265137
2012-04-10,8.949999809265137
2012-04-11,8.949999809265137
2012-04-12,8.949999809265137
2012-04-13,8.949999809265137
2012-04-16,8.949999809265137
2012-04-17,8.949999809265137
2012-04-18,8.90999984741211
2012-04-19,8.90999984741211
2012-04-20,8.899999618530273
2012-04-23,8.899999618530273
2012-04-24,8.649999618530273
2012-04-25,8.949999809265137
2012-04-26,8.949999809265137
2012-04-27,8.699999809265137
2012-04-30,8.699999809265137
2012-05-01,9.0
2012-05-02,9.199999809265137
2012-05-03,9.199999809265137
2012-05-04,8.899999618530273
2012-05-07,8.649999618530273
2012-05-08,8.649999618530273
2012-05-09,8.949999809265137
2012-05-10,8.949999809265137
2012-05-11,8.770000457763672
2012-05-14,8.770000457763672
2012-05-15,9.050000190734863
2012-05-16,8.899999618530273
2012-05-17,8.75
2012-05-18,8.75
2012-05-21,8.699999809265137
2012-05-22,8.699999809265137
2012-05-23,8.699999809265137
2012-05-24,8.649999618530273
2012-05-25,8.649999618530273
2012-05-29,8.6899995803833
2012-05-30,8.699999809265137
2012-05-31,8.5
2012-06-01,8.5
2012-06-04,8.399999618530273
2012-06-05,8.5
2012-06-06,8.319999694824219
2012-06-07,8.329999923706055
2012-06-08,8.329999923706055
2012-06-11,8.75
2012-06-12,8.539999961853027
2012-06-13,8.350000381469727
2012-06-14,8.319999694824219
2012-06-15,8.34000015258789
2012-06-18,8.329999923706055
2012-06-19,8.329999923706055
2012-06-20,8.600000381469727
2012-06-21,8.5
2012-06-22,8.319999694824219
2012-06-25,8.5
2012-06-26,8.5
2012-06-27,8.5
2012-06-28,8.850000381469727
2012-06-29,8.850000381469727
2012-07-02,8.850000381469727
2012-07-03,8.5
2012-07-05,8.399999618530273
2012-07-06,8.5
2012-07-09,8.5
2012-07-10,8.5
2012-07-11,8.479999542236328
2012-07-12,8.479999542236328
2012-07-13,8.800000190734863
2012-07-16,8.800000190734863
2012-07-17,8.600000381469727
2012-07-18,8.800000190734863
2012-07-19,8.819999694824219
2012-07-20,8.600000381469727
2012-07-23,8.84000015258789
2012-07-24,8.819999694824219
2012-07-25,8.720000267028809
2012-07-26,8.800000190734863
2012-07-27,8.800000190734863
2012-07-30,8.75
2012-07-31,8.899999618530273
2012-08-01,8.899999618530273
2012-08-02,8.90999984741211
2012-08-03,8.739999771118164
2012-08-06,8.75
2012-08-07,8.75
2012-08-08,8.720000267028809
2012-08-09,8.720000267028809
2012-08-10,8.75
2012-08-13,8.75
2012-08-14,8.720000267028809
2012-08-15,8.3100004196167
2012-08-16,8.75
2012-08-17,8.3100004196167
2012-08-20,8.350000381469727
2012-08-21,8.399999618530273
2012-08-22,8.5
2012-08-23,8.600000381469727
2012-08-24,8.600000381469727
2012-08-27,8.75
2012-08-28,8.75
2012-08-29,8.569999694824219
2012-08-30,8.600000381469727
2012-08-31,8.649999618530273
2012-09-04,8.649999618530273
2012-09-05,8.850000381469727
2012-09-06,8.800000190734863
2012-09-07,8.75
2012-09-10,8.699999809265137
2012-09-11,8.699999809265137
2012-09-12,8.600000381469727
2012-09-13,8.600000381469727
2012-09-14,8.600000381469727
2012-09-17,8.59000015258789
2012-09-18,8.59000015258789
2012-09-19,8.699999809265137
2012-09-20,8.699999809265137
2012-09-21,8.550000190734863
2012-09-24,8.550000190734863
2012-09-25,8.550000190734863
2012-09-26,8.649999618530273
2012-09-27,8.649999618530273
2012-09-28,8.699999809265137
2012-10-01,8.550000190734863
2012-10-02,8.550000190734863
2012-10-03,8.680000305175781
2012-10-04,8.739999771118164
2012-10-05,8.739999771118164
2012-10-08,8.550000190734863
2012-10-09,8.550000190734863
2012-10-10,8.75
2012-10-11,8.550000190734863
2012-10-12,8.5
2012-10-15,8.5
2012-10-16,8.600000381469727
2012-10-17,8.600000381469727
2012-10-18,8.550000190734863
2012-10-19,8.569999694824219
2012-10-22,8.550000190734863
2012-10-23,8.550000190734863
2012-10-24,8.649999618530273
2012-10-25,8.600000381469727
2012-10-26,8.649999618530273
2012-10-31,8.5
2012-11-01,8.600000381469727
2012-11-02,8.630000114440918
2012-11-05,8.520000457763672
2012-11-06,8.520000457763672
2012-11-07,8.520000457763672
2012-11-08,8.329999923706055
2012-11-09,8.630000114440918
2012-11-12,8.630000114440918
2012-11-13,8.550000190734863
2012-11-14,8.630000114440918
2012-11-15,8.649999618530273
2012-11-16,8.609999656677246
2012-11-19,8.510000228881836
2012-11-20,8.5
2012-11-21,8.300000190734863
2012-11-23,8.300000190734863
2012-11-26,8.3100004196167
2012-11-27,8.5
2012-11-28,8.380000114440918
2012-11-29,8.380000114440918
2012-11-30,8.380000114440918
2012-12-03,8.369999885559082
2012-12-04,8.350000381469727
2012-12-05,8.350000381469727
2012-12-06,8.350000381469727
2012-12-07,8.350000381469727
2012-12-10,8.3100004196167
2012-12-11,8.390000343322754
2012-12-12,8.390000343322754
2012-12-13,8.399999618530273
2012-12-14,8.470000267028809
2012-12-17,8.5
2012-12-18,8.550000190734863
2012-12-19,8.729999542236328
2012-12-20,8.75
2012-12-21,8.75
2012-12-24,8.510000228881836
2012-12-26,8.510000228881836
2012-12-27,8.510000228881836
2012-12-28,8.510000228881836
2012-12-31,8.600000381469727
2013-01-02,8.460000038146973
2013-01-03,8.649999618530273
2013-01-04,8.5
2013-01-07,8.5
2013-01-08,8.5
2013-01-09,8.59000015258789
2013-01-10,8.640000343322754
2013-01-11,8.520000457763672
2013-01-14,8.520000457763672
2013-01-15,8.600000381469727
2013-01-16,8.600000381469727
2013-01-17,8.649999618530273
2013-01-18,8.699999809265137
2013-01-22,8.649999618530273
2013-01-23,8.729999542236328
2013-01-24,8.649999618530273
2013-01-25,8.649999618530273
2013-01-28,8.850000381469727
2013-01-29,8.850000381469727
2013-01-30,8.850000381469727
2013-01-31,8.699999809265137
2013-02-01,8.800000190734863
2013-02-04,8.680000305175781
2013-02-05,8.729999542236328
2013-02-06,8.729999542236328
2013-02-07,8.850000381469727
2013-02-08,8.75
2013-02-11,8.789999961853027
2013-02-12,8.850000381469727
