,BPYPO
2019-08-21,25.229999542236328
2019-08-22,25.347000122070312
2019-08-23,25.246999740600586
2019-08-26,25.350000381469727
2019-08-27,25.290000915527344
2019-08-28,25.43000030517578
2019-08-29,25.510000228881836
2019-08-30,25.719999313354492
2019-09-03,25.649999618530273
2019-09-04,25.559999465942383
2019-09-05,25.450000762939453
2019-09-06,25.451000213623047
2019-09-09,25.489999771118164
2019-09-10,25.43000030517578
2019-09-11,25.40999984741211
2019-09-12,25.459999084472656
2019-09-13,25.332000732421875
2019-09-16,25.18000030517578
2019-09-17,25.260000228881836
2019-09-18,25.399999618530273
2019-09-19,25.399999618530273
2019-09-20,25.56999969482422
2019-09-23,25.586999893188477
2019-09-24,25.649999618530273
2019-09-25,25.67099952697754
2019-09-26,25.690000534057617
2019-09-27,25.81999969482422
2019-09-30,25.959999084472656
2019-10-01,25.959999084472656
2019-10-02,25.899999618530273
2019-10-03,25.93899917602539
2019-10-04,26.100000381469727
2019-10-07,26.100000381469727
2019-10-08,26.3799991607666
2019-10-09,26.530000686645508
2019-10-10,26.25
2019-10-11,26.190000534057617
2019-10-14,26.35700035095215
2019-10-15,26.329999923706055
2019-10-16,26.34600067138672
2019-10-17,26.5
2019-10-18,26.93000030517578
2019-10-21,26.82900047302246
2019-10-22,26.600000381469727
2019-10-23,26.979999542236328
2019-10-24,26.906999588012695
2019-10-25,27.058000564575195
2019-10-28,27.020000457763672
2019-10-29,27.030000686645508
2019-10-30,27.040000915527344
2019-10-31,27.43000030517578
2019-11-01,27.239999771118164
2019-11-04,27.1299991607666
2019-11-05,26.989999771118164
2019-11-06,26.850000381469727
2019-11-07,26.770000457763672
2019-11-08,26.739999771118164
2019-11-11,26.780000686645508
2019-11-12,26.56999969482422
2019-11-13,26.670000076293945
2019-11-14,26.729999542236328
2019-11-15,26.649999618530273
2019-11-18,26.700000762939453
2019-11-19,26.700000762939453
2019-11-20,26.510000228881836
2019-11-21,26.5
2019-11-22,26.6299991607666
2019-11-25,26.43000030517578
2019-11-26,26.3799991607666
2019-11-27,26.290000915527344
2019-11-29,25.350000381469727
2019-12-02,25.190000534057617
2019-12-03,25.299999237060547
2019-12-04,25.40999984741211
2019-12-05,25.389999389648438
2019-12-06,25.360000610351562
2019-12-09,25.450000762939453
2019-12-10,25.520000457763672
2019-12-11,25.610000610351562
2019-12-12,25.618999481201172
2019-12-13,25.739999771118164
2019-12-16,25.530000686645508
2019-12-17,25.645000457763672
2019-12-18,25.709999084472656
2019-12-19,25.790000915527344
2019-12-20,25.950000762939453
2019-12-23,26.110000610351562
2019-12-24,26.238000869750977
2019-12-26,26.200000762939453
2019-12-27,26.399999618530273
2019-12-30,26.25
2019-12-31,26.530000686645508
2020-01-02,26.25
2020-01-03,26.31999969482422
2020-01-06,26.299999237060547
2020-01-07,26.170000076293945
2020-01-08,26.290000915527344
2020-01-09,26.270000457763672
2020-01-10,26.299999237060547
2020-01-13,26.100000381469727
2020-01-14,26.100000381469727
2020-01-15,26.100000381469727
2020-01-16,26.100000381469727
2020-01-17,26.219999313354492
2020-01-21,26.229999542236328
2020-01-22,26.260000228881836
2020-01-23,26.270000457763672
2020-01-24,26.280000686645508
2020-01-27,26.229999542236328
2020-01-28,26.25
2020-01-29,26.260000228881836
2020-01-30,26.280000686645508
2020-01-31,26.559999465942383
2020-02-03,26.389999389648438
2020-02-04,26.3799991607666
2020-02-05,26.59000015258789
2020-02-06,26.760000228881836
2020-02-07,26.489999771118164
2020-02-10,26.440000534057617
2020-02-11,26.649999618530273
2020-02-12,26.6200008392334
2020-02-13,26.559999465942383
2020-02-14,26.43000030517578
2020-02-18,26.489999771118164
2020-02-19,26.34000015258789
2020-02-20,26.450000762939453
2020-02-21,26.309999465942383
2020-02-24,26.059999465942383
2020-02-25,25.756000518798828
2020-02-26,25.709999084472656
2020-02-27,25.299999237060547
2020-02-28,24.790000915527344
2020-03-02,24.961999893188477
2020-03-03,24.75
2020-03-04,25.510000228881836
2020-03-05,25.40999984741211
2020-03-06,25.010000228881836
2020-03-09,22.170000076293945
2020-03-10,23.049999237060547
2020-03-11,22.040000915527344
2020-03-12,17.950000762939453
2020-03-13,20.530000686645508
2020-03-16,16.25
2020-03-17,13.760000228881836
2020-03-18,9.350000381469727
2020-03-19,12.359999656677246
2020-03-20,12.25
2020-03-23,11.0
2020-03-24,13.930000305175781
2020-03-25,17.1299991607666
2020-03-26,17.989999771118164
2020-03-27,16.149999618530273
2020-03-30,16.260000228881836
2020-03-31,15.9399995803833
2020-04-01,15.25
2020-04-02,15.0
2020-04-03,14.869999885559082
2020-04-06,15.600000381469727
2020-04-07,17.510000228881836
2020-04-08,18.729999542236328
2020-04-09,20.34000015258789
2020-04-13,19.670000076293945
2020-04-14,20.40999984741211
2020-04-15,20.25
2020-04-16,19.923999786376953
2020-04-17,20.260000228881836
2020-04-20,20.25
2020-04-21,19.270000457763672
2020-04-22,19.899999618530273
2020-04-23,19.899999618530273
2020-04-24,19.899999618530273
2020-04-27,20.09000015258789
2020-04-28,20.200000762939453
2020-04-29,21.070999145507812
2020-04-30,21.469999313354492
2020-05-01,21.270000457763672
2020-05-04,21.299999237060547
2020-05-05,21.530000686645508
2020-05-06,20.549999237060547
2020-05-07,20.600000381469727
2020-05-08,21.239999771118164
2020-05-11,21.510000228881836
2020-05-12,20.885000228881836
2020-05-13,19.799999237060547
2020-05-14,19.40999984741211
2020-05-15,19.549999237060547
2020-05-18,20.03499984741211
2020-05-19,19.969999313354492
2020-05-20,19.75
2020-05-21,19.475000381469727
2020-05-22,19.5
2020-05-26,19.75
2020-05-27,20.299999237060547
2020-05-28,20.600000381469727
2020-05-29,20.0
2020-06-01,20.25
2020-06-02,20.100000381469727
2020-06-03,20.0
2020-06-04,20.584999084472656
2020-06-05,21.600000381469727
2020-06-08,22.100000381469727
2020-06-09,21.540000915527344
2020-06-10,21.299999237060547
2020-06-11,19.84000015258789
2020-06-12,19.670000076293945
2020-06-15,19.700000762939453
2020-06-16,20.059999465942383
2020-06-17,19.6200008392334
2020-06-18,19.729999542236328
2020-06-19,19.690000534057617
2020-06-22,19.350000381469727
2020-06-23,19.56999969482422
2020-06-24,19.100000381469727
2020-06-25,19.1299991607666
2020-06-26,18.2549991607666
2020-06-29,18.100000381469727
2020-06-30,18.1299991607666
2020-07-01,18.75
2020-07-02,19.100000381469727
2020-07-06,19.110000610351562
2020-07-07,18.80500030517578
2020-07-08,18.739999771118164
2020-07-09,18.75
2020-07-10,19.07699966430664
2020-07-13,18.820999145507812
2020-07-14,18.81800079345703
2020-07-15,19.049999237060547
