,FLTR
2011-04-26,24.899999618530273
2011-04-27,24.889999389648438
2011-04-28,24.899999618530273
2011-04-29,24.899999618530273
2011-05-02,24.860000610351562
2011-05-03,24.90999984741211
2011-05-04,24.920000076293945
2011-05-05,24.920000076293945
2011-05-06,24.90999984741211
2011-05-09,24.920000076293945
2011-05-10,24.920000076293945
2011-05-11,24.920000076293945
2011-05-12,24.989999771118164
2011-05-13,24.920000076293945
2011-05-16,24.920000076293945
2011-05-17,24.920000076293945
2011-05-18,24.920000076293945
2011-05-19,24.90999984741211
2011-05-20,24.899999618530273
2011-05-23,24.959999084472656
2011-05-24,24.959999084472656
2011-05-25,24.989999771118164
2011-05-26,24.940000534057617
2011-05-27,24.90999984741211
2011-05-31,24.950000762939453
2011-06-01,24.959999084472656
2011-06-02,24.950000762939453
2011-06-03,24.969999313354492
2011-06-06,24.899999618530273
2011-06-07,24.889999389648438
2011-06-08,24.889999389648438
2011-06-09,24.8700008392334
2011-06-10,24.84000015258789
2011-06-13,24.8799991607666
2011-06-14,24.860000610351562
2011-06-15,24.829999923706055
2011-06-16,24.780000686645508
2011-06-17,24.780000686645508
2011-06-20,24.760000228881836
2011-06-21,24.780000686645508
2011-06-22,24.770000457763672
2011-06-23,24.709999084472656
2011-06-24,24.729999542236328
2011-06-27,24.68000030517578
2011-06-28,24.700000762939453
2011-06-29,24.68000030517578
2011-06-30,24.75
2011-07-01,24.690000534057617
2011-07-05,24.700000762939453
2011-07-06,24.68000030517578
2011-07-07,24.709999084472656
2011-07-08,24.700000762939453
2011-07-11,24.709999084472656
2011-07-12,24.700000762939453
2011-07-13,24.690000534057617
2011-07-14,24.65999984741211
2011-07-15,24.700000762939453
2011-07-18,24.65999984741211
2011-07-19,24.68000030517578
2011-07-20,24.68000030517578
2011-07-21,24.649999618530273
2011-07-22,24.639999389648438
2011-07-25,24.639999389648438
2011-07-26,24.670000076293945
2011-07-27,24.65999984741211
2011-07-28,24.65999984741211
2011-07-29,24.559999465942383
2011-08-01,24.649999618530273
2011-08-02,24.65999984741211
2011-08-03,24.690000534057617
2011-08-04,24.5
2011-08-05,24.649999618530273
2011-08-08,24.59000015258789
2011-08-09,24.549999237060547
2011-08-10,24.530000686645508
2011-08-11,24.450000762939453
2011-08-12,24.5
2011-08-15,24.510000228881836
2011-08-16,24.59000015258789
2011-08-17,24.489999771118164
2011-08-18,24.239999771118164
2011-08-19,24.200000762939453
2011-08-22,24.56999969482422
2011-08-23,24.329999923706055
2011-08-24,24.280000686645508
2011-08-25,24.299999237060547
2011-08-26,24.1299991607666
2011-08-29,24.149999618530273
2011-08-30,24.030000686645508
2011-08-31,24.030000686645508
2011-09-01,24.1299991607666
2011-09-02,24.1299991607666
2011-09-06,24.049999237060547
2011-09-07,24.049999237060547
2011-09-08,24.15999984741211
2011-09-09,24.200000762939453
2011-09-12,24.139999389648438
2011-09-13,24.149999618530273
2011-09-14,24.149999618530273
2011-09-15,24.15999984741211
2011-09-16,24.219999313354492
2011-09-19,24.200000762939453
2011-09-20,24.100000381469727
2011-09-21,24.09000015258789
2011-09-22,24.059999465942383
2011-09-23,24.09000015258789
2011-09-26,24.030000686645508
2011-09-27,24.0
2011-09-28,23.950000762939453
2011-09-29,23.68000030517578
2011-09-30,23.6299991607666
2011-10-03,23.610000610351562
2011-10-04,23.56999969482422
2011-10-05,23.600000381469727
2011-10-06,23.540000915527344
2011-10-07,23.549999237060547
2011-10-10,23.549999237060547
2011-10-11,23.530000686645508
2011-10-12,23.59000015258789
2011-10-13,23.6200008392334
2011-10-14,23.510000228881836
2011-10-17,23.700000762939453
2011-10-18,23.510000228881836
2011-10-19,23.600000381469727
2011-10-20,23.559999465942383
2011-10-21,23.639999389648438
2011-10-24,23.5
2011-10-25,23.520000457763672
2011-10-26,23.520000457763672
2011-10-27,23.520000457763672
2011-10-28,23.610000610351562
2011-10-31,23.540000915527344
2011-11-01,23.540000915527344
2011-11-02,23.540000915527344
2011-11-03,23.6200008392334
2011-11-04,23.6200008392334
2011-11-07,23.549999237060547
2011-11-08,23.719999313354492
2011-11-09,23.700000762939453
2011-11-10,23.639999389648438
2011-11-11,23.579999923706055
2011-11-14,23.68000030517578
2011-11-15,23.68000030517578
2011-11-16,23.649999618530273
2011-11-17,23.6299991607666
2011-11-18,23.639999389648438
2011-11-21,23.559999465942383
2011-11-22,23.530000686645508
2011-11-23,23.440000534057617
2011-11-25,23.3799991607666
2011-11-28,23.25
2011-11-29,23.280000686645508
2011-11-30,23.280000686645508
2011-12-01,23.280000686645508
2011-12-02,23.18000030517578
2011-12-05,23.18000030517578
2011-12-06,23.450000762939453
2011-12-07,23.3700008392334
2011-12-08,23.25
2011-12-09,23.329999923706055
2011-12-12,23.299999237060547
2011-12-13,23.299999237060547
2011-12-14,23.06999969482422
2011-12-15,23.049999237060547
2011-12-16,23.049999237060547
2011-12-19,23.079999923706055
2011-12-20,23.200000762939453
2011-12-21,23.059999465942383
2011-12-22,23.200000762939453
2011-12-23,23.25
2011-12-27,23.299999237060547
2011-12-28,23.170000076293945
2011-12-29,23.100000381469727
2011-12-30,23.0
2012-01-03,22.959999084472656
2012-01-04,23.170000076293945
2012-01-05,23.139999389648438
2012-01-06,23.1200008392334
2012-01-09,22.90999984741211
2012-01-10,22.93000030517578
2012-01-11,23.09000015258789
2012-01-12,23.18000030517578
2012-01-13,23.209999084472656
2012-01-17,23.209999084472656
2012-01-18,23.209999084472656
2012-01-19,23.309999465942383
2012-01-20,23.43000030517578
2012-01-23,23.34000015258789
2012-01-24,23.43000030517578
2012-01-25,23.1200008392334
2012-01-26,23.440000534057617
2012-01-27,23.0
2012-01-30,23.440000534057617
2012-01-31,23.3700008392334
2012-02-01,23.3700008392334
2012-02-02,23.350000381469727
2012-02-03,23.399999618530273
2012-02-06,23.399999618530273
2012-02-07,23.3799991607666
2012-02-08,23.43000030517578
2012-02-09,23.440000534057617
2012-02-10,23.420000076293945
2012-02-13,23.399999618530273
2012-02-14,23.459999084472656
2012-02-15,23.399999618530273
2012-02-16,23.6299991607666
2012-02-17,23.59000015258789
2012-02-21,23.530000686645508
2012-02-22,23.530000686645508
2012-02-23,23.530000686645508
2012-02-24,23.56999969482422
2012-02-27,23.690000534057617
2012-02-28,23.84000015258789
2012-02-29,23.770000457763672
2012-03-01,23.780000686645508
2012-03-02,23.780000686645508
2012-03-05,23.829999923706055
2012-03-06,23.770000457763672
