,BHFAL
2018-09-14,25.0
2018-09-17,25.0
2018-09-18,24.93000030517578
2018-09-19,24.799999237060547
2018-09-20,24.850000381469727
2018-09-21,25.040000915527344
2018-09-24,25.010000228881836
2018-09-25,25.049999237060547
2018-09-26,25.06999969482422
2018-09-27,25.079999923706055
2018-09-28,25.139999389648438
2018-10-01,24.950000762939453
2018-10-02,25.030000686645508
2018-10-03,24.889999389648438
2018-10-04,24.5
2018-10-05,24.399999618530273
2018-10-08,24.280000686645508
2018-10-09,23.969999313354492
2018-10-10,24.15999984741211
2018-10-11,24.540000915527344
2018-10-12,24.600000381469727
2018-10-15,24.3700008392334
2018-10-16,24.510000228881836
2018-10-17,24.5
2018-10-18,24.59000015258789
2018-10-19,24.59000015258789
2018-10-22,24.420000076293945
2018-10-23,24.649999618530273
2018-10-24,24.700000762939453
2018-10-25,24.75
2018-10-26,24.5
2018-10-29,24.709999084472656
2018-10-30,24.829999923706055
2018-10-31,24.68000030517578
2018-11-01,24.850000381469727
2018-11-02,24.520000457763672
2018-11-05,24.59000015258789
2018-11-06,24.979999542236328
2018-11-07,24.68000030517578
2018-11-08,24.829999923706055
2018-11-09,24.8799991607666
2018-11-12,24.899999618530273
2018-11-13,24.809999465942383
2018-11-14,24.760000228881836
2018-11-15,24.56999969482422
2018-11-16,24.43000030517578
2018-11-19,24.260000228881836
2018-11-20,24.489999771118164
2018-11-21,24.420000076293945
2018-11-23,24.399999618530273
2018-11-26,24.399999618530273
2018-11-27,24.079999923706055
2018-11-28,24.219999313354492
2018-11-29,24.079999923706055
2018-11-30,23.5
2018-12-03,23.149999618530273
2018-12-04,22.809999465942383
2018-12-06,22.399999618530273
2018-12-07,22.010000228881836
2018-12-10,22.079999923706055
2018-12-11,22.100000381469727
2018-12-12,22.450000762939453
2018-12-13,22.100000381469727
2018-12-14,22.5
2018-12-17,22.15999984741211
2018-12-18,22.100000381469727
2018-12-19,22.5
2018-12-20,22.190000534057617
2018-12-21,22.020000457763672
2018-12-24,21.0
2018-12-26,20.639999389648438
2018-12-27,20.270000457763672
2018-12-28,20.899999618530273
2018-12-31,21.219999313354492
2019-01-02,22.739999771118164
2019-01-03,23.530000686645508
2019-01-04,23.420000076293945
2019-01-07,23.239999771118164
2019-01-08,24.200000762939453
2019-01-09,24.600000381469727
2019-01-10,24.190000534057617
2019-01-11,24.200000762939453
2019-01-14,24.1200008392334
2019-01-15,23.940000534057617
2019-01-16,23.829999923706055
2019-01-17,24.3700008392334
2019-01-18,24.59000015258789
2019-01-22,24.0
2019-01-23,24.280000686645508
2019-01-24,24.600000381469727
2019-01-25,24.649999618530273
2019-01-28,24.799999237060547
2019-01-29,24.90999984741211
2019-01-30,24.850000381469727
2019-01-31,25.049999237060547
2019-02-01,24.6299991607666
2019-02-04,24.56999969482422
2019-02-05,24.579999923706055
2019-02-06,24.600000381469727
2019-02-07,24.5
2019-02-08,24.559999465942383
2019-02-11,24.459999084472656
2019-02-12,24.440000534057617
2019-02-13,24.559999465942383
2019-02-14,24.600000381469727
2019-02-15,24.920000076293945
2019-02-19,24.81999969482422
2019-02-20,24.709999084472656
2019-02-21,24.81999969482422
2019-02-22,24.829999923706055
2019-02-25,24.989999771118164
2019-02-26,25.06999969482422
2019-02-27,25.09000015258789
2019-02-28,24.8799991607666
2019-03-01,24.899999618530273
2019-03-04,25.0
2019-03-05,25.09000015258789
2019-03-06,24.979999542236328
2019-03-07,24.799999237060547
2019-03-08,24.90999984741211
2019-03-11,24.739999771118164
2019-03-12,24.600000381469727
2019-03-13,24.600000381469727
2019-03-14,24.56999969482422
2019-03-15,24.549999237060547
2019-03-18,24.40999984741211
2019-03-19,24.459999084472656
2019-03-20,24.84000015258789
2019-03-21,24.889999389648438
2019-03-22,24.81999969482422
2019-03-25,24.979999542236328
2019-03-26,25.049999237060547
2019-03-27,25.09000015258789
2019-03-28,25.139999389648438
2019-03-29,25.139999389648438
2019-04-01,25.190000534057617
2019-04-02,25.200000762939453
2019-04-03,25.190000534057617
2019-04-04,25.200000762939453
2019-04-05,25.229999542236328
2019-04-08,25.25
2019-04-09,25.1299991607666
2019-04-10,25.149999618530273
2019-04-11,25.229999542236328
2019-04-12,25.229999542236328
2019-04-15,25.350000381469727
2019-04-16,25.440000534057617
2019-04-17,25.530000686645508
2019-04-18,25.610000610351562
2019-04-22,25.65999984741211
2019-04-23,25.6299991607666
2019-04-24,25.719999313354492
2019-04-25,25.690000534057617
2019-04-26,25.75
2019-04-29,25.860000610351562
2019-04-30,25.65999984741211
2019-05-01,25.649999618530273
2019-05-02,25.670000076293945
2019-05-03,25.510000228881836
2019-05-06,25.579999923706055
2019-05-07,25.6200008392334
2019-05-08,25.649999618530273
2019-05-09,25.719999313354492
2019-05-10,25.780000686645508
2019-05-13,25.600000381469727
2019-05-14,25.610000610351562
2019-05-15,25.790000915527344
2019-05-16,25.84000015258789
2019-05-17,25.829999923706055
2019-05-20,25.56999969482422
2019-05-21,25.610000610351562
2019-05-22,25.719999313354492
2019-05-23,25.729999542236328
2019-05-24,25.84000015258789
2019-05-28,25.920000076293945
2019-05-29,26.110000610351562
2019-05-30,25.850000381469727
2019-05-31,25.549999237060547
2019-06-03,25.6299991607666
2019-06-04,25.84000015258789
2019-06-05,25.719999313354492
2019-06-06,25.670000076293945
2019-06-07,25.790000915527344
2019-06-10,25.969999313354492
2019-06-11,26.0
2019-06-12,26.09000015258789
2019-06-13,26.149999618530273
2019-06-14,26.200000762939453
2019-06-17,26.270000457763672
2019-06-18,26.219999313354492
2019-06-19,26.25
2019-06-20,26.25
2019-06-21,26.170000076293945
2019-06-24,26.079999923706055
2019-06-25,25.420000076293945
2019-06-26,25.540000915527344
2019-06-27,25.729999542236328
2019-06-28,25.969999313354492
2019-07-01,25.709999084472656
2019-07-02,25.690000534057617
2019-07-03,25.850000381469727
2019-07-05,25.940000534057617
2019-07-08,25.940000534057617
2019-07-09,25.989999771118164
2019-07-10,25.899999618530273
2019-07-11,26.06999969482422
2019-07-12,26.1299991607666
2019-07-15,26.170000076293945
2019-07-16,26.270000457763672
2019-07-17,26.5
2019-07-18,26.549999237060547
2019-07-19,26.639999389648438
2019-07-22,26.649999618530273
2019-07-23,26.610000610351562
2019-07-24,26.889999389648438
2019-07-25,26.760000228881836
2019-07-26,26.790000915527344
2019-07-29,26.93000030517578
2019-07-30,27.260000228881836
2019-07-31,27.399999618530273
2019-08-01,27.100000381469727
2019-08-02,27.270000457763672
2019-08-05,26.770000457763672
2019-08-06,26.940000534057617
2019-08-07,26.860000610351562
2019-08-08,26.799999237060547
2019-08-09,26.84000015258789
2019-08-12,26.780000686645508
2019-08-13,26.760000228881836
2019-08-14,26.84000015258789
2019-08-15,27.139999389648438
2019-08-16,27.139999389648438
2019-08-19,27.239999771118164
2019-08-20,27.170000076293945
2019-08-21,27.229999542236328
2019-08-22,27.350000381469727
2019-08-23,27.299999237060547
2019-08-26,27.34000015258789
2019-08-27,27.25
2019-08-28,27.329999923706055
2019-08-29,27.190000534057617
2019-08-30,27.290000915527344
2019-09-03,27.290000915527344
2019-09-04,27.1299991607666
2019-09-05,26.760000228881836
2019-09-06,26.5
2019-09-09,26.670000076293945
2019-09-10,26.489999771118164
2019-09-11,26.459999084472656
2019-09-12,26.329999923706055
2019-09-13,26.06999969482422
2019-09-16,26.200000762939453
2019-09-17,26.489999771118164
2019-09-18,26.690000534057617
2019-09-19,26.860000610351562
2019-09-20,26.920000076293945
2019-09-23,27.290000915527344
2019-09-24,27.110000610351562
2019-09-25,27.15999984741211
2019-09-26,26.90999984741211
2019-09-27,27.469999313354492
2019-09-30,27.700000762939453
2019-10-01,27.329999923706055
2019-10-02,27.139999389648438
2019-10-03,27.030000686645508
2019-10-04,26.989999771118164
2019-10-07,26.739999771118164
2019-10-08,26.809999465942383
2019-10-09,27.200000762939453
2019-10-10,27.049999237060547
2019-10-11,27.020000457763672
2019-10-14,27.3799991607666
2019-10-15,27.34000015258789
2019-10-16,27.299999237060547
2019-10-17,27.40999984741211
2019-10-18,27.229999542236328
2019-10-21,27.100000381469727
2019-10-22,26.940000534057617
2019-10-23,26.989999771118164
2019-10-24,27.059999465942383
2019-10-25,26.889999389648438
2019-10-28,26.899999618530273
2019-10-29,26.690000534057617
2019-10-30,26.6200008392334
2019-10-31,26.8700008392334
2019-11-01,26.950000762939453
2019-11-04,27.0
2019-11-05,26.8799991607666
2019-11-06,26.760000228881836
2019-11-07,26.739999771118164
2019-11-08,26.790000915527344
2019-11-11,26.559999465942383
2019-11-12,26.6299991607666
