,APTX
2018-06-21,20.200000762939453
2018-06-22,20.0
2018-06-25,19.829999923706055
2018-06-26,20.0
2018-06-27,22.239999771118164
2018-06-28,23.40999984741211
2018-06-29,24.170000076293945
2018-07-02,24.0
2018-07-03,25.020000457763672
2018-07-05,24.360000610351562
2018-07-06,23.5
2018-07-09,24.06999969482422
2018-07-10,23.8799991607666
2018-07-11,22.270000457763672
2018-07-12,20.93000030517578
2018-07-13,21.06999969482422
2018-07-16,21.010000228881836
2018-07-17,20.43000030517578
2018-07-18,20.780000686645508
2018-07-19,20.350000381469727
2018-07-20,20.209999084472656
2018-07-23,21.18000030517578
2018-07-24,21.68000030517578
2018-07-25,21.510000228881836
2018-07-26,22.100000381469727
2018-07-27,22.5
2018-07-30,22.0
2018-07-31,21.920000076293945
2018-08-01,22.350000381469727
2018-08-02,22.049999237060547
2018-08-03,22.049999237060547
2018-08-06,22.18000030517578
2018-08-07,21.989999771118164
2018-08-08,22.3799991607666
2018-08-09,22.079999923706055
2018-08-10,21.950000762939453
2018-08-13,22.5
2018-08-14,22.1299991607666
2018-08-15,22.950000762939453
2018-08-16,23.639999389648438
2018-08-17,22.809999465942383
2018-08-20,23.15999984741211
2018-08-21,23.200000762939453
2018-08-22,23.299999237060547
2018-08-23,23.290000915527344
2018-08-24,23.34000015258789
2018-08-27,23.149999618530273
2018-08-28,23.200000762939453
2018-08-29,23.209999084472656
2018-08-30,23.719999313354492
2018-08-31,23.979999542236328
2018-09-04,25.610000610351562
2018-09-05,29.290000915527344
2018-09-06,27.700000762939453
2018-09-07,28.0
2018-09-10,31.850000381469727
2018-09-11,29.940000534057617
2018-09-12,30.149999618530273
2018-09-13,30.079999923706055
2018-09-14,30.030000686645508
2018-09-17,28.110000610351562
2018-09-18,28.780000686645508
2018-09-19,27.709999084472656
2018-09-20,27.43000030517578
2018-09-21,26.690000534057617
2018-09-24,26.389999389648438
2018-09-25,28.459999084472656
2018-09-26,28.190000534057617
2018-09-27,28.709999084472656
2018-09-28,28.959999084472656
2018-10-01,28.709999084472656
2018-10-02,28.8799991607666
2018-10-03,28.93000030517578
2018-10-04,27.989999771118164
2018-10-05,27.1299991607666
2018-10-08,26.329999923706055
2018-10-09,27.389999389648438
2018-10-10,27.809999465942383
2018-10-11,25.389999389648438
2018-10-12,26.360000610351562
2018-10-15,25.760000228881836
2018-10-16,26.690000534057617
2018-10-17,27.1200008392334
2018-10-18,26.350000381469727
2018-10-19,26.09000015258789
2018-10-22,26.1299991607666
2018-10-23,26.329999923706055
2018-10-24,25.59000015258789
2018-10-25,26.450000762939453
2018-10-26,25.93000030517578
2018-10-29,24.760000228881836
2018-10-30,25.719999313354492
2018-10-31,26.040000915527344
2018-11-01,26.459999084472656
2018-11-02,26.170000076293945
2018-11-05,25.8700008392334
2018-11-06,25.610000610351562
2018-11-07,25.770000457763672
2018-11-08,26.600000381469727
2018-11-09,25.8799991607666
2018-11-12,25.559999465942383
2018-11-13,25.510000228881836
2018-11-14,24.8700008392334
2018-11-15,22.510000228881836
2018-11-16,23.389999389648438
2018-11-19,22.59000015258789
2018-11-20,22.40999984741211
2018-11-21,22.799999237060547
2018-11-23,22.979999542236328
