,PHP
2015-08-12,18300.0
2015-08-13,17500.0
2015-08-14,18100.0
2015-08-17,17700.0
2015-08-18,17200.0
2015-08-19,16000.0
2015-08-20,16900.0
2015-08-21,16000.0
2015-08-24,15500.0
2015-08-25,15700.0
2015-08-26,15700.0
2015-08-27,16500.0
2015-08-28,16000.0
2015-08-31,15600.0
2015-09-01,15600.0
2015-09-02,15600.0
2015-09-03,15100.0
2015-09-04,15200.0
2015-09-08,16000.0
2015-09-09,16200.0
2015-09-10,16000.0
2015-09-11,16000.0
2015-09-14,16000.0
2015-09-15,15800.0
2015-09-16,15900.0
2015-09-17,16500.0
2015-09-18,16200.0
2015-09-21,15900.0
2015-09-22,17300.0
2015-09-23,17000.0
2015-09-24,18600.0
2015-09-25,20400.0
2015-09-28,22400.0
2015-09-29,23200.0
2015-09-30,23800.0
2015-10-01,21500.0
2015-10-02,20800.0
2015-10-05,18900.0
2015-10-06,20700.0
2015-10-07,20700.0
2015-10-08,20500.0
2015-10-09,20200.0
2015-10-12,20100.0
2015-10-13,20100.0
2015-10-14,20500.0
2015-10-15,20700.0
2015-10-16,20800.0
2015-10-19,21500.0
2015-10-20,22900.0
2015-10-21,22100.0
2015-10-22,22000.0
2015-10-23,21700.0
2015-10-26,22800.0
2015-10-27,23600.0
2015-10-28,24000.0
2015-10-29,24700.0
2015-10-30,24600.0
2015-11-02,23800.0
2015-11-03,23800.0
2015-11-04,23000.0
2015-11-05,23500.0
2015-11-06,23400.0
2015-11-09,23000.0
2015-11-10,22400.0
2015-11-11,22800.0
2015-11-12,22900.0
2015-11-13,23800.0
2015-11-16,23000.0
2015-11-17,23000.0
2015-11-18,23000.0
2015-11-19,23000.0
2015-11-20,23000.0
2015-11-23,22900.0
2015-11-24,22800.0
2015-11-25,22800.0
2015-11-27,22500.0
2015-11-30,22500.0
2015-12-01,22000.0
2015-12-02,22200.0
2015-12-03,22400.0
2015-12-04,22200.0
2015-12-07,22000.0
2015-12-08,22600.0
2015-12-09,22600.0
2015-12-10,22000.0
2015-12-11,21700.0
2015-12-14,22000.0
2015-12-15,21500.0
2015-12-16,22000.0
2015-12-17,22000.0
2015-12-18,21600.0
2015-12-21,21400.0
2015-12-22,21100.0
2015-12-23,20700.0
2015-12-24,21400.0
2015-12-28,21100.0
2015-12-29,21200.0
2015-12-30,21600.0
2015-12-31,21100.0
2016-01-04,20600.0
2016-01-05,20600.0
2016-01-06,21000.0
2016-01-07,20500.0
2016-01-08,21100.0
2016-01-11,20600.0
2016-01-12,21000.0
2016-01-13,21000.0
2016-01-14,21000.0
2016-01-15,21000.0
2016-01-19,21000.0
2016-01-20,21000.0
2016-01-21,20900.0
2016-01-22,21300.0
2016-01-25,22900.0
2016-01-26,22500.0
2016-01-27,22500.0
2016-01-28,22500.0
2016-01-29,23000.0
2016-02-01,23000.0
2016-02-02,22700.0
2016-02-03,22800.0
2016-02-04,22600.0
2016-02-05,23000.0
2016-02-08,23000.0
2016-02-09,23000.0
2016-02-10,23000.0
2016-02-11,23000.0
2016-02-12,23000.0
2016-02-16,23900.0
2016-02-17,23800.0
2016-02-18,23900.0
2016-02-19,23900.0
2016-02-22,23900.0
2016-02-23,23900.0
2016-02-24,23200.0
2016-02-25,22700.0
2016-02-26,22700.0
2016-02-29,22300.0
2016-03-01,22300.0
2016-03-02,22900.0
2016-03-03,22700.0
2016-03-04,23000.0
2016-03-07,22700.0
2016-03-08,23000.0
2016-03-09,23400.0
2016-03-10,23200.0
2016-03-11,23100.0
2016-03-14,22800.0
2016-03-15,23000.0
2016-03-16,22900.0
2016-03-17,23000.0
2016-03-18,23000.0
2016-03-21,23000.0
2016-03-22,22900.0
2016-03-23,23000.0
2016-03-24,23200.0
2016-03-28,23000.0
2016-03-29,22900.0
2016-03-30,22700.0
2016-03-31,22600.0
2016-04-01,23200.0
2016-04-04,22900.0
2016-04-05,22800.0
2016-04-06,22900.0
2016-04-07,22900.0
2016-04-08,22800.0
2016-04-11,22800.0
2016-04-12,22800.0
2016-04-13,22600.0
2016-04-14,22600.0
2016-04-15,22600.0
2016-04-18,22600.0
2016-04-19,22600.0
2016-04-20,22400.0
2016-04-21,22300.0
2016-04-22,22200.0
2016-04-25,
2016-04-26,21700.0
2016-04-27,21700.0
2016-04-28,21700.0
2016-04-29,21700.0
2016-05-02,21700.0
2016-05-03,21700.0
2016-05-04,21700.0
2016-05-05,21000.0
2016-05-06,21200.0
2016-05-09,20700.0
2016-05-10,20700.0
2016-05-11,20700.0
2016-05-12,20900.0
2016-05-13,20700.0
2016-05-16,20700.0
2016-05-17,20700.0
2016-05-18,20700.0
2016-05-19,20600.0
2016-05-20,20600.0
2016-05-23,20600.0
2016-05-24,20600.0
2016-05-25,20400.0
2016-05-26,20500.0
2016-05-27,20400.0
2016-05-31,20100.0
2016-06-01,20200.0
2016-06-02,20600.0
2016-06-03,20300.0
2016-06-06,20000.0
2016-06-07,20000.0
2016-06-08,20000.0
2016-06-09,20000.0
2016-06-10,21000.0
2016-06-13,21500.0
2016-06-14,22000.0
2016-06-15,21000.0
2016-06-16,21100.0
2016-06-17,21600.0
2016-06-20,21000.0
2016-06-21,21000.0
2016-06-22,20900.0
2016-06-23,20800.0
2016-06-24,20900.0
2016-06-27,20100.0
2016-06-28,20300.0
2016-06-29,20300.0
2016-06-30,20000.0
2016-07-01,20200.0
2016-07-05,20200.0
2016-07-06,20400.0
2016-07-07,22400.0
2016-07-08,22600.0
2016-07-11,22600.0
2016-07-12,21900.0
2016-07-13,22000.0
2016-07-14,22000.0
2016-07-15,21800.0
2016-07-18,21900.0
2016-07-19,21000.0
2016-07-20,20800.0
2016-07-21,21000.0
2016-07-22,20500.0
2016-07-25,20300.0
2016-07-26,20300.0
2016-07-27,20500.0
2016-07-28,21000.0
2016-07-29,21000.0
2016-08-01,20800.0
2016-08-02,20700.0
2016-08-03,20600.0
2016-08-04,20600.0
2016-08-05,20500.0
2016-08-08,20600.0
2016-08-09,20600.0
2016-08-10,20600.0
2016-08-11,20600.0
2016-08-12,20500.0
2016-08-15,20300.0
2016-08-16,20300.0
2016-08-17,20500.0
2016-08-18,20400.0
2016-08-19,20400.0
2016-08-22,20400.0
2016-08-23,20400.0
2016-08-24,20300.0
2016-08-25,20500.0
2016-08-26,20400.0
2016-08-29,20300.0
2016-08-30,20200.0
2016-08-31,20200.0
2016-09-01,20200.0
2016-09-02,20200.0
2016-09-06,20000.0
2016-09-07,19500.0
2016-09-08,19800.0
2016-09-09,19800.0
2016-09-12,19500.0
2016-09-13,19800.0
2016-09-14,19700.0
2016-09-15,19300.0
2016-09-16,19300.0
2016-09-19,19100.0
2016-09-20,19200.0
2016-09-21,19000.0
2016-09-22,18500.0
2016-09-23,18600.0
2016-09-26,18700.0
2016-09-27,18900.0
2016-09-28,19000.0
2016-09-29,19000.0
2016-09-30,18700.0
2016-10-03,18500.0
2016-10-04,18400.0
2016-10-05,18200.0
2016-10-06,18100.0
