,AVGO
2009-08-06,16.18000030517578
2009-08-07,16.43000030517578
2009-08-10,15.970000267028809
2009-08-11,15.670000076293945
2009-08-12,16.0
2009-08-13,16.549999237060547
2009-08-14,16.600000381469727
2009-08-17,16.219999313354492
2009-08-18,17.06999969482422
2009-08-19,17.889999389648438
2009-08-20,17.760000228881836
2009-08-21,17.81999969482422
2009-08-24,17.5
2009-08-25,17.850000381469727
2009-08-26,17.850000381469727
2009-08-27,18.15999984741211
2009-08-28,18.469999313354492
2009-08-31,18.200000762939453
2009-09-01,17.850000381469727
2009-09-02,17.68000030517578
2009-09-03,17.450000762939453
2009-09-04,17.760000228881836
2009-09-08,17.700000762939453
2009-09-09,17.260000228881836
2009-09-10,17.049999237060547
2009-09-11,16.8799991607666
2009-09-14,16.649999618530273
2009-09-15,17.18000030517578
2009-09-16,17.579999923706055
2009-09-17,16.639999389648438
2009-09-18,16.200000762939453
2009-09-21,16.610000610351562
2009-09-22,17.25
2009-09-23,17.399999618530273
2009-09-24,17.489999771118164
2009-09-25,17.1299991607666
2009-09-28,17.649999618530273
2009-09-29,17.030000686645508
2009-09-30,17.06999969482422
2009-10-01,16.309999465942383
2009-10-02,16.09000015258789
2009-10-05,16.489999771118164
2009-10-06,16.469999313354492
2009-10-07,16.1299991607666
2009-10-08,16.010000228881836
2009-10-09,16.25
2009-10-12,16.34000015258789
2009-10-13,16.530000686645508
2009-10-14,16.860000610351562
2009-10-15,17.15999984741211
2009-10-16,16.43000030517578
2009-10-19,16.239999771118164
2009-10-20,16.530000686645508
2009-10-21,16.489999771118164
2009-10-22,16.280000686645508
2009-10-23,16.049999237060547
2009-10-26,15.84000015258789
2009-10-27,15.449999809265137
2009-10-28,14.930000305175781
2009-10-29,15.039999961853027
2009-10-30,15.0
2009-11-02,14.869999885559082
2009-11-03,14.489999771118164
2009-11-04,14.779999732971191
2009-11-05,15.319999694824219
2009-11-06,15.289999961853027
2009-11-09,15.65999984741211
2009-11-10,15.449999809265137
2009-11-11,15.359999656677246
2009-11-12,15.600000381469727
2009-11-13,15.579999923706055
2009-11-16,16.010000228881836
2009-11-17,16.06999969482422
2009-11-18,16.030000686645508
2009-11-19,15.569999694824219
2009-11-20,15.4399995803833
2009-11-23,15.1899995803833
2009-11-24,15.260000228881836
2009-11-25,15.5
2009-11-27,15.859999656677246
2009-11-30,15.859999656677246
2009-12-01,15.960000038146973
2009-12-02,15.609999656677246
2009-12-03,15.930000305175781
2009-12-04,16.520000457763672
2009-12-07,16.8700008392334
2009-12-08,16.75
2009-12-09,16.809999465942383
2009-12-10,16.770000457763672
2009-12-11,16.579999923706055
2009-12-14,16.850000381469727
2009-12-15,16.739999771118164
2009-12-16,17.0
2009-12-17,16.309999465942383
2009-12-18,16.389999389648438
2009-12-21,16.489999771118164
2009-12-22,16.729999542236328
2009-12-23,16.780000686645508
2009-12-24,16.780000686645508
2009-12-28,17.3799991607666
2009-12-29,17.530000686645508
2009-12-30,17.690000534057617
2009-12-31,18.290000915527344
2010-01-04,18.860000610351562
2010-01-05,19.0
2010-01-06,19.149999618530273
2010-01-07,19.030000686645508
2010-01-08,19.170000076293945
2010-01-11,19.290000915527344
2010-01-12,19.0
2010-01-13,18.420000076293945
2010-01-14,18.43000030517578
2010-01-15,18.239999771118164
2010-01-19,17.809999465942383
2010-01-20,17.959999084472656
2010-01-21,17.989999771118164
2010-01-22,17.559999465942383
2010-01-25,17.649999618530273
2010-01-26,17.760000228881836
2010-01-27,17.40999984741211
2010-01-28,17.719999313354492
2010-01-29,17.3799991607666
2010-02-01,17.5
2010-02-02,17.700000762939453
2010-02-03,17.6200008392334
2010-02-04,17.219999313354492
2010-02-05,17.200000762939453
2010-02-08,17.010000228881836
2010-02-09,16.989999771118164
2010-02-10,16.799999237060547
2010-02-11,17.1299991607666
2010-02-12,17.360000610351562
2010-02-16,17.479999542236328
2010-02-17,17.40999984741211
