,ANDA
2019-03-06,9.699999809265137
2019-03-07,9.699999809265137
2019-03-08,9.699999809265137
2019-03-11,9.699999809265137
2019-03-12,9.699999809265137
2019-03-13,9.699999809265137
2019-03-14,9.699999809265137
2019-03-15,9.699999809265137
2019-03-18,9.699999809265137
2019-03-19,9.699999809265137
2019-03-20,9.736000061035156
2019-03-21,9.729999542236328
2019-03-22,9.729999542236328
2019-03-25,9.729999542236328
2019-03-26,9.75
2019-03-27,9.75
2019-03-28,9.75
2019-03-29,9.75
2019-04-01,9.770000457763672
2019-04-02,9.760000228881836
2019-04-03,9.760000228881836
2019-04-04,9.760000228881836
2019-04-05,9.739999771118164
2019-04-08,9.75
2019-04-09,9.75
2019-04-10,9.75
2019-04-11,9.770000457763672
2019-04-12,9.770000457763672
2019-04-15,9.779999732971191
2019-04-16,9.800000190734863
2019-04-17,9.8100004196167
2019-04-18,9.800000190734863
2019-04-22,9.8100004196167
2019-04-23,9.8100004196167
2019-04-24,9.8100004196167
2019-04-25,9.8100004196167
2019-04-26,9.8100004196167
2019-04-29,9.829999923706055
2019-04-30,9.800000190734863
2019-05-01,9.789999961853027
2019-05-02,9.789999961853027
2019-05-03,9.819999694824219
2019-05-06,9.819999694824219
2019-05-07,9.8100004196167
2019-05-08,9.8100004196167
2019-05-09,9.8100004196167
2019-05-10,9.829999923706055
2019-05-13,9.829999923706055
2019-05-14,9.829999923706055
2019-05-15,9.819999694824219
2019-05-16,9.829999923706055
2019-05-17,9.760000228881836
2019-05-20,9.760000228881836
2019-05-21,9.819999694824219
2019-05-22,9.819999694824219
2019-05-23,9.819999694824219
2019-05-24,9.819999694824219
2019-05-28,9.829999923706055
2019-05-29,9.819999694824219
2019-05-30,9.819999694824219
2019-05-31,9.84000015258789
2019-06-03,9.84000015258789
2019-06-04,9.8100004196167
2019-06-05,9.8100004196167
2019-06-06,9.819999694824219
2019-06-07,9.84000015258789
2019-06-10,9.84000015258789
2019-06-11,9.84000015258789
2019-06-12,9.84000015258789
