,FICS
2020-12-17,30.690000534057617
2020-12-18,30.628999710083008
2020-12-21,30.384000778198242
2020-12-22,30.39699935913086
2020-12-23,30.530000686645508
2020-12-24,30.530000686645508
2020-12-28,30.530000686645508
2020-12-29,31.062999725341797
2020-12-30,31.04199981689453
2020-12-31,30.945999145507812
2021-01-04,30.945999145507812
2021-01-05,31.440000534057617
2021-01-06,31.479999542236328
2021-01-07,31.36199951171875
2021-01-08,31.36199951171875
2021-01-11,31.399999618530273
2021-01-12,31.562000274658203
2021-01-13,31.479999542236328
2021-01-14,31.604999542236328
2021-01-15,31.277999877929688
2021-01-19,31.483999252319336
2021-01-20,31.59000015258789
2021-01-21,31.709999084472656
2021-01-22,31.667999267578125
2021-01-25,31.722999572753906
2021-01-26,31.722999572753906
2021-01-27,31.040000915527344
2021-01-28,31.25
2021-01-29,30.525999069213867
2021-02-01,30.860000610351562
2021-02-02,31.315000534057617
2021-02-03,31.341999053955078
2021-02-04,31.22599983215332
2021-02-05,31.299999237060547
2021-02-08,31.299999237060547
2021-02-09,31.610000610351562
2021-02-10,31.579999923706055
2021-02-11,31.579999923706055
2021-02-12,32.125
2021-02-16,32.369998931884766
2021-02-17,32.02000045776367
2021-02-18,32.02399826049805
2021-02-19,32.02399826049805
2021-02-22,31.899999618530273
2021-02-23,31.625
2021-02-24,31.520000457763672
2021-02-25,31.520000457763672
2021-02-26,30.520000457763672
2021-03-01,31.04599952697754
2021-03-02,31.15999984741211
2021-03-03,30.780000686645508
2021-03-04,30.780000686645508
2021-03-05,30.363000869750977
2021-03-08,30.06100082397461
2021-03-09,30.06100082397461
2021-03-10,30.82699966430664
2021-03-11,31.15999984741211
2021-03-12,31.22100067138672
2021-03-15,31.22100067138672
2021-03-16,31.530000686645508
2021-03-17,31.530000686645508
2021-03-18,31.23900032043457
2021-03-19,31.27199935913086
2021-03-22,31.5310001373291
2021-03-23,31.5310001373291
2021-03-24,31.1299991607666
2021-03-25,31.200000762939453
2021-03-26,31.56999969482422
2021-03-29,31.56999969482422
2021-03-30,31.52199935913086
2021-03-31,31.530000686645508
2021-04-01,32.0099983215332
2021-04-05,32.608001708984375
2021-04-06,32.23899841308594
2021-04-07,32.220001220703125
2021-04-08,32.220001220703125
2021-04-09,32.779998779296875
2021-04-12,32.709999084472656
2021-04-13,32.709999084472656
2021-04-14,32.869998931884766
2021-04-15,33.119998931884766
2021-04-16,33.349998474121094
2021-04-19,33.25
2021-04-20,32.86600112915039
2021-04-21,32.86600112915039
2021-04-22,32.86600112915039
2021-04-23,33.35599899291992
2021-04-26,33.35599899291992
2021-04-27,33.08000183105469
2021-04-28,33.05400085449219
2021-04-29,32.939998626708984
2021-04-30,32.939998626708984
2021-05-03,32.95000076293945
2021-05-04,32.52899932861328
2021-05-05,32.52899932861328
2021-05-06,32.52899932861328
2021-05-07,32.52899932861328
2021-05-10,32.52899932861328
2021-05-11,32.52899932861328
2021-05-12,32.494998931884766
2021-05-13,32.8489990234375
2021-05-14,33.2599983215332
