,BNR
2020-06-12,24.6299991607666
2020-06-15,23.209999084472656
2020-06-16,24.350000381469727
2020-06-17,24.389999389648438
2020-06-18,26.59000015258789
2020-06-19,28.790000915527344
2020-06-22,30.059999465942383
2020-06-23,31.43000030517578
2020-06-24,31.059999465942383
2020-06-25,30.90999984741211
2020-06-26,27.850000381469727
2020-06-29,26.079999923706055
2020-06-30,27.010000228881836
2020-07-01,26.639999389648438
2020-07-02,27.149999618530273
2020-07-06,26.459999084472656
2020-07-07,26.989999771118164
2020-07-08,26.670000076293945
2020-07-09,26.09000015258789
2020-07-10,26.030000686645508
2020-07-13,28.350000381469727
2020-07-14,28.010000228881836
2020-07-15,29.610000610351562
2020-07-16,28.299999237060547
2020-07-17,28.43000030517578
2020-07-20,28.729999542236328
2020-07-21,27.790000915527344
2020-07-22,26.0
2020-07-23,26.190000534057617
2020-07-24,23.809999465942383
2020-07-27,27.020000457763672
2020-07-28,26.899999618530273
2020-07-29,26.260000228881836
2020-07-30,25.200000762939453
2020-07-31,25.0
2020-08-03,25.049999237060547
2020-08-04,24.510000228881836
2020-08-05,23.8799991607666
2020-08-06,24.170000076293945
2020-08-07,23.1299991607666
2020-08-10,23.790000915527344
2020-08-11,21.299999237060547
2020-08-12,21.0
2020-08-13,21.459999084472656
2020-08-14,20.959999084472656
2020-08-17,20.639999389648438
2020-08-18,20.5
2020-08-19,20.540000915527344
2020-08-20,20.530000686645508
2020-08-21,22.600000381469727
2020-08-24,21.6299991607666
2020-08-25,22.719999313354492
2020-08-26,24.299999237060547
2020-08-27,24.329999923706055
2020-08-28,23.969999313354492
2020-08-31,23.059999465942383
2020-09-01,22.209999084472656
2020-09-02,21.479999542236328
2020-09-03,20.549999237060547
2020-09-04,19.549999237060547
2020-09-08,19.850000381469727
2020-09-09,19.06999969482422
2020-09-10,20.8799991607666
2020-09-11,20.079999923706055
2020-09-14,20.030000686645508
2020-09-15,21.229999542236328
2020-09-16,21.399999618530273
2020-09-17,22.329999923706055
2020-09-18,22.709999084472656
2020-09-21,22.15999984741211
2020-09-22,21.829999923706055
2020-09-23,20.75
2020-09-24,20.690000534057617
2020-09-25,21.549999237060547
2020-09-28,23.260000228881836
2020-09-29,24.229999542236328
2020-09-30,25.079999923706055
2020-10-01,25.079999923706055
2020-10-02,24.299999237060547
2020-10-05,25.0
2020-10-06,25.229999542236328
2020-10-07,25.56999969482422
2020-10-08,26.0
2020-10-09,26.5
2020-10-12,26.670000076293945
2020-10-13,29.0
2020-10-14,28.0
2020-10-15,27.81999969482422
2020-10-16,27.90999984741211
2020-10-19,27.489999771118164
2020-10-20,27.959999084472656
2020-10-21,28.6200008392334
2020-10-22,28.940000534057617
2020-10-23,29.700000762939453
2020-10-26,29.65999984741211
2020-10-27,30.8700008392334
2020-10-28,30.489999771118164
2020-10-29,30.799999237060547
2020-10-30,30.8700008392334
2020-11-02,29.3799991607666
2020-11-03,26.690000534057617
2020-11-04,28.40999984741211
2020-11-05,28.959999084472656
2020-11-06,29.040000915527344
2020-11-09,29.59000015258789
2020-11-10,28.010000228881836
2020-11-11,28.0
2020-11-12,27.079999923706055
2020-11-13,28.5
2020-11-16,28.190000534057617
2020-11-17,26.84000015258789
2020-11-18,26.239999771118164
2020-11-19,25.93000030517578
2020-11-20,24.010000228881836
2020-11-23,25.010000228881836
2020-11-24,26.049999237060547
2020-11-25,28.0
2020-11-27,29.1299991607666
2020-11-30,28.530000686645508
2020-12-01,28.350000381469727
2020-12-02,27.5
2020-12-03,26.040000915527344
2020-12-04,25.5
2020-12-07,25.520000457763672
2020-12-08,25.799999237060547
2020-12-09,26.260000228881836
2020-12-10,26.770000457763672
2020-12-11,26.190000534057617
2020-12-14,24.649999618530273
2020-12-15,24.65999984741211
2020-12-16,25.0
2020-12-17,24.299999237060547
2020-12-18,24.229999542236328
2020-12-21,24.549999237060547
2020-12-22,24.950000762939453
2020-12-23,25.709999084472656
2020-12-24,25.75
2020-12-28,23.459999084472656
2020-12-29,22.549999237060547
2020-12-30,23.299999237060547
2020-12-31,23.100000381469727
2021-01-04,24.450000762939453
2021-01-05,24.540000915527344
2021-01-06,24.729999542236328
2021-01-07,24.299999237060547
2021-01-08,24.8700008392334
2021-01-11,24.639999389648438
2021-01-12,25.059999465942383
2021-01-13,24.799999237060547
2021-01-14,27.5
2021-01-15,34.29999923706055
2021-01-19,35.560001373291016
2021-01-20,35.06999969482422
2021-01-21,36.95000076293945
2021-01-22,36.63999938964844
2021-01-25,34.65999984741211
2021-01-26,30.5
2021-01-27,27.610000610351562
2021-01-28,29.56999969482422
2021-01-29,30.170000076293945
2021-02-01,30.190000534057617
2021-02-02,31.149999618530273
2021-02-03,31.899999618530273
2021-02-04,31.6200008392334
2021-02-05,30.950000762939453
2021-02-08,30.899999618530273
2021-02-09,32.849998474121094
2021-02-10,33.93000030517578
2021-02-11,34.060001373291016
2021-02-12,34.2599983215332
2021-02-16,33.439998626708984
2021-02-17,31.610000610351562
2021-02-18,30.770000457763672
2021-02-19,31.579999923706055
2021-02-22,39.58000183105469
2021-02-23,36.689998626708984
2021-02-24,37.369998931884766
2021-02-25,36.29999923706055
2021-02-26,35.9900016784668
2021-03-01,37.04999923706055
2021-03-02,36.369998931884766
2021-03-03,36.650001525878906
2021-03-04,36.099998474121094
2021-03-05,34.15999984741211
2021-03-08,33.20000076293945
2021-03-09,33.060001373291016
2021-03-10,32.2400016784668
2021-03-11,30.260000228881836
2021-03-12,27.09000015258789
2021-03-15,25.5
2021-03-16,25.84000015258789
2021-03-17,25.059999465942383
2021-03-18,23.5
2021-03-19,24.459999084472656
2021-03-22,25.3700008392334
2021-03-23,25.549999237060547
2021-03-24,25.700000762939453
2021-03-25,25.1299991607666
2021-03-26,25.469999313354492
2021-03-29,25.81999969482422
2021-03-30,25.270000457763672
2021-03-31,26.920000076293945
2021-04-01,29.280000686645508
2021-04-05,28.34000015258789
2021-04-06,28.5
2021-04-07,29.700000762939453
2021-04-08,30.290000915527344
2021-04-09,28.969999313354492
2021-04-12,28.760000228881836
2021-04-13,29.100000381469727
2021-04-14,30.5
2021-04-15,30.600000381469727
2021-04-16,29.559999465942383
2021-04-19,29.989999771118164
2021-04-20,30.290000915527344
2021-04-21,29.030000686645508
2021-04-22,28.809999465942383
2021-04-23,29.350000381469727
2021-04-26,29.739999771118164
2021-04-27,29.920000076293945
2021-04-28,29.81999969482422
2021-04-29,30.049999237060547
2021-04-30,30.5
2021-05-03,28.610000610351562
2021-05-04,28.450000762939453
2021-05-05,28.920000076293945
2021-05-06,28.329999923706055
2021-05-07,27.15999984741211
2021-05-10,26.139999389648438
2021-05-11,26.139999389648438
2021-05-12,29.850000381469727
2021-05-13,28.850000381469727
2021-05-14,32.7599983215332
