,ALGT
2006-12-08,25.100000381469727
2006-12-11,26.299999237060547
2006-12-12,26.06999969482422
2006-12-13,26.850000381469727
2006-12-14,27.84000015258789
2006-12-15,27.649999618530273
2006-12-18,27.549999237060547
2006-12-19,26.489999771118164
2006-12-20,27.100000381469727
2006-12-21,27.56999969482422
2006-12-22,27.229999542236328
2006-12-26,27.520000457763672
2006-12-27,27.920000076293945
2006-12-28,27.899999618530273
2006-12-29,28.059999465942383
2007-01-03,27.770000457763672
2007-01-04,27.770000457763672
2007-01-05,27.75
2007-01-08,26.979999542236328
2007-01-09,26.989999771118164
2007-01-10,26.969999313354492
2007-01-11,27.360000610351562
2007-01-12,28.25
2007-01-16,29.579999923706055
2007-01-17,30.0
2007-01-18,30.190000534057617
2007-01-19,29.510000228881836
2007-01-22,29.670000076293945
2007-01-23,31.1299991607666
2007-01-24,32.31999969482422
2007-01-25,31.979999542236328
2007-01-26,32.0
2007-01-29,31.850000381469727
2007-01-30,32.59000015258789
2007-01-31,33.25
2007-02-01,34.04999923706055
2007-02-02,34.939998626708984
2007-02-05,35.20000076293945
2007-02-06,34.029998779296875
2007-02-07,34.06999969482422
2007-02-08,33.45000076293945
2007-02-09,33.2599983215332
2007-02-12,32.91999816894531
2007-02-13,32.709999084472656
2007-02-14,33.0
2007-02-15,32.84000015258789
2007-02-16,34.77000045776367
2007-02-20,35.470001220703125
2007-02-21,35.0
2007-02-22,34.4900016784668
2007-02-23,33.5
2007-02-26,34.63999938964844
2007-02-27,32.95000076293945
2007-02-28,34.459999084472656
2007-03-01,34.439998626708984
2007-03-02,33.95000076293945
2007-03-05,34.08000183105469
2007-03-06,32.56999969482422
2007-03-07,33.599998474121094
2007-03-08,33.75
2007-03-09,32.439998626708984
2007-03-12,31.200000762939453
2007-03-13,31.010000228881836
2007-03-14,31.06999969482422
2007-03-15,32.0
2007-03-16,31.649999618530273
2007-03-19,31.649999618530273
2007-03-20,33.349998474121094
2007-03-21,33.18000030517578
2007-03-22,33.599998474121094
2007-03-23,32.9900016784668
2007-03-26,32.779998779296875
2007-03-27,32.0
2007-03-28,31.25
2007-03-29,31.469999313354492
2007-03-30,31.5
2007-04-02,31.649999618530273
2007-04-03,32.75
2007-04-04,31.59000015258789
2007-04-05,32.040000915527344
2007-04-09,32.0099983215332
2007-04-10,32.20000076293945
2007-04-11,32.369998931884766
2007-04-12,32.529998779296875
2007-04-13,33.060001373291016
2007-04-16,32.709999084472656
2007-04-17,32.060001373291016
2007-04-18,32.04999923706055
2007-04-19,32.2599983215332
2007-04-20,31.8799991607666
2007-04-23,32.29999923706055
2007-04-24,33.88999938964844
2007-04-25,33.2400016784668
2007-04-26,32.7599983215332
2007-04-27,32.0
2007-04-30,32.09000015258789
2007-05-01,34.88999938964844
2007-05-02,34.70000076293945
2007-05-03,34.16999816894531
2007-05-04,33.349998474121094
2007-05-07,32.279998779296875
2007-05-08,31.969999313354492
2007-05-09,31.8700008392334
2007-05-10,30.280000686645508
2007-05-11,30.040000915527344
2007-05-14,29.200000762939453
2007-05-15,27.760000228881836
2007-05-16,28.040000915527344
2007-05-17,30.0
2007-05-18,30.190000534057617
2007-05-21,31.200000762939453
2007-05-22,31.520000457763672
2007-05-23,31.93000030517578
2007-05-24,32.150001525878906
2007-05-25,31.760000228881836
2007-05-29,32.15999984741211
2007-05-30,31.81999969482422
2007-05-31,31.75
2007-06-01,32.22999954223633
2007-06-04,32.38999938964844
2007-06-05,32.0
2007-06-06,31.68000030517578
2007-06-07,31.690000534057617
2007-06-08,31.729999542236328
2007-06-11,31.389999389648438
2007-06-12,30.889999389648438
2007-06-13,31.84000015258789
2007-06-14,32.40999984741211
2007-06-15,32.900001525878906
2007-06-18,32.5
2007-06-19,32.25
2007-06-20,32.349998474121094
2007-06-21,32.58000183105469
2007-06-22,33.380001068115234
2007-06-25,32.20000076293945
2007-06-26,31.600000381469727
2007-06-27,30.959999084472656
2007-06-28,31.59000015258789
2007-06-29,30.739999771118164
2007-07-02,31.1299991607666
2007-07-03,31.350000381469727
2007-07-05,31.6200008392334
2007-07-06,32.31999969482422
2007-07-09,31.489999771118164
2007-07-10,30.989999771118164
2007-07-11,31.709999084472656
2007-07-12,31.920000076293945
2007-07-13,31.940000534057617
2007-07-16,31.790000915527344
2007-07-17,33.5099983215332
2007-07-18,33.04999923706055
2007-07-19,32.5
2007-07-20,31.950000762939453
2007-07-23,32.08000183105469
2007-07-24,31.600000381469727
2007-07-25,31.6299991607666
2007-07-26,31.139999389648438
2007-07-27,30.959999084472656
2007-07-30,30.18000030517578
2007-07-31,29.389999389648438
2007-08-01,30.799999237060547
2007-08-02,30.09000015258789
