,DISCB
2005-11-10,7.72820520401001
2005-11-11,7.994872093200684
2005-11-14,8.046154022216797
2005-11-15,7.88205099105835
2005-11-16,7.88205099105835
2005-11-17,7.702563762664795
2005-11-18,7.810256004333496
2005-11-21,8.061537742614746
2005-11-22,8.13846206665039
2005-11-23,8.282051086425781
2005-11-25,8.271795272827148
2005-11-28,8.271795272827148
2005-11-29,8.256409645080566
2005-11-30,8.384614944458008
2005-12-01,8.246153831481934
2005-12-02,8.246153831481934
2005-12-05,8.246153831481934
2005-12-06,8.025641441345215
2005-12-07,8.123077392578125
2005-12-08,8.046154022216797
2005-12-09,7.948718070983887
2005-12-12,8.215385437011719
2005-12-13,8.297435760498047
2005-12-14,8.297435760498047
2005-12-15,8.148717880249023
2005-12-16,8.30769157409668
2005-12-19,8.19487190246582
2005-12-20,8.343589782714844
2005-12-21,8.025641441345215
2005-12-22,8.15384578704834
2005-12-23,8.189743995666504
2005-12-27,8.030769348144531
2005-12-28,7.90256404876709
2005-12-29,7.887178897857666
2005-12-30,7.897436141967773
2006-01-03,7.897436141967773
2006-01-04,7.897436141967773
2006-01-05,7.97948694229126
2006-01-06,7.938461780548096
2006-01-09,7.876923084259033
2006-01-10,7.876923084259033
2006-01-11,7.876923084259033
2006-01-12,7.856410026550293
2006-01-13,7.856410026550293
2006-01-17,7.92307710647583
2006-01-18,7.907691955566406
2006-01-19,7.907691955566406
2006-01-20,7.856410026550293
2006-01-23,7.871795177459717
2006-01-24,7.871795177459717
2006-01-25,7.871795177459717
2006-01-26,7.871795177459717
2006-01-27,7.994872093200684
2006-01-30,7.88205099105835
2006-01-31,7.794871807098389
2006-02-01,8.184615135192871
2006-02-02,7.6974358558654785
2006-02-03,7.6974358558654785
2006-02-06,7.671794891357422
2006-02-07,7.671794891357422
2006-02-08,7.482050895690918
2006-02-09,7.538462162017822
2006-02-10,7.3333330154418945
2006-02-13,7.3333330154418945
2006-02-14,7.379487037658691
2006-02-15,7.723076820373535
2006-02-16,7.723076820373535
2006-02-17,7.4461541175842285
2006-02-21,7.415384769439697
2006-02-22,7.415384769439697
2006-02-23,7.405128002166748
2006-02-24,7.394872188568115
2006-02-27,7.641026020050049
2006-02-28,7.482050895690918
2006-03-01,7.517949104309082
2006-03-02,7.4102559089660645
2006-03-03,7.435896873474121
2006-03-06,7.435896873474121
2006-03-07,7.353846073150635
2006-03-08,7.297436237335205
2006-03-09,7.282051086425781
2006-03-10,7.384614944458008
2006-03-13,7.476922988891602
2006-03-14,7.579486846923828
2006-03-15,7.692307949066162
2006-03-16,7.543590068817139
2006-03-17,7.476922988891602
2006-03-20,7.497436046600342
2006-03-21,7.379487037658691
2006-03-22,7.374359130859375
2006-03-23,7.507691860198975
2006-03-24,7.435896873474121
2006-03-27,7.435896873474121
2006-03-28,7.374359130859375
2006-03-29,7.635897159576416
2006-03-30,7.605127811431885
2006-03-31,7.764102935791016
2006-04-03,7.723076820373535
2006-04-04,7.733333110809326
2006-04-05,7.733333110809326
2006-04-06,7.733333110809326
2006-04-07,7.733333110809326
2006-04-10,7.615385055541992
2006-04-11,7.533332824707031
2006-04-12,7.512821197509766
2006-04-13,7.512821197509766
2006-04-17,7.435896873474121
2006-04-18,7.4102559089660645
2006-04-19,7.4102559089660645
2006-04-20,7.502563953399658
2006-04-21,7.502563953399658
2006-04-24,7.456409931182861
2006-04-25,7.466667175292969
2006-04-26,7.389743804931641
2006-04-27,7.579486846923828
2006-04-28,7.579486846923828
2006-05-01,7.661538124084473
2006-05-02,7.5897440910339355
2006-05-03,7.425641059875488
2006-05-04,7.405128002166748
2006-05-05,7.353846073150635
2006-05-08,7.420513153076172
2006-05-09,7.364102840423584
2006-05-10,7.3025641441345215
2006-05-11,7.323077201843262
2006-05-12,7.210256099700928
2006-05-15,7.343589782714844
2006-05-16,7.261538028717041
2006-05-17,7.241025924682617
2006-05-18,7.123076915740967
2006-05-19,7.102563858032227
2006-05-22,7.0410261154174805
2006-05-23,7.066667079925537
2006-05-24,7.082050800323486
2006-05-25,7.102563858032227
2006-05-26,7.112821102142334
2006-05-30,7.05640983581543
2006-05-31,7.123076915740967
2006-06-01,7.235897064208984
2006-06-02,7.225640773773193
2006-06-05,7.225640773773193
2006-06-06,7.17435884475708
2006-06-07,7.138462066650391
2006-06-08,7.046154022216797
2006-06-09,7.123076915740967
2006-06-12,7.123076915740967
2006-06-13,7.05640983581543
2006-06-14,7.066667079925537
2006-06-15,7.517949104309082
2006-06-16,7.323077201843262
2006-06-19,7.430768966674805
2006-06-20,7.435896873474121
2006-06-21,7.533332824707031
2006-06-22,7.533332824707031
2006-06-23,7.353846073150635
2006-06-26,7.374359130859375
2006-06-27,7.374359130859375
2006-06-28,7.374359130859375
2006-06-29,7.574358940124512
2006-06-30,7.456409931182861
2006-07-03,7.456409931182861
2006-07-05,7.4461541175842285
2006-07-06,7.338461875915527
2006-07-07,7.276923179626465
2006-07-10,7.235897064208984
2006-07-11,7.235897064208984
2006-07-12,7.189743995666504
2006-07-13,7.225640773773193
2006-07-14,7.05640983581543
2006-07-17,7.0410261154174805
2006-07-18,7.025640964508057
2006-07-19,7.005127906799316
2006-07-20,6.953845977783203
2006-07-21,6.969231128692627
2006-07-24,6.912820816040039
2006-07-25,6.989744186401367
2006-07-26,6.989744186401367
2006-07-27,6.887178897857666
2006-07-28,6.887178897857666
2006-07-31,6.866666793823242
2006-08-01,6.820512771606445
2006-08-02,7.015385150909424
2006-08-03,6.94359016418457
2006-08-04,7.148717880249023
2006-08-07,7.0717949867248535
2006-08-08,6.871795177459717
2006-08-09,6.830769062042236
2006-08-10,6.907691955566406
2006-08-11,7.164103031158447
2006-08-14,7.143589973449707
2006-08-15,7.241025924682617
2006-08-16,7.220512866973877
2006-08-17,7.4102559089660645
2006-08-18,7.2923078536987305
2006-08-21,7.338461875915527
2006-08-22,7.241025924682617
2006-08-23,7.164103031158447
2006-08-24,7.164103031158447
2006-08-25,7.184615135192871
2006-08-28,7.087179183959961
2006-08-29,7.087179183959961
2006-08-30,7.07692289352417
2006-08-31,7.143589973449707
2006-09-01,7.19487190246582
2006-09-05,7.0717949867248535
2006-09-06,7.143589973449707
2006-09-07,6.989744186401367
2006-09-08,6.989744186401367
2006-09-11,7.02051305770874
2006-09-12,7.05640983581543
2006-09-13,7.05640983581543
2006-09-14,7.025640964508057
2006-09-15,7.148717880249023
2006-09-18,7.082050800323486
