,ANZUU
2021-03-02,10.0
2021-03-03,10.0
2021-03-04,10.0
2021-03-05,10.029999732971191
2021-03-08,10.050000190734863
2021-03-09,10.0
2021-03-10,10.020000457763672
2021-03-11,10.0
2021-03-12,10.010000228881836
2021-03-15,10.0
2021-03-16,10.0
2021-03-17,10.0
2021-03-18,10.0
2021-03-19,10.0
2021-03-22,10.0
2021-03-23,10.0
2021-03-24,9.960000038146973
2021-03-25,9.979999542236328
2021-03-26,10.0
2021-03-29,10.0
2021-03-30,9.949999809265137
2021-03-31,9.979999542236328
2021-04-01,9.989999771118164
2021-04-05,10.0
2021-04-06,10.0
2021-04-07,10.020000457763672
2021-04-08,10.039999961853027
2021-04-09,10.079999923706055
2021-04-12,10.119999885559082
2021-04-13,10.09000015258789
2021-04-14,10.100000381469727
2021-04-15,10.029999732971191
2021-04-16,10.09000015258789
2021-04-19,10.039999961853027
2021-04-20,9.920000076293945
2021-04-21,9.949999809265137
2021-04-22,9.9399995803833
2021-04-23,9.979999542236328
2021-04-26,9.960000038146973
2021-04-27,9.989999771118164
2021-04-28,9.979999542236328
2021-04-29,9.989999771118164
2021-04-30,9.989999771118164
2021-05-03,9.989999771118164
2021-05-04,9.989999771118164
2021-05-05,10.010000228881836
2021-05-06,10.010000228881836
2021-05-07,9.994999885559082
2021-05-10,9.960000038146973
2021-05-11,9.960000038146973
2021-05-12,10.0
2021-05-13,9.979999542236328
2021-05-14,9.979999542236328
