,FRBA
2010-10-15,3.25
2010-10-18,3.25
2010-10-19,3.0999999046325684
2010-10-20,3.0999999046325684
2010-10-21,3.25
2010-10-22,3.1500000953674316
2010-10-25,3.1500000953674316
2010-10-26,3.1500000953674316
2010-10-27,3.25
2010-10-28,3.0199999809265137
2010-10-29,3.5
2010-11-01,3.5
2010-11-02,3.5
2010-11-03,3.5
2010-11-04,3.5
2010-11-05,3.5
2010-11-08,3.5
2010-11-09,3.5
2010-11-10,3.25
2010-11-11,3.0999999046325684
2010-11-12,3.0999999046325684
2010-11-15,3.0999999046325684
2010-11-16,3.0
2010-11-17,3.0
2010-11-18,3.0
2010-11-19,3.0
2010-11-22,3.0
2010-11-23,3.0
2010-11-24,3.0
2010-11-26,3.0
2010-11-29,3.0
2010-11-30,3.0999999046325684
2010-12-01,2.75
2010-12-02,3.0
2010-12-03,2.9000000953674316
2010-12-06,2.950000047683716
2010-12-07,2.950000047683716
2010-12-08,3.0
2010-12-09,3.0
2010-12-10,2.9000000953674316
2010-12-13,2.9000000953674316
2010-12-14,2.9000000953674316
2010-12-15,2.9000000953674316
2010-12-16,3.0
2010-12-17,3.0
2010-12-20,3.0
2010-12-21,2.9000000953674316
2010-12-22,2.9000000953674316
2010-12-23,2.8499999046325684
2010-12-27,2.8499999046325684
2010-12-28,2.75
2010-12-29,2.950000047683716
2010-12-30,2.950000047683716
2010-12-31,2.75
2011-01-03,2.990000009536743
2011-01-04,3.0
2011-01-05,3.0999999046325684
2011-01-06,3.0999999046325684
2011-01-07,3.0999999046325684
2011-01-10,3.0999999046325684
2011-01-11,2.940000057220459
2011-01-12,2.950000047683716
2011-01-13,2.950000047683716
2011-01-14,3.0
2011-01-18,2.799999952316284
2011-01-19,2.799999952316284
2011-01-20,2.799999952316284
2011-01-21,3.0
2011-01-24,3.0
2011-01-25,3.0
2011-01-26,3.0
2011-01-27,3.0
2011-01-28,3.1500000953674316
2011-01-31,3.1500000953674316
2011-02-01,3.200000047683716
2011-02-02,3.200000047683716
2011-02-03,3.200000047683716
2011-02-04,3.25
2011-02-07,3.259999990463257
2011-02-08,3.259999990463257
2011-02-09,3.4000000953674316
2011-02-10,3.0999999046325684
2011-02-11,3.25
2011-02-14,3.25
2011-02-15,3.0999999046325684
2011-02-16,3.0999999046325684
2011-02-17,3.1500000953674316
2011-02-18,3.0
2011-02-22,3.0
2011-02-23,3.0
2011-02-24,3.1500000953674316
2011-02-25,3.1500000953674316
2011-02-28,3.0
2011-03-01,3.0
2011-03-02,3.5
2011-03-03,3.5
2011-03-04,3.5
2011-03-07,3.1500000953674316
2011-03-08,3.1500000953674316
2011-03-09,3.109999895095825
2011-03-10,3.109999895095825
2011-03-11,3.25
2011-03-14,3.4000000953674316
2011-03-15,3.1500000953674316
