,TRV
1975-11-17,8.71875
1975-11-18,8.96875
1975-11-19,8.5625
1975-11-20,8.4375
1975-11-21,8.4375
1975-11-24,8.40625
1975-11-25,8.375
1975-11-26,8.4375
1975-11-28,8.5
1975-12-01,8.25
1975-12-02,7.875
1975-12-03,7.5
1975-12-04,7.5
1975-12-05,7.4375
1975-12-08,7.4375
1975-12-09,7.4375
1975-12-10,7.46875
1975-12-11,7.5
1975-12-12,7.875
1975-12-15,7.84375
1975-12-16,7.96875
1975-12-17,8.03125
1975-12-18,8.0625
1975-12-19,8.0
1975-12-22,8.0
1975-12-23,8.03125
1975-12-24,7.8125
1975-12-26,7.84375
1975-12-29,7.75
1975-12-30,7.71875
1975-12-31,7.71875
1976-01-02,7.875
1976-01-05,7.96875
1976-01-06,8.3125
1976-01-07,8.125
1976-01-08,8.125
1976-01-09,8.125
1976-01-12,8.125
1976-01-13,8.03125
1976-01-14,8.125
1976-01-15,8.0
1976-01-16,8.0
1976-01-19,8.03125
1976-01-20,8.0625
1976-01-21,8.0
1976-01-22,7.9375
1976-01-23,7.875
1976-01-26,7.53125
1976-01-27,7.5
1976-01-28,7.6875
1976-01-29,8.1875
1976-01-30,8.0
1976-02-02,8.125
1976-02-03,8.15625
1976-02-04,8.25
1976-02-05,8.1875
1976-02-06,8.03125
1976-02-09,8.125
1976-02-10,8.03125
1976-02-11,8.0625
1976-02-12,8.125
1976-02-13,8.125
1976-02-17,8.0625
1976-02-18,8.03125
1976-02-19,7.84375
1976-02-20,7.9375
1976-02-23,7.9375
1976-02-24,8.0625
1976-02-25,8.125
1976-02-26,8.0
1976-02-27,7.84375
1976-03-01,7.8125
1976-03-02,7.84375
1976-03-03,7.71875
1976-03-04,7.71875
1976-03-05,7.6875
1976-03-08,7.78125
1976-03-09,7.9375
1976-03-10,8.03125
1976-03-11,8.3125
1976-03-12,8.3125
1976-03-15,8.125
1976-03-16,8.1875
1976-03-17,8.1875
1976-03-18,8.1875
1976-03-19,8.1875
1976-03-22,8.1875
1976-03-23,8.46875
1976-03-24,8.53125
1976-03-25,8.65625
1976-03-26,8.5
1976-03-29,8.375
1976-03-30,8.3125
1976-03-31,8.3125
1976-04-01,8.3125
1976-04-02,8.34375
1976-04-05,8.59375
1976-04-06,8.5625
1976-04-07,8.46875
1976-04-08,8.375
1976-04-09,8.125
1976-04-12,8.0625
1976-04-13,8.0
1976-04-14,8.0625
1976-04-15,7.875
1976-04-19,7.9375
1976-04-20,7.90625
1976-04-21,7.75
1976-04-22,7.78125
1976-04-23,7.6875
1976-04-26,7.65625
1976-04-27,7.6875
1976-04-28,7.75
1976-04-29,7.53125
1976-04-30,7.21875
1976-05-03,6.90625
1976-05-04,6.84375
1976-05-05,6.84375
1976-05-06,7.0
1976-05-07,7.1875
1976-05-10,7.125
1976-05-11,7.0625
1976-05-12,7.34375
1976-05-13,7.375
1976-05-14,7.3125
1976-05-17,7.03125
1976-05-18,7.03125
1976-05-19,7.0625
1976-05-20,7.09375
1976-05-21,7.0
1976-05-24,6.75
1976-05-25,6.78125
1976-05-26,6.78125
1976-05-27,6.75
1976-05-28,6.75
1976-06-01,6.75
1976-06-02,6.75
1976-06-03,6.75
1976-06-04,6.6875
1976-06-07,6.5
1976-06-08,6.4375
1976-06-09,6.34375
1976-06-10,6.34375
1976-06-11,6.28125
1976-06-14,6.28125
1976-06-15,6.375
1976-06-16,6.5
1976-06-17,6.8125
1976-06-18,6.875
1976-06-21,6.84375
1976-06-22,6.6875
1976-06-23,6.6875
1976-06-24,6.75
1976-06-25,6.75
1976-06-28,6.75
1976-06-29,6.75
1976-06-30,6.8125
1976-07-01,7.15625
1976-07-02,7.3125
1976-07-06,7.125
1976-07-07,7.15625
1976-07-08,7.1875
1976-07-09,7.40625
1976-07-12,7.6875
1976-07-13,7.625
1976-07-14,7.625
1976-07-15,7.46875
1976-07-16,7.4375
1976-07-19,7.375
1976-07-20,7.15625
1976-07-21,7.125
1976-07-22,7.125
1976-07-23,7.15625
1976-07-26,7.25
1976-07-27,7.25
1976-07-28,7.40625
1976-07-29,7.875
1976-07-30,8.1875
1976-08-02,8.28125
1976-08-03,8.40625
1976-08-04,8.3125
1976-08-05,8.21875
1976-08-06,8.3125
1976-08-09,8.1875
1976-08-10,8.375
1976-08-11,8.40625
1976-08-12,8.53125
1976-08-13,8.625
1976-08-16,8.5625
1976-08-17,8.75
1976-08-18,8.625
1976-08-19,8.40625
1976-08-20,8.375
1976-08-23,8.3125
1976-08-24,8.125
1976-08-25,8.28125
1976-08-26,8.15625
1976-08-27,8.25
1976-08-30,8.09375
1976-08-31,8.0625
1976-09-01,8.28125
1976-09-02,8.25
1976-09-03,8.28125
1976-09-07,8.375
1976-09-08,8.6875
1976-09-09,8.65625
1976-09-10,8.8125
1976-09-13,8.65625
1976-09-14,8.59375
1976-09-15,8.4375
1976-09-16,8.5
1976-09-17,8.625
1976-09-20,8.5625
1976-09-21,8.625
1976-09-22,8.625
1976-09-23,8.5625
1976-09-24,8.4375
1976-09-27,8.4375
1976-09-28,8.40625
1976-09-29,8.4375
1976-09-30,8.375
1976-10-01,8.28125
1976-10-04,8.28125
1976-10-05,8.21875
1976-10-06,8.25
1976-10-07,8.4375
1976-10-08,8.34375
1976-10-11,8.34375
1976-10-12,8.375
1976-10-13,8.6875
1976-10-14,8.6875
1976-10-15,8.71875
1976-10-18,8.96875
1976-10-19,9.0
1976-10-20,8.96875
1976-10-21,9.0625
1976-10-22,9.03125
1976-10-25,9.03125
1976-10-26,9.0
1976-10-27,9.21875
1976-10-28,9.21875
1976-10-29,9.375
1976-11-01,9.3125
1976-11-03,8.84375
1976-11-04,8.9375
1976-11-05,8.8125
1976-11-08,8.65625
1976-11-09,8.5625
1976-11-10,8.59375
1976-11-11,8.625
1976-11-12,8.5625
1976-11-15,8.53125
1976-11-16,8.625
1976-11-17,8.65625
1976-11-18,8.65625
1976-11-19,8.5
1976-11-22,8.625
1976-11-23,8.53125
1976-11-24,8.625
1976-11-26,8.65625
1976-11-29,8.5625
1976-11-30,8.46875
1976-12-01,8.59375
1976-12-02,8.625
1976-12-03,8.90625
1976-12-06,8.875
1976-12-07,8.75
1976-12-08,8.71875
1976-12-09,8.78125
1976-12-10,8.90625
1976-12-13,9.125
1976-12-14,9.09375
1976-12-15,9.25
1976-12-16,9.15625
1976-12-17,8.96875
1976-12-20,8.90625
1976-12-21,8.90625
1976-12-22,8.90625
1976-12-23,8.8125
1976-12-27,8.8125
1976-12-28,8.875
1976-12-29,8.875
1976-12-30,8.9375
1976-12-31,9.0
1977-01-03,8.90625
1977-01-04,8.8125
1977-01-05,8.75
1977-01-06,8.75
1977-01-07,8.65625
1977-01-10,8.65625
1977-01-11,8.65625
1977-01-12,8.59375
1977-01-13,8.78125
1977-01-14,8.75
1977-01-17,8.6875
1977-01-18,8.625
1977-01-19,8.625
1977-01-20,8.3125
1977-01-21,8.4375
1977-01-24,8.5625
1977-01-25,8.375
1977-01-26,8.28125
1977-01-27,8.28125
1977-01-28,8.34375
1977-01-31,8.34375
1977-02-01,8.40625
1977-02-02,8.4375
1977-02-03,8.53125
1977-02-04,8.4375
1977-02-07,8.34375
1977-02-08,8.3125
1977-02-09,8.09375
1977-02-10,8.09375
1977-02-11,8.03125
1977-02-14,8.03125
1977-02-15,8.125
1977-02-16,8.1875
1977-02-17,8.21875
1977-02-18,8.1875
1977-02-22,8.1875
1977-02-23,8.03125
1977-02-24,7.84375
1977-02-25,7.84375
1977-02-28,7.28125
1977-03-01,7.40625
1977-03-02,7.46875
1977-03-03,7.46875
1977-03-04,7.625
1977-03-07,7.75
1977-03-08,7.8125
1977-03-09,7.6875
1977-03-10,7.6875
1977-03-11,7.71875
1977-03-14,7.84375
1977-03-15,7.84375
1977-03-16,7.84375
1977-03-17,7.6875
1977-03-18,7.75
1977-03-21,7.75
1977-03-22,7.6875
1977-03-23,7.625
1977-03-24,7.53125
1977-03-25,7.5
1977-03-28,7.375
1977-03-29,7.375
1977-03-30,7.375
1977-03-31,7.4375
1977-04-01,7.46875
1977-04-04,7.34375
1977-04-05,7.3125
1977-04-06,7.4375
1977-04-07,7.4375
1977-04-11,7.5
1977-04-12,7.625
1977-04-13,7.53125
1977-04-14,7.75
1977-04-15,7.90625
1977-04-18,8.125
1977-04-19,8.1875
1977-04-20,8.1875
1977-04-21,8.1875
1977-04-22,8.15625
1977-04-25,8.125
1977-04-26,8.0625
1977-04-27,8.15625
1977-04-28,8.15625
1977-04-29,8.25
1977-05-02,8.375
