,BHFAN
2020-11-11,25.200000762939453
2020-11-12,25.229999542236328
2020-11-13,25.299999237060547
2020-11-16,25.440000534057617
2020-11-17,25.649999618530273
2020-11-18,25.639999389648438
2020-11-19,25.799999237060547
2020-11-20,25.770000457763672
2020-11-23,25.760000228881836
2020-11-24,25.614999771118164
2020-11-25,25.7549991607666
2020-11-27,25.809999465942383
2020-11-30,26.010000228881836
2020-12-01,25.959999084472656
2020-12-02,25.989999771118164
2020-12-03,25.90999984741211
2020-12-04,25.8799991607666
2020-12-07,25.899999618530273
2020-12-08,26.059999465942383
2020-12-09,25.989999771118164
2020-12-10,25.989999771118164
2020-12-11,25.969999313354492
2020-12-14,26.030000686645508
2020-12-15,26.299999237060547
2020-12-16,26.290000915527344
2020-12-17,26.280000686645508
2020-12-18,26.280000686645508
2020-12-21,26.25
2020-12-22,26.110000610351562
2020-12-23,26.190000534057617
2020-12-24,26.200000762939453
2020-12-28,26.31999969482422
2020-12-29,26.329999923706055
2020-12-30,26.709999084472656
2020-12-31,26.920000076293945
2021-01-04,26.34000015258789
2021-01-05,26.360000610351562
2021-01-06,26.110000610351562
2021-01-07,25.93000030517578
2021-01-08,25.860000610351562
2021-01-11,25.510000228881836
2021-01-12,25.59000015258789
2021-01-13,25.8799991607666
2021-01-14,26.09000015258789
2021-01-15,26.110000610351562
2021-01-19,26.350000381469727
2021-01-20,26.399999618530273
2021-01-21,26.350000381469727
2021-01-22,26.350000381469727
2021-01-25,26.219999313354492
2021-01-26,26.239999771118164
2021-01-27,25.8700008392334
2021-01-28,25.989999771118164
2021-01-29,25.649999618530273
2021-02-01,25.639999389648438
2021-02-02,25.75
2021-02-03,25.649999618530273
2021-02-04,25.84000015258789
2021-02-05,25.864999771118164
2021-02-08,25.889999389648438
2021-02-09,25.989999771118164
2021-02-10,25.799999237060547
2021-02-11,25.68000030517578
2021-02-12,25.770000457763672
2021-02-16,25.350000381469727
2021-02-17,25.510000228881836
2021-02-18,25.780000686645508
2021-02-19,25.860000610351562
2021-02-22,25.799999237060547
2021-02-23,25.84000015258789
2021-02-24,25.290000915527344
2021-02-25,24.75
2021-02-26,25.100000381469727
2021-03-01,25.1200008392334
2021-03-02,25.309999465942383
2021-03-03,25.360000610351562
2021-03-04,25.34000015258789
2021-03-05,25.260000228881836
2021-03-08,25.25
2021-03-09,25.049999237060547
2021-03-10,25.09000015258789
2021-03-11,25.40999984741211
2021-03-12,25.200000762939453
2021-03-15,25.530000686645508
2021-03-16,25.979999542236328
2021-03-17,25.979999542236328
2021-03-18,25.1200008392334
2021-03-19,25.670000076293945
2021-03-22,25.940000534057617
2021-03-23,25.93000030517578
2021-03-24,26.010000228881836
2021-03-25,25.899999618530273
2021-03-26,25.8799991607666
2021-03-29,25.8700008392334
2021-03-30,26.049999237060547
2021-03-31,26.600000381469727
2021-04-01,26.719999313354492
2021-04-05,26.670000076293945
2021-04-06,26.760000228881836
2021-04-07,26.670000076293945
2021-04-08,26.559999465942383
2021-04-09,26.469999313354492
2021-04-12,26.40999984741211
2021-04-13,26.559999465942383
2021-04-14,26.540000915527344
2021-04-15,26.6200008392334
2021-04-16,26.489999771118164
2021-04-19,26.440000534057617
2021-04-20,26.360000610351562
2021-04-21,26.489999771118164
2021-04-22,26.350000381469727
2021-04-23,26.389999389648438
2021-04-26,26.3799991607666
2021-04-27,26.389999389648438
2021-04-28,26.450000762939453
2021-04-29,26.4950008392334
2021-04-30,26.229999542236328
2021-05-03,26.469999313354492
2021-05-04,26.459999084472656
2021-05-05,26.420000076293945
2021-05-06,26.489999771118164
2021-05-07,26.649999618530273
2021-05-10,26.270000457763672
2021-05-11,26.0
2021-05-12,25.579999923706055
2021-05-13,25.729999542236328
2021-05-14,25.920000076293945
