,AGEN
2001-04-02,87.75
2001-04-03,91.5
2001-04-04,85.125
2001-04-05,81.75
2001-04-06,81.0
2001-04-09,83.69999694824219
2001-04-10,97.19999694824219
2001-04-11,90.72000122070312
2001-04-12,90.0
2001-04-16,89.45999908447266
2001-04-17,88.0199966430664
2001-04-18,89.16000366210938
2001-04-19,94.80000305175781
2001-04-20,90.66000366210938
2001-04-23,93.30000305175781
2001-04-24,103.5
2001-04-25,99.12000274658203
2001-04-26,101.4000015258789
2001-04-27,104.33999633789062
2001-04-30,104.04000091552734
2001-05-01,104.69999694824219
2001-05-02,102.66000366210938
2001-05-03,102.9000015258789
2001-05-04,103.9800033569336
2001-05-07,98.81999969482422
2001-05-08,96.4800033569336
2001-05-09,102.05999755859375
2001-05-10,103.5
2001-05-11,99.9000015258789
2001-05-14,97.73999786376953
2001-05-15,110.4000015258789
2001-05-16,107.27999877929688
2001-05-17,104.5199966430664
2001-05-18,104.87999725341797
2001-05-21,111.83999633789062
2001-05-22,120.5999984741211
2001-05-23,119.4000015258789
2001-05-24,115.91999816894531
2001-05-25,115.80000305175781
2001-05-29,112.5
2001-05-30,110.69999694824219
2001-05-31,118.80000305175781
2001-06-01,114.05999755859375
2001-06-04,116.4000015258789
2001-06-05,114.36000061035156
2001-06-06,114.95999908447266
2001-06-07,112.80000305175781
2001-06-08,109.86000061035156
2001-06-11,119.4000015258789
2001-06-12,117.72000122070312
2001-06-13,117.0
2001-06-14,114.9000015258789
2001-06-15,116.33999633789062
2001-06-18,108.95999908447266
2001-06-19,106.73999786376953
2001-06-20,106.80000305175781
2001-06-21,113.76000213623047
2001-06-22,109.44000244140625
2001-06-25,113.0999984741211
2001-06-26,112.80000305175781
2001-06-27,109.91999816894531
2001-06-28,111.9000015258789
2001-06-29,118.5
2001-07-02,112.91999816894531
2001-07-03,113.76000213623047
2001-07-05,107.81999969482422
2001-07-06,106.68000030517578
2001-07-09,108.9000015258789
2001-07-10,107.0999984741211
2001-07-11,103.80000305175781
2001-07-12,104.45999908447266
2001-07-13,106.19999694824219
2001-07-16,107.69999694824219
2001-07-17,106.80000305175781
2001-07-18,105.66000366210938
2001-07-19,103.19999694824219
2001-07-20,98.69999694824219
2001-07-23,100.44000244140625
2001-07-24,96.05999755859375
2001-07-25,88.73999786376953
2001-07-26,97.68000030517578
2001-07-27,96.5999984741211
2001-07-30,96.95999908447266
2001-07-31,97.80000305175781
2001-08-01,99.0
2001-08-02,96.23999786376953
2001-08-03,100.80000305175781
2001-08-06,102.9000015258789
2001-08-07,96.0
2001-08-08,96.0
2001-08-09,99.18000030517578
2001-08-10,101.76000213623047
2001-08-13,101.94000244140625
2001-08-14,97.5
2001-08-15,95.69999694824219
2001-08-16,95.63999938964844
2001-08-17,96.83999633789062
2001-08-20,96.5999984741211
2001-08-21,97.26000213623047
2001-08-22,98.4000015258789
2001-08-23,97.19999694824219
2001-08-24,96.0
2001-08-27,96.18000030517578
