,SAFE
2017-06-22,19.0
2017-06-23,19.290000915527344
2017-06-26,19.25
2017-06-27,19.149999618530273
2017-06-28,19.25
2017-06-29,19.25
2017-06-30,19.149999618530273
2017-07-03,19.25
2017-07-05,19.399999618530273
2017-07-06,19.360000610351562
2017-07-07,19.40999984741211
2017-07-10,19.40999984741211
2017-07-11,19.540000915527344
2017-07-12,19.5
2017-07-13,19.540000915527344
2017-07-14,19.690000534057617
2017-07-17,19.639999389648438
2017-07-18,19.610000610351562
2017-07-19,19.5
2017-07-20,19.75
2017-07-21,19.850000381469727
2017-07-24,19.229999542236328
2017-07-25,18.989999771118164
2017-07-26,18.84000015258789
2017-07-27,18.309999465942383
2017-07-28,18.25
2017-07-31,18.600000381469727
2017-08-01,18.479999542236328
2017-08-02,18.5
2017-08-03,18.780000686645508
2017-08-04,18.610000610351562
2017-08-07,18.969999313354492
2017-08-08,18.920000076293945
2017-08-09,18.719999313354492
2017-08-10,18.899999618530273
2017-08-11,18.829999923706055
2017-08-14,19.0
2017-08-15,19.200000762939453
2017-08-16,19.40999984741211
2017-08-17,19.59000015258789
2017-08-18,19.600000381469727
2017-08-21,19.420000076293945
2017-08-22,19.170000076293945
2017-08-23,19.280000686645508
2017-08-24,19.31999969482422
2017-08-25,19.3700008392334
2017-08-28,19.59000015258789
2017-08-29,19.59000015258789
2017-08-30,19.649999618530273
2017-08-31,19.649999618530273
2017-09-01,19.6299991607666
2017-09-05,19.729999542236328
2017-09-06,19.780000686645508
2017-09-07,19.399999618530273
2017-09-08,19.450000762939453
2017-09-11,19.579999923706055
2017-09-12,19.670000076293945
2017-09-13,19.440000534057617
2017-09-14,19.600000381469727
2017-09-15,19.239999771118164
2017-09-18,19.139999389648438
2017-09-19,19.399999618530273
2017-09-20,19.270000457763672
2017-09-21,19.270000457763672
2017-09-22,19.100000381469727
2017-09-25,18.770000457763672
2017-09-26,18.729999542236328
2017-09-27,18.719999313354492
2017-09-28,18.329999923706055
2017-09-29,18.639999389648438
2017-10-02,18.780000686645508
2017-10-03,18.75
2017-10-04,18.729999542236328
2017-10-05,18.670000076293945
2017-10-06,18.649999618530273
2017-10-09,18.360000610351562
2017-10-10,18.770000457763672
2017-10-11,18.549999237060547
2017-10-12,18.360000610351562
2017-10-13,18.290000915527344
2017-10-16,18.309999465942383
2017-10-17,18.700000762939453
2017-10-18,18.799999237060547
2017-10-19,18.530000686645508
2017-10-20,18.3799991607666
2017-10-23,18.40999984741211
2017-10-24,18.5
2017-10-25,18.639999389648438
2017-10-26,18.399999618530273
2017-10-27,18.5
2017-10-30,18.3700008392334
2017-10-31,17.969999313354492
2017-11-01,17.979999542236328
2017-11-02,17.93000030517578
2017-11-03,18.020000457763672
2017-11-06,17.969999313354492
2017-11-07,17.360000610351562
2017-11-08,17.799999237060547
2017-11-09,17.899999618530273
2017-11-10,17.84000015258789
2017-11-13,17.709999084472656
2017-11-14,17.670000076293945
2017-11-15,17.850000381469727
2017-11-16,18.1299991607666
2017-11-17,18.200000762939453
2017-11-20,18.280000686645508
2017-11-21,18.3799991607666
2017-11-22,18.469999313354492
2017-11-24,18.43000030517578
2017-11-27,18.579999923706055
2017-11-28,18.489999771118164
2017-11-29,18.549999237060547
2017-11-30,18.299999237060547
2017-12-01,18.100000381469727
2017-12-04,17.799999237060547
2017-12-05,17.75
