,FITBP
2019-08-28,27.149999618530273
2019-08-29,26.75
2019-08-30,26.899999618530273
2019-09-03,27.020000457763672
2019-09-04,27.0
2019-09-05,26.899999618530273
2019-09-06,26.84000015258789
2019-09-09,26.850000381469727
2019-09-10,26.809999465942383
2019-09-11,26.979999542236328
2019-09-12,27.040000915527344
2019-09-13,26.760000228881836
2019-09-16,26.770000457763672
2019-09-17,26.899999618530273
2019-09-18,27.100000381469727
2019-09-19,27.100000381469727
2019-09-20,27.049999237060547
2019-09-23,27.100000381469727
2019-09-24,27.100000381469727
2019-09-25,27.299999237060547
2019-09-26,27.5
2019-09-27,27.639999389648438
2019-09-30,27.780000686645508
2019-10-01,27.1200008392334
2019-10-02,26.920000076293945
2019-10-03,26.969999313354492
2019-10-04,27.049999237060547
2019-10-07,27.040000915527344
2019-10-08,27.139999389648438
2019-10-09,27.25
2019-10-10,27.389999389648438
2019-10-11,27.559999465942383
2019-10-14,27.40999984741211
2019-10-15,27.59000015258789
2019-10-16,27.709999084472656
2019-10-17,28.459999084472656
2019-10-18,27.790000915527344
2019-10-21,27.770000457763672
2019-10-22,27.700000762939453
2019-10-23,27.600000381469727
2019-10-24,27.670000076293945
2019-10-25,27.540000915527344
2019-10-28,27.549999237060547
2019-10-29,27.31999969482422
2019-10-30,27.170000076293945
2019-10-31,27.459999084472656
2019-11-01,27.200000762939453
2019-11-04,27.209999084472656
2019-11-05,27.260000228881836
2019-11-06,27.100000381469727
2019-11-07,26.8700008392334
2019-11-08,26.959999084472656
2019-11-11,27.040000915527344
2019-11-12,27.030000686645508
2019-11-13,26.920000076293945
2019-11-14,26.969999313354492
2019-11-15,27.020000457763672
2019-11-18,27.040000915527344
2019-11-19,27.049999237060547
2019-11-20,26.979999542236328
2019-11-21,27.040000915527344
2019-11-22,27.100000381469727
2019-11-25,27.049999237060547
2019-11-26,26.860000610351562
2019-11-27,26.860000610351562
2019-11-29,26.799999237060547
2019-12-02,26.6299991607666
2019-12-03,26.670000076293945
2019-12-04,26.670000076293945
2019-12-05,27.06999969482422
2019-12-06,26.75
2019-12-09,27.030000686645508
2019-12-10,27.0
2019-12-11,27.079999923706055
2019-12-12,26.850000381469727
2019-12-13,27.100000381469727
2019-12-16,26.940000534057617
2019-12-17,27.139999389648438
2019-12-18,27.25
2019-12-19,27.3700008392334
2019-12-20,27.280000686645508
