,ARDS
2018-08-14,13.0
2018-08-15,12.960000038146973
2018-08-16,12.920000076293945
2018-08-17,12.930000305175781
2018-08-20,12.850000381469727
2018-08-21,12.920000076293945
2018-08-22,12.869999885559082
2018-08-23,13.010000228881836
2018-08-24,13.039999961853027
2018-08-27,13.109999656677246
2018-08-28,13.199999809265137
2018-08-29,13.5
2018-08-30,13.649999618530273
2018-08-31,13.449999809265137
2018-09-04,13.6899995803833
2018-09-05,13.630000114440918
2018-09-06,13.300000190734863
2018-09-07,12.119999885559082
2018-09-10,12.1899995803833
2018-09-11,12.369999885559082
2018-09-12,12.739999771118164
2018-09-13,12.699999809265137
2018-09-14,11.920000076293945
2018-09-17,12.6899995803833
2018-09-18,12.569999694824219
2018-09-19,12.800000190734863
2018-09-20,13.069999694824219
2018-09-21,12.010000228881836
2018-09-24,12.970000267028809
2018-09-25,13.100000381469727
2018-09-26,13.180000305175781
2018-09-27,12.930000305175781
2018-09-28,13.0600004196167
2018-10-01,12.449999809265137
2018-10-02,13.0
2018-10-03,12.979999542236328
2018-10-04,13.029999732971191
2018-10-05,12.859999656677246
2018-10-08,12.829999923706055
2018-10-09,12.399999618530273
2018-10-10,12.619999885559082
2018-10-11,12.609999656677246
2018-10-12,12.699999809265137
2018-10-15,12.699999809265137
2018-10-16,12.600000381469727
2018-10-17,12.600000381469727
2018-10-18,12.640000343322754
2018-10-19,12.5
2018-10-22,12.920000076293945
2018-10-23,12.600000381469727
2018-10-24,12.319999694824219
2018-10-25,12.350000381469727
2018-10-26,12.350000381469727
2018-10-29,12.479999542236328
2018-10-30,12.479999542236328
2018-10-31,12.300000190734863
2018-11-01,12.5
2018-11-02,12.229999542236328
2018-11-05,12.199999809265137
2018-11-06,11.960000038146973
2018-11-07,12.84000015258789
2018-11-08,12.170000076293945
2018-11-09,12.069999694824219
2018-11-12,12.149999618530273
2018-11-13,12.229999542236328
2018-11-14,12.489999771118164
2018-11-15,12.479999542236328
2018-11-16,12.619999885559082
2018-11-19,12.109999656677246
2018-11-20,12.100000381469727
2018-11-21,12.0
2018-11-23,11.949999809265137
2018-11-26,11.949999809265137
2018-11-27,12.420000076293945
2018-11-28,12.399999618530273
2018-11-29,12.399999618530273
2018-11-30,10.600000381469727
2018-12-03,9.949999809265137
2018-12-04,8.5
2018-12-06,8.800000190734863
2018-12-07,8.539999961853027
2018-12-10,7.949999809265137
2018-12-11,7.820000171661377
2018-12-12,9.0
2018-12-13,10.75
2018-12-14,9.600000381469727
2018-12-17,9.3100004196167
2018-12-18,9.229999542236328
