,FEM
2011-04-19,29.489999771118164
2011-04-20,30.149999618530273
2011-04-21,30.420000076293945
2011-04-25,30.270000457763672
2011-04-26,30.450000762939453
2011-04-27,30.450000762939453
2011-04-28,30.149999618530273
2011-04-29,30.329999923706055
2011-05-02,30.270000457763672
2011-05-03,29.690000534057617
2011-05-04,29.360000610351562
2011-05-05,29.25
2011-05-06,29.15999984741211
2011-05-09,29.43000030517578
2011-05-10,29.309999465942383
2011-05-11,29.049999237060547
2011-05-12,29.209999084472656
2011-05-13,28.5
2011-05-16,28.5
2011-05-17,28.549999237060547
2011-05-18,28.959999084472656
2011-05-19,28.940000534057617
2011-05-20,28.639999389648438
2011-05-23,28.1200008392334
2011-05-24,28.559999465942383
2011-05-25,28.59000015258789
2011-05-26,28.8700008392334
2011-05-27,29.010000228881836
2011-05-31,29.510000228881836
2011-06-01,29.18000030517578
2011-06-02,29.389999389648438
2011-06-03,29.459999084472656
2011-06-06,28.889999389648438
2011-06-07,29.3799991607666
2011-06-08,28.899999618530273
2011-06-09,28.989999771118164
2011-06-10,28.40999984741211
2011-06-13,28.329999923706055
2011-06-14,28.6299991607666
2011-06-15,28.1299991607666
2011-06-16,27.850000381469727
2011-06-17,28.010000228881836
2011-06-20,27.600000381469727
2011-06-21,28.170000076293945
2011-06-22,28.06999969482422
2011-06-23,27.950000762939453
2011-06-24,27.84000015258789
2011-06-27,28.270000457763672
2011-06-28,28.34000015258789
2011-06-29,28.31999969482422
2011-06-30,28.920000076293945
2011-07-01,29.440000534057617
2011-07-05,29.440000534057617
2011-07-06,29.299999237060547
2011-07-07,29.639999389648438
2011-07-08,29.360000610351562
2011-07-11,28.719999313354492
2011-07-12,28.469999313354492
2011-07-13,29.010000228881836
2011-07-14,28.68000030517578
2011-07-15,28.520000457763672
2011-07-18,28.139999389648438
2011-07-19,28.65999984741211
2011-07-20,28.850000381469727
2011-07-21,29.200000762939453
2011-07-22,29.209999084472656
2011-07-25,29.139999389648438
2011-07-26,29.299999237060547
2011-07-27,29.079999923706055
2011-07-28,28.989999771118164
2011-07-29,29.09000015258789
