,FRGI
2012-04-26,12.5
2012-04-27,12.0
2012-04-30,12.0
2012-05-01,11.25
2012-05-02,11.149999618530273
2012-05-03,11.149999618530273
2012-05-04,11.149999618530273
2012-05-07,11.100000381469727
2012-05-08,11.5
2012-05-09,12.350000381469727
2012-05-10,12.529999732971191
2012-05-11,12.25
2012-05-14,12.149999618530273
2012-05-15,12.100000381469727
2012-05-16,12.140000343322754
2012-05-17,12.029999732971191
2012-05-18,11.699999809265137
2012-05-21,12.020000457763672
2012-05-22,11.75
2012-05-23,11.699999809265137
2012-05-24,12.300000190734863
2012-05-25,12.289999961853027
2012-05-29,12.34000015258789
2012-05-30,12.170000076293945
2012-05-31,12.199999809265137
2012-06-01,12.029999732971191
2012-06-04,12.0
2012-06-05,11.760000228881836
2012-06-06,12.350000381469727
2012-06-07,12.359999656677246
2012-06-08,12.710000038146973
2012-06-11,12.289999961853027
2012-06-12,12.109999656677246
2012-06-13,11.989999771118164
2012-06-14,12.029999732971191
2012-06-15,12.09000015258789
2012-06-18,12.0600004196167
2012-06-19,12.399999618530273
2012-06-20,13.0
2012-06-21,12.75
2012-06-22,12.529999732971191
2012-06-25,12.529999732971191
2012-06-26,12.59000015258789
2012-06-27,12.75
2012-06-28,12.770000457763672
2012-06-29,13.229999542236328
2012-07-02,13.15999984741211
2012-07-03,13.869999885559082
2012-07-05,14.529999732971191
2012-07-06,14.369999885559082
2012-07-09,14.529999732971191
2012-07-10,14.520000457763672
2012-07-11,14.970000267028809
2012-07-12,15.079999923706055
2012-07-13,15.5600004196167
2012-07-16,15.119999885559082
2012-07-17,15.550000190734863
2012-07-18,15.920000076293945
2012-07-19,15.630000114440918
2012-07-20,15.0
2012-07-23,14.970000267028809
2012-07-24,14.970000267028809
2012-07-25,15.020000457763672
2012-07-26,15.039999961853027
2012-07-27,15.149999618530273
2012-07-30,15.300000190734863
2012-07-31,15.390000343322754
2012-08-01,15.229999542236328
2012-08-02,15.270000457763672
2012-08-03,15.739999771118164
2012-08-06,15.9399995803833
2012-08-07,16.360000610351562
2012-08-08,15.3100004196167
2012-08-09,15.920000076293945
2012-08-10,16.139999389648438
2012-08-13,16.15999984741211
2012-08-14,16.09000015258789
2012-08-15,16.0
2012-08-16,16.18000030517578
2012-08-17,16.420000076293945
2012-08-20,16.559999465942383
2012-08-21,16.75
2012-08-22,16.549999237060547
2012-08-23,16.15999984741211
2012-08-24,15.890000343322754
2012-08-27,15.899999618530273
2012-08-28,15.850000381469727
2012-08-29,15.449999809265137
2012-08-30,15.75
2012-08-31,16.059999465942383
2012-09-04,15.829999923706055
2012-09-05,15.890000343322754
2012-09-06,16.18000030517578
2012-09-07,16.25
2012-09-10,16.200000762939453
2012-09-11,16.299999237060547
2012-09-12,16.239999771118164
2012-09-13,16.3799991607666
2012-09-14,16.3799991607666
2012-09-17,16.649999618530273
2012-09-18,16.739999771118164
2012-09-19,16.8799991607666
2012-09-20,17.0
2012-09-21,16.760000228881836
2012-09-24,16.610000610351562
2012-09-25,16.200000762939453
2012-09-26,15.890000343322754
2012-09-27,15.850000381469727
2012-09-28,15.869999885559082
2012-10-01,15.550000190734863
2012-10-02,15.489999771118164
2012-10-03,15.1899995803833
2012-10-04,15.25
2012-10-05,14.359999656677246
2012-10-08,14.460000038146973
2012-10-09,14.550000190734863
2012-10-10,14.380000114440918
2012-10-11,14.4399995803833
2012-10-12,14.430000305175781
2012-10-15,14.640000343322754
2012-10-16,14.680000305175781
2012-10-17,14.670000076293945
2012-10-18,13.960000038146973
2012-10-19,13.390000343322754
2012-10-22,13.399999618530273
2012-10-23,13.220000267028809
2012-10-24,13.069999694824219
2012-10-25,13.149999618530273
2012-10-26,13.140000343322754
2012-10-31,13.220000267028809
2012-11-01,13.420000076293945
2012-11-02,13.100000381469727
2012-11-05,13.1899995803833
2012-11-06,13.5
2012-11-07,13.489999771118164
2012-11-08,13.460000038146973
2012-11-09,13.460000038146973
2012-11-12,13.520000457763672
2012-11-13,15.350000381469727
2012-11-14,14.390000343322754
2012-11-15,14.649999618530273
2012-11-16,15.010000228881836
2012-11-19,15.199999809265137
2012-11-20,14.989999771118164
2012-11-21,14.979999542236328
2012-11-23,15.260000228881836
2012-11-26,15.050000190734863
2012-11-27,14.5
2012-11-28,14.84000015258789
2012-11-29,15.020000457763672
2012-11-30,15.039999961853027
2012-12-03,14.579999923706055
2012-12-04,14.130000114440918
2012-12-05,14.069999694824219
2012-12-06,13.720000267028809
2012-12-07,13.520000457763672
2012-12-10,14.050000190734863
2012-12-11,13.9399995803833
2012-12-12,13.920000076293945
2012-12-13,15.100000381469727
2012-12-14,15.710000038146973
2012-12-17,16.420000076293945
2012-12-18,15.510000228881836
2012-12-19,15.180000305175781
2012-12-20,15.239999771118164
2012-12-21,15.199999809265137
2012-12-24,15.25
2012-12-26,15.270000457763672
2012-12-27,15.260000228881836
2012-12-28,15.119999885559082
2012-12-31,15.319999694824219
2013-01-02,16.399999618530273
2013-01-03,16.399999618530273
2013-01-04,16.420000076293945
2013-01-07,16.399999618530273
2013-01-08,16.34000015258789
2013-01-09,16.510000228881836
2013-01-10,16.639999389648438
2013-01-11,16.549999237060547
2013-01-14,16.649999618530273
2013-01-15,16.889999389648438
2013-01-16,17.049999237060547
2013-01-17,18.209999084472656
2013-01-18,18.690000534057617
2013-01-22,18.559999465942383
2013-01-23,18.219999313354492
2013-01-24,17.559999465942383
2013-01-25,18.06999969482422
2013-01-28,18.25
2013-01-29,18.200000762939453
2013-01-30,18.020000457763672
2013-01-31,17.809999465942383
2013-02-01,18.309999465942383
2013-02-04,17.90999984741211
2013-02-05,18.239999771118164
2013-02-06,18.25
2013-02-07,18.010000228881836
2013-02-08,18.299999237060547
2013-02-11,18.639999389648438
2013-02-12,19.510000228881836
2013-02-13,20.1299991607666
2013-02-14,20.540000915527344
2013-02-15,20.459999084472656
2013-02-19,20.84000015258789
2013-02-20,20.440000534057617
2013-02-21,20.459999084472656
2013-02-22,20.1299991607666
2013-02-25,21.270000457763672
2013-02-26,22.010000228881836
2013-02-27,22.3799991607666
2013-02-28,22.600000381469727
2013-03-01,22.43000030517578
2013-03-04,22.8700008392334
2013-03-05,24.030000686645508
2013-03-06,23.739999771118164
2013-03-07,24.0
2013-03-08,24.09000015258789
2013-03-11,23.920000076293945
2013-03-12,23.3799991607666
2013-03-13,24.040000915527344
2013-03-14,24.979999542236328
2013-03-15,24.860000610351562
2013-03-18,23.780000686645508
2013-03-19,24.40999984741211
2013-03-20,24.610000610351562
2013-03-21,24.579999923706055
2013-03-22,25.959999084472656
2013-03-25,26.270000457763672
2013-03-26,26.700000762939453
2013-03-27,26.920000076293945
2013-03-28,26.56999969482422
2013-04-01,26.18000030517578
2013-04-02,26.65999984741211
2013-04-03,26.100000381469727
2013-04-04,26.040000915527344
2013-04-05,25.479999542236328
2013-04-08,25.559999465942383
2013-04-09,25.559999465942383
2013-04-10,25.639999389648438
2013-04-11,25.239999771118164
2013-04-12,24.729999542236328
2013-04-15,23.59000015258789
2013-04-16,24.739999771118164
2013-04-17,24.010000228881836
2013-04-18,24.06999969482422
2013-04-19,24.799999237060547
2013-04-22,24.5
2013-04-23,25.049999237060547
2013-04-24,24.81999969482422
2013-04-25,26.0
2013-04-26,25.979999542236328
2013-04-29,26.309999465942383
2013-04-30,27.260000228881836
2013-05-01,27.389999389648438
2013-05-02,27.940000534057617
2013-05-03,29.389999389648438
2013-05-06,28.770000457763672
2013-05-07,31.170000076293945
2013-05-08,30.0
2013-05-09,29.290000915527344
2013-05-10,29.360000610351562
2013-05-13,29.18000030517578
2013-05-14,29.979999542236328
2013-05-15,31.3700008392334
2013-05-16,31.459999084472656
2013-05-17,31.440000534057617
2013-05-20,31.829999923706055
2013-05-21,32.630001068115234
2013-05-22,33.849998474121094
2013-05-23,33.81999969482422
2013-05-24,33.9900016784668
2013-05-28,34.86000061035156
2013-05-29,34.86000061035156
2013-05-30,34.939998626708984
2013-05-31,35.56999969482422
2013-06-03,36.56999969482422
2013-06-04,35.41999816894531
2013-06-05,34.099998474121094
2013-06-06,34.720001220703125
2013-06-07,34.79999923706055
2013-06-10,36.040000915527344
2013-06-11,35.029998779296875
2013-06-12,35.36000061035156
2013-06-13,34.88999938964844
2013-06-14,35.18000030517578
2013-06-17,36.650001525878906
2013-06-18,37.689998626708984
2013-06-19,37.41999816894531
2013-06-20,36.119998931884766
2013-06-21,35.66999816894531
2013-06-24,33.619998931884766
2013-06-25,34.09000015258789
2013-06-26,34.150001525878906
2013-06-27,34.33000183105469
2013-06-28,34.36000061035156
2013-07-01,34.459999084472656
2013-07-02,34.9900016784668
2013-07-03,34.88999938964844
2013-07-05,35.0
2013-07-08,35.0
2013-07-09,34.88999938964844
2013-07-10,34.880001068115234
2013-07-11,34.900001525878906
2013-07-12,35.41999816894531
2013-07-15,34.439998626708984
2013-07-16,34.34000015258789
2013-07-17,33.779998779296875
2013-07-18,34.72999954223633
2013-07-19,33.66999816894531
2013-07-22,33.33000183105469
2013-07-23,32.63999938964844
2013-07-24,32.939998626708984
2013-07-25,32.099998474121094
2013-07-26,32.459999084472656
2013-07-29,30.8700008392334
2013-07-30,31.450000762939453
2013-07-31,31.549999237060547
2013-08-01,32.2599983215332
2013-08-02,32.83000183105469
2013-08-05,32.290000915527344
2013-08-06,31.850000381469727
2013-08-07,31.440000534057617
2013-08-08,31.43000030517578
2013-08-09,34.72999954223633
2013-08-12,34.470001220703125
2013-08-13,34.0099983215332
2013-08-14,34.279998779296875
2013-08-15,33.27000045776367
2013-08-16,33.029998779296875
2013-08-19,31.56999969482422
2013-08-20,32.380001068115234
2013-08-21,32.619998931884766
2013-08-22,32.599998474121094
2013-08-23,33.27000045776367
2013-08-26,31.829999923706055
2013-08-27,31.399999618530273
2013-08-28,31.950000762939453
2013-08-29,33.0
2013-08-30,32.66999816894531
2013-09-03,31.940000534057617
2013-09-04,31.719999313354492
2013-09-05,32.119998931884766
2013-09-06,31.969999313354492
2013-09-09,34.290000915527344
2013-09-10,35.540000915527344
2013-09-11,35.54999923706055
2013-09-12,34.88999938964844
2013-09-13,34.56999969482422
2013-09-16,34.88999938964844
2013-09-17,36.540000915527344
2013-09-18,37.20000076293945
2013-09-19,36.47999954223633
2013-09-20,36.209999084472656
2013-09-23,35.880001068115234
2013-09-24,36.959999084472656
2013-09-25,37.310001373291016
2013-09-26,37.470001220703125
2013-09-27,37.560001373291016
2013-09-30,37.630001068115234
2013-10-01,37.720001220703125
2013-10-02,38.56999969482422
2013-10-03,38.4900016784668
2013-10-04,38.86000061035156
2013-10-07,38.150001525878906
2013-10-08,36.7599983215332
2013-10-09,36.709999084472656
2013-10-10,37.0
2013-10-11,38.41999816894531
2013-10-14,38.810001373291016
2013-10-15,38.849998474121094
2013-10-16,39.27000045776367
2013-10-17,39.84000015258789
2013-10-18,40.0099983215332
2013-10-21,39.939998626708984
2013-10-22,40.29999923706055
2013-10-23,40.09000015258789
2013-10-24,41.709999084472656
2013-10-25,41.459999084472656
2013-10-28,41.56999969482422
2013-10-29,42.41999816894531
2013-10-30,41.029998779296875
2013-10-31,42.38999938964844
2013-11-01,41.560001373291016
2013-11-04,41.4900016784668
2013-11-05,42.279998779296875
2013-11-06,44.470001220703125
2013-11-07,42.22999954223633
2013-11-08,42.9900016784668
2013-11-11,42.91999816894531
2013-11-12,43.77000045776367
2013-11-13,46.540000915527344
2013-11-14,47.060001373291016
2013-11-15,47.939998626708984
2013-11-18,48.15999984741211
2013-11-19,48.0
2013-11-20,48.189998626708984
2013-11-21,48.130001068115234
2013-11-22,48.52000045776367
2013-11-25,48.709999084472656
2013-11-26,49.65999984741211
2013-11-27,49.13999938964844
2013-11-29,48.970001220703125
2013-12-02,48.09000015258789
2013-12-03,48.099998474121094
2013-12-04,49.150001525878906
2013-12-05,48.65999984741211
2013-12-06,48.560001373291016
2013-12-09,47.400001525878906
2013-12-10,46.40999984741211
2013-12-11,45.349998474121094
2013-12-12,45.060001373291016
2013-12-13,46.5099983215332
2013-12-16,47.83000183105469
2013-12-17,48.369998931884766
2013-12-18,48.279998779296875
2013-12-19,48.20000076293945
2013-12-20,49.939998626708984
2013-12-23,51.31999969482422
2013-12-24,50.83000183105469
2013-12-26,51.619998931884766
2013-12-27,51.2400016784668
2013-12-30,52.459999084472656
2013-12-31,52.2400016784668
2014-01-02,52.619998931884766
2014-01-03,51.689998626708984
2014-01-06,51.29999923706055
2014-01-07,50.79999923706055
2014-01-08,50.54999923706055
2014-01-09,49.790000915527344
2014-01-10,50.45000076293945
2014-01-13,48.33000183105469
2014-01-14,48.75
2014-01-15,48.790000915527344
2014-01-16,49.06999969482422
2014-01-17,47.130001068115234
2014-01-21,44.59000015258789
2014-01-22,44.7599983215332
2014-01-23,44.099998474121094
2014-01-24,43.709999084472656
2014-01-27,42.79999923706055
2014-01-28,43.25
2014-01-29,42.25
2014-01-30,43.130001068115234
2014-01-31,42.970001220703125
2014-02-03,40.54999923706055
2014-02-04,41.709999084472656
2014-02-05,40.58000183105469
2014-02-06,41.849998474121094
2014-02-07,44.540000915527344
2014-02-10,45.04999923706055
2014-02-11,46.439998626708984
2014-02-12,45.90999984741211
2014-02-13,46.11000061035156
2014-02-14,46.20000076293945
2014-02-18,45.880001068115234
2014-02-19,45.040000915527344
2014-02-20,46.060001373291016
2014-02-21,46.29999923706055
2014-02-24,47.880001068115234
2014-02-25,48.119998931884766
2014-02-26,50.560001373291016
2014-02-27,50.47999954223633
2014-02-28,50.22999954223633
2014-03-03,49.25
2014-03-04,50.310001373291016
2014-03-05,50.29999923706055
2014-03-06,50.290000915527344
2014-03-07,50.5
2014-03-10,50.099998474121094
2014-03-11,49.97999954223633
2014-03-12,50.150001525878906
2014-03-13,49.15999984741211
2014-03-14,49.150001525878906
2014-03-17,49.36000061035156
2014-03-18,49.41999816894531
2014-03-19,48.9900016784668
2014-03-20,48.959999084472656
2014-03-21,47.630001068115234
2014-03-24,44.900001525878906
2014-03-25,44.0099983215332
2014-03-26,43.709999084472656
2014-03-27,43.560001373291016
2014-03-28,45.279998779296875
2014-03-31,45.59000015258789
2014-04-01,44.90999984741211
2014-04-02,44.470001220703125
2014-04-03,43.16999816894531
2014-04-04,40.560001373291016
2014-04-07,38.61000061035156
2014-04-08,38.72999954223633
2014-04-09,40.7400016784668
2014-04-10,38.56999969482422
2014-04-11,39.04999923706055
2014-04-14,39.709999084472656
2014-04-15,39.65999984741211
2014-04-16,39.779998779296875
2014-04-17,39.43000030517578
2014-04-21,38.790000915527344
2014-04-22,40.349998474121094
2014-04-23,38.220001220703125
2014-04-24,37.310001373291016
2014-04-25,36.810001373291016
2014-04-28,36.91999816894531
2014-04-29,36.65999984741211
2014-04-30,36.61000061035156
2014-05-01,37.22999954223633
2014-05-02,37.31999969482422
2014-05-05,37.97999954223633
2014-05-06,37.099998474121094
2014-05-07,38.7400016784668
2014-05-08,37.279998779296875
2014-05-09,36.45000076293945
2014-05-12,37.86000061035156
2014-05-13,37.650001525878906
2014-05-14,36.310001373291016
2014-05-15,36.59000015258789
2014-05-16,37.130001068115234
2014-05-19,37.09000015258789
2014-05-20,36.58000183105469
2014-05-21,37.0
2014-05-22,38.369998931884766
2014-05-23,38.720001220703125
2014-05-27,41.189998626708984
2014-05-28,40.810001373291016
2014-05-29,40.619998931884766
2014-05-30,40.27000045776367
2014-06-02,41.869998931884766
2014-06-03,40.709999084472656
2014-06-04,41.47999954223633
2014-06-05,42.150001525878906
2014-06-06,42.68000030517578
2014-06-09,43.099998474121094
2014-06-10,43.380001068115234
2014-06-11,43.470001220703125
2014-06-12,42.220001220703125
2014-06-13,42.04999923706055
2014-06-16,42.54999923706055
2014-06-17,43.38999938964844
2014-06-18,44.060001373291016
2014-06-19,44.31999969482422
2014-06-20,44.880001068115234
2014-06-23,45.45000076293945
2014-06-24,45.04999923706055
2014-06-25,45.88999938964844
2014-06-26,46.25
2014-06-27,46.310001373291016
2014-06-30,46.40999984741211
2014-07-01,46.58000183105469
2014-07-02,46.40999984741211
2014-07-03,46.560001373291016
2014-07-07,45.849998474121094
2014-07-08,44.29999923706055
2014-07-09,45.16999816894531
2014-07-10,44.68000030517578
2014-07-11,44.52000045776367
2014-07-14,45.31999969482422
2014-07-15,44.779998779296875
2014-07-16,44.33000183105469
2014-07-17,45.0
2014-07-18,44.150001525878906
2014-07-21,42.84000015258789
2014-07-22,42.15999984741211
2014-07-23,43.0
2014-07-24,44.439998626708984
2014-07-25,44.470001220703125
2014-07-28,44.68000030517578
2014-07-29,46.09000015258789
2014-07-30,46.060001373291016
2014-07-31,45.380001068115234
2014-08-01,45.27000045776367
2014-08-04,45.58000183105469
2014-08-05,45.2599983215332
2014-08-06,47.11000061035156
2014-08-07,47.060001373291016
2014-08-08,48.560001373291016
