,BSJQ
2018-08-09,25.06999969482422
2018-08-10,25.030000686645508
2018-08-13,25.030000686645508
2018-08-14,24.959999084472656
2018-08-15,24.969999313354492
2018-08-16,24.969999313354492
2018-08-17,25.010000228881836
2018-08-20,25.020000457763672
2018-08-21,25.09000015258789
2018-08-22,25.09000015258789
2018-08-23,25.09000015258789
2018-08-24,25.149999618530273
2018-08-27,25.170000076293945
2018-08-28,25.170000076293945
2018-08-29,25.1200008392334
2018-08-30,25.170000076293945
2018-08-31,25.170000076293945
2018-09-04,25.170000076293945
2018-09-05,25.1200008392334
2018-09-06,25.139999389648438
2018-09-07,25.139999389648438
2018-09-10,25.149999618530273
2018-09-11,25.200000762939453
2018-09-12,25.209999084472656
2018-09-13,25.209999084472656
2018-09-14,25.239999771118164
2018-09-17,25.239999771118164
2018-09-18,25.31999969482422
2018-09-19,25.299999237060547
2018-09-20,25.299999237060547
2018-09-21,25.299999237060547
2018-09-24,25.100000381469727
2018-09-25,25.239999771118164
2018-09-26,25.209999084472656
2018-09-27,25.270000457763672
2018-09-28,25.299999237060547
2018-10-01,25.299999237060547
2018-10-02,25.219999313354492
2018-10-03,25.200000762939453
2018-10-04,25.040000915527344
2018-10-05,25.0
2018-10-08,24.829999923706055
2018-10-09,24.850000381469727
2018-10-10,24.65999984741211
2018-10-11,24.68000030517578
2018-10-12,24.780000686645508
2018-10-15,24.739999771118164
2018-10-16,24.8700008392334
2018-10-17,24.799999237060547
2018-10-18,24.709999084472656
2018-10-19,24.690000534057617
2018-10-22,24.690000534057617
2018-10-23,24.530000686645508
2018-10-24,24.540000915527344
2018-10-25,24.549999237060547
2018-10-26,24.549999237060547
2018-10-29,24.420000076293945
2018-10-30,24.3700008392334
2018-10-31,24.3700008392334
2018-11-01,24.3700008392334
2018-11-02,24.510000228881836
2018-11-05,24.520000457763672
2018-11-06,24.579999923706055
2018-11-07,24.579999923706055
2018-11-08,24.739999771118164
2018-11-09,24.600000381469727
2018-11-12,24.440000534057617
2018-11-13,24.399999618530273
2018-11-14,24.3700008392334
2018-11-15,24.309999465942383
2018-11-16,24.229999542236328
2018-11-19,24.059999465942383
2018-11-20,23.989999771118164
2018-11-21,24.15999984741211
2018-11-23,24.049999237060547
2018-11-26,24.049999237060547
2018-11-27,24.030000686645508
2018-11-28,24.25
2018-11-29,24.25
2018-11-30,24.25
2018-12-03,24.399999618530273
2018-12-04,24.420000076293945
2018-12-06,24.280000686645508
2018-12-07,24.09000015258789
2018-12-10,24.209999084472656
2018-12-11,24.229999542236328
2018-12-12,24.329999923706055
2018-12-13,24.360000610351562
2018-12-14,24.290000915527344
2018-12-17,24.15999984741211
2018-12-18,24.020000457763672
2018-12-19,23.790000915527344
2018-12-20,23.579999923706055
2018-12-21,23.440000534057617
2018-12-24,23.020000457763672
2018-12-26,23.420000076293945
2018-12-27,23.420000076293945
2018-12-28,23.440000534057617
2018-12-31,23.5
2019-01-02,23.459999084472656
2019-01-03,23.3799991607666
2019-01-04,23.889999389648438
2019-01-07,24.170000076293945
2019-01-08,24.3799991607666
2019-01-09,24.43000030517578
2019-01-10,24.5
2019-01-11,24.459999084472656
2019-01-14,24.360000610351562
2019-01-15,24.43000030517578
2019-01-16,24.479999542236328
2019-01-17,24.559999465942383
2019-01-18,24.649999618530273
2019-01-22,24.450000762939453
2019-01-23,24.440000534057617
2019-01-24,24.469999313354492
2019-01-25,24.549999237060547
2019-01-28,24.489999771118164
2019-01-29,24.479999542236328
2019-01-30,24.65999984741211
2019-01-31,24.739999771118164
2019-02-01,24.729999542236328
2019-02-04,24.780000686645508
2019-02-05,24.920000076293945
2019-02-06,24.8799991607666
2019-02-07,24.760000228881836
2019-02-08,24.760000228881836
2019-02-11,24.809999465942383
2019-02-12,24.979999542236328
2019-02-13,24.93000030517578
2019-02-14,24.889999389648438
2019-02-15,24.989999771118164
2019-02-19,24.920000076293945
2019-02-20,24.93000030517578
2019-02-21,24.889999389648438
2019-02-22,24.969999313354492
2019-02-25,25.020000457763672
2019-02-26,25.040000915527344
2019-02-27,25.049999237060547
2019-02-28,25.0
2019-03-01,25.110000610351562
2019-03-04,25.09000015258789
2019-03-05,25.1299991607666
2019-03-06,25.030000686645508
2019-03-07,24.940000534057617
2019-03-08,24.940000534057617
2019-03-11,25.0
2019-03-12,25.020000457763672
2019-03-13,25.100000381469727
2019-03-14,25.079999923706055
2019-03-15,25.110000610351562
2019-03-18,25.030000686645508
2019-03-19,24.969999313354492
2019-03-20,25.1200008392334
2019-03-21,25.139999389648438
2019-03-22,25.010000228881836
2019-03-25,25.040000915527344
2019-03-26,25.059999465942383
2019-03-27,25.049999237060547
2019-03-28,25.1299991607666
2019-03-29,25.170000076293945
2019-04-01,25.229999542236328
2019-04-02,25.190000534057617
2019-04-03,25.219999313354492
2019-04-04,25.270000457763672
2019-04-05,25.360000610351562
2019-04-08,25.329999923706055
2019-04-09,25.350000381469727
2019-04-10,25.43000030517578
2019-04-11,25.489999771118164
2019-04-12,25.56999969482422
2019-04-15,25.56999969482422
2019-04-16,25.549999237060547
2019-04-17,25.540000915527344
2019-04-18,25.540000915527344
2019-04-22,25.399999618530273
2019-04-23,25.5
2019-04-24,25.489999771118164
2019-04-25,25.479999542236328
2019-04-26,25.530000686645508
2019-04-29,25.5
2019-04-30,25.510000228881836
2019-05-01,25.459999084472656
