,DWAT
2014-10-01,9.819999694824219
2014-10-02,9.836000442504883
2014-10-03,9.9399995803833
2014-10-06,9.899999618530273
2014-10-07,9.800000190734863
2014-10-08,9.9399995803833
2014-10-09,9.760000228881836
2014-10-10,9.699999809265137
2014-10-13,9.59000015258789
2014-10-14,9.59000015258789
2014-10-15,9.390000343322754
2014-10-16,9.479999542236328
2014-10-17,9.579999923706055
2014-10-20,9.579999923706055
2014-10-21,9.857000350952148
2014-10-22,9.829999923706055
2014-10-23,9.890000343322754
2014-10-24,9.939000129699707
2014-10-27,9.960000038146973
2014-10-28,10.0600004196167
2014-10-29,10.020000457763672
2014-10-30,10.109999656677246
2014-10-31,10.239999771118164
2014-11-03,10.239999771118164
2014-11-04,10.220000267028809
2014-11-05,10.260000228881836
2014-11-06,10.270000457763672
2014-11-07,10.25
2014-11-10,10.300000190734863
2014-11-11,10.300000190734863
2014-11-12,10.279999732971191
2014-11-13,10.279999732971191
2014-11-14,10.258999824523926
2014-11-17,10.300000190734863
2014-11-18,10.35200023651123
2014-11-19,10.3100004196167
2014-11-20,10.329999923706055
2014-11-21,10.390000343322754
2014-11-24,10.399999618530273
2014-11-25,10.406999588012695
2014-11-26,10.449000358581543
2014-11-28,10.470000267028809
2014-12-01,10.430000305175781
2014-12-02,10.489999771118164
2014-12-03,10.51099967956543
2014-12-04,10.49899959564209
2014-12-05,10.520000457763672
2014-12-08,10.519000053405762
2014-12-09,10.496999740600586
2014-12-10,10.390000343322754
2014-12-11,10.444999694824219
2014-12-12,10.3100004196167
2014-12-15,10.229999542236328
2014-12-16,10.109999656677246
2014-12-17,10.333999633789062
2014-12-18,10.40999984741211
2014-12-19,10.54699993133545
2014-12-22,10.609999656677246
2014-12-23,10.583000183105469
2014-12-24,10.630000114440918
2014-12-26,10.680000305175781
2014-12-29,10.640000343322754
2014-12-30,10.600000381469727
2014-12-31,10.470000267028809
2015-01-02,10.5
2015-01-05,10.369999885559082
2015-01-06,10.300000190734863
2015-01-07,10.399999618530273
2015-01-08,10.600000381469727
2015-01-09,10.54800033569336
2015-01-12,10.510000228881836
2015-01-13,10.479999542236328
2015-01-14,10.449999809265137
2015-01-15,10.399999618530273
2015-01-16,10.484000205993652
2015-01-20,10.487000465393066
2015-01-21,10.524999618530273
2015-01-22,10.6899995803833
2015-01-23,10.649999618530273
2015-01-26,10.689000129699707
2015-01-27,10.59000015258789
2015-01-28,10.470000267028809
2015-01-29,10.527000427246094
2015-01-30,10.479000091552734
2015-02-02,10.4399995803833
2015-02-03,10.529999732971191
2015-02-04,10.520000457763672
2015-02-05,10.656999588012695
2015-02-06,10.539999961853027
2015-02-09,10.510000228881836
2015-02-10,10.630000114440918
2015-02-11,10.600000381469727
2015-02-12,10.670999526977539
2015-02-13,10.67199993133545
2015-02-17,10.67300033569336
2015-02-18,10.75
2015-02-19,10.680000305175781
2015-02-20,10.75
2015-02-23,10.776000022888184
2015-02-24,10.720000267028809
2015-02-25,10.699999809265137
2015-02-26,10.65999984741211
2015-02-27,10.699999809265137
2015-03-02,10.699999809265137
2015-03-03,10.699999809265137
2015-03-04,10.640000343322754
2015-03-05,10.680000305175781
2015-03-06,10.449999809265137
2015-03-09,10.460000038146973
2015-03-10,10.407999992370605
2015-03-11,10.369999885559082
2015-03-12,10.46399974822998
2015-03-13,10.458999633789062
2015-03-16,10.630000114440918
2015-03-17,10.54699993133545
2015-03-18,10.54699993133545
2015-03-19,10.680000305175781
2015-03-20,10.871000289916992
2015-03-23,10.90999984741211
2015-03-24,10.90999984741211
2015-03-25,10.699999809265137
2015-03-26,10.619999885559082
2015-03-27,10.571999549865723
2015-03-30,10.760000228881836
2015-03-31,10.649999618530273
2015-04-01,10.569999694824219
2015-04-02,10.670000076293945
2015-04-06,10.720000267028809
2015-04-07,10.6899995803833
2015-04-08,10.680999755859375
2015-04-09,10.654000282287598
2015-04-10,10.710000038146973
2015-04-13,10.6899995803833
2015-04-14,10.65999984741211
2015-04-15,10.699999809265137
2015-04-16,10.699999809265137
2015-04-17,10.5600004196167
2015-04-20,10.649999618530273
2015-04-21,10.670000076293945
2015-04-22,10.699999809265137
2015-04-23,10.680999755859375
2015-04-24,10.65999984741211
2015-04-27,10.65999984741211
2015-04-28,10.609999656677246
2015-04-29,10.569999694824219
2015-04-30,10.489999771118164
2015-05-01,10.539999961853027
2015-05-04,10.5600004196167
2015-05-05,10.399999618530273
2015-05-06,10.32699966430664
2015-05-07,10.32699966430664
2015-05-08,10.54800033569336
2015-05-11,10.529999732971191
2015-05-12,10.494000434875488
2015-05-13,10.470000267028809
2015-05-14,10.569999694824219
2015-05-15,10.579999923706055
2015-05-18,10.640000343322754
2015-05-19,10.649999618530273
2015-05-20,10.657999992370605
2015-05-21,10.670000076293945
2015-05-22,10.649999618530273
2015-05-26,10.579999923706055
2015-05-27,10.680000305175781
2015-05-28,10.630000114440918
2015-05-29,10.593000411987305
2015-06-01,10.649999618530273
2015-06-02,10.607000350952148
2015-06-03,10.609999656677246
2015-06-04,10.609999656677246
2015-06-05,10.508000373840332
2015-06-08,10.475000381469727
