,CSSE
2017-08-18,9.25
2017-08-21,10.1899995803833
2017-08-22,10.430000305175781
2017-08-23,11.550000190734863
2017-08-24,11.329999923706055
2017-08-25,10.609999656677246
2017-08-28,10.350000381469727
2017-08-29,9.880000114440918
2017-08-30,9.699999809265137
2017-08-31,9.569999694824219
2017-09-01,9.739999771118164
2017-09-05,8.699999809265137
2017-09-06,8.399999618530273
2017-09-07,7.699999809265137
2017-09-08,7.989999771118164
2017-09-11,8.109999656677246
2017-09-12,7.989999771118164
2017-09-13,7.710000038146973
2017-09-14,7.230000019073486
2017-09-15,7.110000133514404
2017-09-18,7.070000171661377
2017-09-19,7.53000020980835
2017-09-20,8.25
2017-09-21,8.600000381469727
2017-09-22,8.899999618530273
2017-09-25,8.670000076293945
2017-09-26,7.989999771118164
2017-09-27,7.28000020980835
2017-09-28,7.139999866485596
2017-09-29,7.190000057220459
2017-10-02,7.159999847412109
2017-10-03,7.409999847412109
2017-10-04,7.25
2017-10-05,7.440000057220459
2017-10-06,8.149999618530273
2017-10-09,7.840000152587891
2017-10-10,7.78000020980835
2017-10-11,7.300000190734863
2017-10-12,7.360000133514404
2017-10-13,7.421999931335449
2017-10-16,7.445000171661377
2017-10-17,7.110000133514404
2017-10-18,7.079999923706055
2017-10-19,7.150000095367432
2017-10-20,7.159999847412109
2017-10-23,7.820000171661377
2017-10-24,8.25
2017-10-25,7.349999904632568
2017-10-26,7.409999847412109
2017-10-27,7.489999771118164
2017-10-30,7.679999828338623
2017-10-31,7.489999771118164
2017-11-01,7.610000133514404
2017-11-02,7.809999942779541
2017-11-03,8.029999732971191
2017-11-06,8.819999694824219
2017-11-07,8.789999961853027
2017-11-08,8.710000038146973
2017-11-09,8.619999885559082
2017-11-10,8.319999694824219
2017-11-13,8.90999984741211
2017-11-14,8.4399995803833
2017-11-15,8.569999694824219
2017-11-16,8.300000190734863
2017-11-17,8.470000267028809
2017-11-20,8.25
2017-11-21,8.350000381469727
2017-11-22,8.350000381469727
2017-11-24,8.15999984741211
2017-11-27,8.390000343322754
2017-11-28,8.25
2017-11-29,8.180000305175781
2017-11-30,8.010000228881836
2017-12-01,8.109999656677246
2017-12-04,8.109999656677246
2017-12-05,8.15999984741211
2017-12-06,8.170000076293945
2017-12-07,8.130000114440918
2017-12-08,8.100000381469727
2017-12-11,9.479999542236328
2017-12-12,9.239999771118164
2017-12-13,10.510000228881836
2017-12-14,10.479999542236328
2017-12-15,10.8100004196167
2017-12-18,10.609999656677246
2017-12-19,9.59000015258789
2017-12-20,9.5
2017-12-21,9.609999656677246
2017-12-22,9.630000114440918
2017-12-26,9.609999656677246
2017-12-27,9.369999885559082
2017-12-28,9.420000076293945
2017-12-29,9.0
2018-01-02,9.0600004196167
2018-01-03,9.050000190734863
2018-01-04,9.0
2018-01-05,9.220000267028809
2018-01-08,9.420000076293945
2018-01-09,9.90999984741211
2018-01-10,10.399999618530273
2018-01-11,10.010000228881836
2018-01-12,10.130000114440918
2018-01-16,10.5
2018-01-17,10.699999809265137
2018-01-18,10.529999732971191
2018-01-19,10.359999656677246
2018-01-22,10.59000015258789
2018-01-23,10.140000343322754
2018-01-24,10.130000114440918
2018-01-25,9.819999694824219
2018-01-26,9.850000381469727
2018-01-29,9.880000114440918
2018-01-30,9.4399995803833
2018-01-31,9.359999656677246
2018-02-01,9.3100004196167
2018-02-02,9.279999732971191
2018-02-05,9.0
2018-02-06,9.390000343322754
2018-02-07,8.770000457763672
2018-02-08,8.829999923706055
2018-02-09,8.699999809265137
2018-02-12,8.359999656677246
