,CLOV
2020-06-12,10.199999809265137
2020-06-15,10.329999923706055
2020-06-16,10.399999618530273
2020-06-17,10.5
2020-06-18,10.600000381469727
2020-06-19,10.600000381469727
2020-06-22,11.020000457763672
2020-06-23,11.079999923706055
2020-06-24,10.949999809265137
2020-06-25,10.989999771118164
2020-06-26,10.9399995803833
2020-06-29,11.029999732971191
2020-06-30,11.180000305175781
2020-07-01,10.960000038146973
2020-07-02,10.850000381469727
2020-07-06,10.9399995803833
2020-07-07,10.84000015258789
2020-07-08,10.819999694824219
2020-07-09,10.989999771118164
2020-07-10,11.229999542236328
2020-07-13,11.100000381469727
2020-07-14,10.970000267028809
2020-07-15,10.989999771118164
2020-07-16,10.949999809265137
2020-07-17,11.050000190734863
2020-07-20,11.15999984741211
2020-07-21,11.130000114440918
2020-07-22,11.199999809265137
2020-07-23,11.020000457763672
2020-07-24,11.069999694824219
2020-07-27,11.069999694824219
2020-07-28,11.0
2020-07-29,10.850000381469727
2020-07-30,10.649999618530273
2020-07-31,10.550000190734863
2020-08-03,10.600000381469727
2020-08-04,10.579999923706055
2020-08-05,10.649999618530273
2020-08-06,10.600000381469727
2020-08-07,10.5
2020-08-10,10.489999771118164
2020-08-11,10.5
2020-08-12,10.510000228881836
2020-08-13,10.5
2020-08-14,10.5
2020-08-17,10.569999694824219
2020-08-18,10.489999771118164
2020-08-19,10.479999542236328
2020-08-20,10.390000343322754
2020-08-21,10.5
2020-08-24,10.59000015258789
2020-08-25,10.550000190734863
2020-08-26,10.449999809265137
2020-08-27,10.420000076293945
2020-08-28,10.430000305175781
2020-08-31,10.5
2020-09-01,10.5600004196167
2020-09-02,10.6899995803833
2020-09-03,10.720000267028809
2020-09-04,10.949999809265137
2020-09-08,11.100000381469727
2020-09-09,11.100000381469727
2020-09-10,11.199999809265137
2020-09-11,11.579999923706055
2020-09-14,11.75
2020-09-15,12.149999618530273
2020-09-16,12.199999809265137
2020-09-17,12.399999618530273
2020-09-18,12.5600004196167
2020-09-21,11.930000305175781
2020-09-22,12.0
2020-09-23,11.65999984741211
2020-09-24,11.649999618530273
2020-09-25,11.979999542236328
2020-09-28,12.399999618530273
2020-09-29,13.140000343322754
2020-09-30,12.460000038146973
2020-10-01,12.9399995803833
2020-10-02,12.930000305175781
2020-10-05,12.680000305175781
2020-10-06,10.970000267028809
2020-10-07,10.699999809265137
2020-10-08,10.600000381469727
2020-10-09,10.569999694824219
2020-10-12,10.680000305175781
2020-10-13,10.59000015258789
2020-10-14,10.520000457763672
2020-10-15,10.470000267028809
2020-10-16,10.680000305175781
2020-10-19,10.640000343322754
2020-10-20,10.350000381469727
2020-10-21,10.220000267028809
2020-10-22,10.149999618530273
2020-10-23,10.199999809265137
2020-10-26,10.100000381469727
2020-10-27,10.079999923706055
2020-10-28,9.989999771118164
2020-10-29,9.979999542236328
2020-10-30,10.020000457763672
2020-11-02,9.979999542236328
2020-11-03,9.989999771118164
2020-11-04,10.0600004196167
2020-11-05,10.079999923706055
2020-11-06,10.029999732971191
2020-11-09,10.029999732971191
2020-11-10,9.979999542236328
2020-11-11,9.949999809265137
2020-11-12,9.9399995803833
2020-11-13,9.970000267028809
2020-11-16,9.989999771118164
2020-11-17,10.0
2020-11-18,9.979999542236328
2020-11-19,9.989999771118164
2020-11-20,10.039999961853027
2020-11-23,10.010000228881836
2020-11-24,10.010000228881836
2020-11-25,10.289999961853027
2020-11-27,10.270000457763672
2020-11-30,10.390000343322754
2020-12-01,10.260000228881836
2020-12-02,10.25
2020-12-03,10.25
2020-12-04,10.510000228881836
2020-12-07,10.9399995803833
2020-12-08,11.180000305175781
2020-12-09,11.270000457763672
2020-12-10,11.5
2020-12-11,11.359999656677246
2020-12-14,11.229999542236328
2020-12-15,11.050000190734863
2020-12-16,10.880000114440918
2020-12-17,11.020000457763672
2020-12-18,12.079999923706055
2020-12-21,13.25
2020-12-22,13.449999809265137
2020-12-23,14.020000457763672
2020-12-24,14.899999618530273
2020-12-28,17.06999969482422
2020-12-29,16.239999771118164
2020-12-30,16.0
2020-12-31,16.770000457763672
2021-01-04,15.609999656677246
2021-01-05,15.09000015258789
2021-01-06,14.529999732971191
2021-01-07,16.020000457763672
2021-01-08,15.899999618530273
2021-01-11,14.979999542236328
2021-01-12,14.619999885559082
2021-01-13,14.0
2021-01-14,14.010000228881836
2021-01-15,13.239999771118164
2021-01-19,13.75
2021-01-20,13.729999542236328
2021-01-21,13.59000015258789
2021-01-22,13.550000190734863
2021-01-25,13.930000305175781
2021-01-26,15.760000228881836
2021-01-27,14.25
2021-01-28,14.069999694824219
2021-01-29,13.949999809265137
2021-02-01,13.8100004196167
2021-02-02,13.970000267028809
2021-02-03,13.949999809265137
2021-02-04,12.229999542236328
2021-02-05,12.930000305175781
2021-02-08,12.369999885559082
2021-02-09,13.15999984741211
2021-02-10,12.5
2021-02-11,12.010000228881836
2021-02-12,12.079999923706055
2021-02-16,11.489999771118164
2021-02-17,11.319999694824219
2021-02-18,10.829999923706055
2021-02-19,10.979999542236328
2021-02-22,11.079999923706055
2021-02-23,10.130000114440918
2021-02-24,10.34000015258789
2021-02-25,9.710000038146973
2021-02-26,9.399999618530273
2021-03-01,10.369999885559082
2021-03-02,9.039999961853027
2021-03-03,8.289999961853027
2021-03-04,7.289999961853027
2021-03-05,7.840000152587891
2021-03-08,7.349999904632568
2021-03-09,8.1899995803833
2021-03-10,8.109999656677246
2021-03-11,8.670000076293945
2021-03-12,8.90999984741211
2021-03-15,8.875
2021-03-16,8.609999656677246
2021-03-17,8.75
2021-03-18,8.470000267028809
2021-03-19,8.510000228881836
2021-03-22,8.789999961853027
2021-03-23,8.270000457763672
2021-03-24,7.670000076293945
